"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"HLA-DQA1"	""	"CLIC2"	""	"IL12B"	""	"KLRB1"	"P2RY13"	"CXCR6"	"CYTH4"	"GZMK"	"ITGB7"	"HCK"	""	"FCN1"	""	""	""
"IL12B"	""	"CSF1R"	""	"ITGAX"	""	"KLRD1"	"PDE4B"	"DPEP2"	"EOMES"	"IFNG"	"ITK"	"HK3"	""	"FGL2"	""	""	""
"KIAA0125"	""	"CXCL10"	""	"LILRB1"	""	"KLRF1"	"S100A12"	"FAIM3"	"FAIM3"	"IL18RAP"	"LCK"	"IDO1"	""	"FGR"	""	""	""
"LILRB1"	""	"CXCL9"	""	"MMP19"	""	"KLRG1"	"VNN2"	"FAM65B"	"FASLG"	"IL2RA"	"LTB"	"IGSF6"	""	"FPR1"	""	""	""
"LTB"	""	"CYTH4"	""	"MS4A6A"	""	"KLRK1"	""	"FCN1"	"GIMAP4"	"IL2RB"	"PIK3IP1"	"IL12B"	""	"FPR2"	""	""	""
"LY9"	""	"EBI3"	""	"NCF2"	""	"LAG3"	""	"GIMAP4"	"GIMAP6"	"ITGAL"	"RGS1"	"LILRB1"	""	"GPR183"	""	""	""
"MEFV"	""	"FCER1A"	""	"NCKAP1L"	""	"LTA"	""	"GIMAP6"	"GPR15"	"ITGB7"	""	"MMP19"	""	"HCK"	""	""	""
"PNOC"	""	"FGL2"	""	"NECAP2"	""	"LTB"	""	"GPR132"	"GPR171"	"ITK"	""	"NECAP2"	""	"HK3"	""	""	""
"POU2F2"	""	"FPR3"	""	"PILRA"	""	"NCR3"	""	"GPR15"	"GPR65"	"KLRB1"	""	"PILRA"	""	"IL10RA"	""	""	""
"RASGRP2"	""	"GPR132"	""	"PLA2G7"	""	"NKG7"	""	"GPR171"	"GPR68"	"KLRG1"	""	"SIGLEC1"	""	"LILRA1"	""	""	""
"S1PR4"	""	"GZMB"	""	"SIGLEC1"	""	"PRF1"	""	"GPR183"	"GZMA"	"LAG3"	""	"SLAMF1"	""	"LILRB1"	""	""	""
"SPIB"	""	"HAVCR2"	""	"SLAMF8"	""	"PTGDR"	""	"GPSM3"	"GZMB"	"LCP2"	""	"SLAMF8"	""	"LILRB2"	""	""	""
"STAP1"	""	"HCK"	""	"STAB1"	""	"SAMD3"	""	"GZMA"	"GZMH"	"LTA"	""	"TFEC"	""	"LILRB3"	""	""	""
"TNFRSF17"	""	"HK3"	""	"TFEC"	""	"SERPINB9"	""	"GZMB"	"GZMK"	"MMP25"	""	"TNFAIP6"	""	"LST1"	""	""	""
"VPREB3"	""	"HLA-DQA1"	""	"TREM2"	""	"TBX21"	""	"GZMK"	"GZMM"	"NCR3"	""	"TNIP3"	""	"MEFV"	""	""	""
""	""	"HS3ST3B1"	""	""	""	""	""	"GZMM"	"IFNG"	"NKG7"	""	"TREM2"	""	"MNDA"	""	""	""
""	""	"IDO1"	""	""	""	""	""	"ICOS"	"IL10RA"	"PRF1"	""	""	""	"MS4A6A"	""	""	""
""	""	"IL10RA"	""	""	""	""	""	"IFNG"	"IL16"	"PTPN7"	""	""	""	"MYO1F"	""	""	""
""	""	"IL12B"	""	""	""	""	""	"IKZF1"	"IL18RAP"	"PVRIG"	""	""	""	"NCF2"	""	""	""
""	""	"IL2RA"	""	""	""	""	""	"IL10RA"	"IL2RB"	"SASH3"	""	""	""	"NCF4"	""	""	""
""	""	"IL3RA"	""	""	""	""	""	"IL16"	"ITGAL"	"SLAMF1"	""	""	""	"P2RY13"	""	""	""
""	""	"IRF4"	""	""	""	""	""	"IL2RA"	"ITK"	"TBX21"	""	""	""	"PILRA"	""	""	""
""	""	"ITGAX"	""	""	""	""	""	"IL2RB"	"KLRB1"	""	""	""	""	"PLEK"	""	""	""
""	""	"LILRB1"	""	""	""	""	""	"ITGB7"	"KLRD1"	""	""	""	""	"POU2F2"	""	""	""
""	""	"LILRB2"	""	""	""	""	""	"ITK"	"KLRG1"	""	""	""	""	"RHOG"	""	""	""
""	""	"MMP25"	""	""	""	""	""	"JAK3"	"KLRK1"	""	""	""	""	"RNASE2"	""	""	""
""	""	"MNDA"	""	""	""	""	""	"KLRB1"	"LAG3"	""	""	""	""	"S100A12"	""	""	""
""	""	"MS4A6A"	""	""	""	""	""	"LCK"	"LCK"	""	""	""	""	"SAMSN1"	""	""	""
""	""	"NCF2"	""	""	""	""	""	"LTA"	"LTB"	""	""	""	""	"STAB1"	""	""	""
""	""	"NECAP2"	""	""	""	""	""	"LTB"	"LY9"	""	""	""	""	"TLR2"	""	""	""
""	""	"NR4A3"	""	""	""	""	""	"LY9"	"MMP19"	""	""	""	""	"TLR8"	""	""	""
""	""	"PLA2G7"	""	""	""	""	""	"NECAP2"	"MYO1F"	""	""	""	""	"WAS"	""	""	""
""	""	"RHOG"	""	""	""	""	""	"PIK3IP1"	"NCR3"	""	""	""	""	""	""	""	""
""	""	"RSAD2"	""	""	""	""	""	"PTPRCAP"	"NKG7"	""	""	""	""	""	""	""	""
""	""	"SAMSN1"	""	""	""	""	""	"PVRIG"	"PIK3IP1"	""	""	""	""	""	""	""	""
""	""	"SIGLEC1"	""	""	""	""	""	"RGS1"	"PRF1"	""	""	""	""	""	""	""	""
""	""	"SLAMF1"	""	""	""	""	""	"SAMSN1"	"PTGDR"	""	""	""	""	""	""	""	""
""	""	"SLAMF8"	""	""	""	""	""	"SELPLG"	"PTPRC"	""	""	""	""	""	""	""	""
""	""	"SPIB"	""	""	""	""	""	"SLAMF1"	"PTPRCAP"	""	""	""	""	""	""	""	""
""	""	"STAB1"	""	""	""	""	""	"STAP1"	"PVRIG"	""	""	""	""	""	""	""	""
""	""	"TFEC"	""	""	""	""	""	"TBX21"	"PYHIN1"	""	""	""	""	""	""	""	""
""	""	"TNFAIP6"	""	""	""	""	""	"TNFRSF4"	"RGS1"	""	""	""	""	""	""	""	""
""	""	"TNFRSF4"	""	""	""	""	""	"TNFSF8"	"RHOG"	""	""	""	""	""	""	""	""
""	""	"TRAF1"	""	""	""	""	""	"TRAF1"	"SASH3"	""	""	""	""	""	""	""	""
""	""	"TREM2"	""	""	""	""	""	"TRAF3IP3"	"SLAMF1"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TRAT1"	"TBX21"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ZAP70"	"TNFSF8"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	"TRAF3IP3"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	"TSC22D3"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	"WAS"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	"ZAP70"	""	""	""	""	""	""	""	""
