"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"CR1"	"NKG7"	"CD1B"	"GPR65"	"CD84"	""	"FASLG"	"HCK"	"CD27"	"CD3D"	"CHST12"	"CTLA4"	"CD84"	"ITGAX"	"CLEC7A"	"FCRL2"	""	"WISP1"
"FAIM3"	"PRF1"	"CD1C"	"LRMP"	"CHI3L1"	""	"GZMA"	"HPSE"	"CD37"	"CD3E"	"CST7"	"CXCR6"	"CLEC4E"	"LILRA2"	"CSF1R"	"IRF4"	""	""
"FAM65B"	"RUNX3"	"CD1E"	"MMP25"	"CLEC4E"	""	"GZMB"	"IL18RAP"	"CD3D"	"CD3G"	"CTLA4"	"FAIM3"	"CSF1"	"MMP9"	"CSF3R"	"KIAA0125"	""	""
"FCAR"	""	"CD209"	"RGS1"	"CSF1"	""	"GZMH"	"LILRA1"	"CD3E"	"CD7"	"CXCR6"	"GPR171"	"CSF1R"	"MS4A6A"	"CXCR2"	"NGLY1"	""	""
"FCRL2"	""	"CD80"	"SAMSN1"	"CSF1R"	""	"GZMK"	"LILRA2"	"CD3G"	"CD8B"	"FASLG"	"ICOS"	"CXCL10"	"NCKAP1L"	"CYBB"	"PNOC"	""	""
"GPR18"	""	"CD86"	""	"CXCL5"	""	"GZMM"	"LILRB2"	"CD5"	"CD96"	"GPR15"	"IL10RA"	"CXCL11"	"NPL"	"DOK3"	"RGS1"	""	""
"HLA-DOB"	""	"CLEC10A"	""	"CXCL9"	""	"IFNG"	"LST1"	"CD6"	"CHST12"	"GPR171"	"IL2RA"	"CXCL9"	"PDCD1LG2"	"DPEP2"	"TNFRSF17"	""	""
"HLA-DQA1"	""	"CLEC4A"	""	"CYBB"	""	"IL18RAP"	"MEFV"	"CD69"	"CRTAM"	"GPR68"	"IL2RB"	"CYBB"	"PILRA"	"FCAR"	"VPREB3"	""	""
"IL12B"	""	"CLEC7A"	""	"FGR"	""	"IL2RB"	"MMP25"	"CD7"	"CST7"	"GZMA"	"ITGB7"	"EBI3"	"RNASE6"	"FCN1"	"ZBP1"	""	""
"IRF8"	""	"CLIC2"	""	"FPR2"	""	"KLRB1"	"MNDA"	"CD96"	"CTSW"	"GZMB"	"ITK"	"FPR2"	"SLAMF8"	"FGL2"	""	""	""
"KIAA0125"	""	"CSF1R"	""	"FPR3"	""	"KLRD1"	"P2RY13"	"CDV3"	"CXCR6"	"GZMH"	"LCK"	"FPR3"	"SLC15A3"	"FGR"	""	""	""
"LILRB1"	""	"CUL1"	""	"GRB2"	""	"KLRF1"	"PDE4B"	"CLC"	"CYTH4"	"GZMK"	"PIK3IP1"	"HCK"	"TFEC"	"FPR2"	""	""	""
"LY9"	""	"CXCL10"	""	"HK3"	""	"KLRG1"	"S100A12"	"CRLF3"	"EOMES"	"IFNG"	"RGS1"	"HK3"	""	"GPR183"	""	""	""
"MEFV"	""	"CXCL9"	""	"IGSF6"	""	"KLRK1"	"VNN2"	"CTLA4"	"FAIM3"	"IL18RAP"	""	"IDO1"	""	"HCK"	""	""	""
"NGLY1"	""	"CYTH4"	""	"IL12B"	""	"LAG3"	"ZDHHC18"	"CTSW"	"FASLG"	"IL2RA"	""	"IGSF6"	""	"HK3"	""	""	""
"PNOC"	""	"EBI3"	""	"ITGAX"	""	"LTA"	""	"CUL1"	"GIMAP4"	"IL2RB"	""	"IL12B"	""	"IL10RA"	""	""	""
"POU2F2"	""	"FGL2"	""	"LILRA2"	""	"NCR3"	""	"CXCR6"	"GIMAP6"	"ITGAL"	""	"IRF8"	""	"LILRA1"	""	""	""
"PRDM2"	""	"FPR3"	""	"LILRB1"	""	"NKG7"	""	"DNMT1"	"GPR15"	"ITGB7"	""	"LILRB1"	""	"LILRA2"	""	""	""
"RAPGEF1"	""	"GPR132"	""	"MMP9"	""	"PRDM2"	""	"DPEP2"	"GPR171"	"ITK"	""	"NECAP2"	""	"LILRB1"	""	""	""
"RASGRP2"	""	"GRB2"	""	"MS4A6A"	""	"PRF1"	""	"FAIM3"	"GPR65"	"KLRB1"	""	"PILRA"	""	"LILRB2"	""	""	""
"S1PR4"	""	"GZMB"	""	"NCKAP1L"	""	"PTGDR"	""	"FAM65B"	"GPR68"	"KLRG1"	""	"SIGLEC1"	""	"LILRB3"	""	""	""
"STAP1"	""	"HAVCR2"	""	"NECAP2"	""	"SAMD3"	""	"FCN1"	"GZMA"	"LAG3"	""	"SLAMF1"	""	"LST1"	""	""	""
"TNFRSF17"	""	"HCK"	""	"PILRA"	""	"SERPINB9"	""	"GIMAP4"	"GZMB"	"LCP2"	""	"SLAMF8"	""	"MEFV"	""	""	""
"VPREB3"	""	"HK3"	""	"PLA2G7"	""	"TBX21"	""	"GIMAP6"	"GZMH"	"LTA"	""	"TFEC"	""	"MNDA"	""	""	""
""	""	"HLA-DQA1"	""	"SIGLEC1"	""	"XCL1"	""	"GPR132"	"GZMK"	"MMP25"	""	"TNIP3"	""	"MS4A6A"	""	""	""
""	""	"IDO1"	""	"SLAMF8"	""	""	""	"GPR15"	"GZMM"	"NCR3"	""	""	""	"MYO1F"	""	""	""
""	""	"IL10RA"	""	"STAB1"	""	""	""	"GPR171"	"IFNG"	"NKG7"	""	""	""	"NCF4"	""	""	""
""	""	"IL12B"	""	"TFEC"	""	""	""	"GPR183"	"IL10RA"	"PRF1"	""	""	""	"OSM"	""	""	""
""	""	"IL2RA"	""	""	""	""	""	"GPSM3"	"IL16"	"PTP4A2"	""	""	""	"P2RY13"	""	""	""
""	""	"IL3RA"	""	""	""	""	""	"GZMA"	"IL18RAP"	"PTPN7"	""	""	""	"PILRA"	""	""	""
""	""	"IRF4"	""	""	""	""	""	"GZMB"	"IL2RB"	"PVRIG"	""	""	""	"PLEK"	""	""	""
""	""	"ITGAX"	""	""	""	""	""	"GZMK"	"ITGAL"	"SASH3"	""	""	""	"POU2F2"	""	""	""
""	""	"KYNU"	""	""	""	""	""	"GZMM"	"ITK"	"SLAMF1"	""	""	""	"PTP4A2"	""	""	""
""	""	"LILRB1"	""	""	""	""	""	"ICOS"	"KLRB1"	"TBX21"	""	""	""	"RGS19"	""	""	""
""	""	"LILRB2"	""	""	""	""	""	"IFNG"	"KLRD1"	"TDP1"	""	""	""	"S100A12"	""	""	""
""	""	"MMP12"	""	""	""	""	""	"IKZF1"	"KLRG1"	""	""	""	""	"SAMSN1"	""	""	""
""	""	"MMP25"	""	""	""	""	""	"IL10RA"	"KLRK1"	""	""	""	""	"STAB1"	""	""	""
""	""	"MNDA"	""	""	""	""	""	"IL16"	"LAG3"	""	""	""	""	"TLR8"	""	""	""
""	""	"MS4A6A"	""	""	""	""	""	"IL2RA"	"LCK"	""	""	""	""	"WAS"	""	""	""
""	""	"MTHFD2"	""	""	""	""	""	"IL2RB"	"LY9"	""	""	""	""	""	""	""	""
""	""	"NECAP2"	""	""	""	""	""	"ITGB7"	"MYO1F"	""	""	""	""	""	""	""	""
""	""	"NR4A3"	""	""	""	""	""	"ITK"	"NCR3"	""	""	""	""	""	""	""	""
""	""	"OSM"	""	""	""	""	""	"JAK3"	"NKG7"	""	""	""	""	""	""	""	""
""	""	"PLA2G7"	""	""	""	""	""	"KLRB1"	"PIK3IP1"	""	""	""	""	""	""	""	""
""	""	"RAPGEF1"	""	""	""	""	""	"LCK"	"PRF1"	""	""	""	""	""	""	""	""
""	""	"RNASE6"	""	""	""	""	""	"LTA"	"PTGDR"	""	""	""	""	""	""	""	""
""	""	"RUNX2"	""	""	""	""	""	"LY9"	"PTPRC"	""	""	""	""	""	""	""	""
""	""	"SAMSN1"	""	""	""	""	""	"NECAP2"	"PTPRCAP"	""	""	""	""	""	""	""	""
""	""	"SIGLEC1"	""	""	""	""	""	"OSM"	"PVRIG"	""	""	""	""	""	""	""	""
""	""	"SLAMF1"	""	""	""	""	""	"PIK3IP1"	"PYHIN1"	""	""	""	""	""	""	""	""
""	""	"SLAMF8"	""	""	""	""	""	"PTGER2"	"RGS1"	""	""	""	""	""	""	""	""
""	""	"STAB1"	""	""	""	""	""	"PTPRCAP"	"SASH3"	""	""	""	""	""	""	""	""
""	""	"TFEC"	""	""	""	""	""	"PVRIG"	"SLAMF1"	""	""	""	""	""	""	""	""
""	""	"TM7SF4"	""	""	""	""	""	"RBMS1"	"TBX21"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"RGS1"	"TNFSF8"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"SAMSN1"	"TRAF3IP3"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"SELPLG"	"TSC22D3"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"SLAMF1"	"WAS"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"STAP1"	"XCL1"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TBX21"	"ZAP70"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TCF7"	"ZC3HAV1"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TNFSF8"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TRAF3IP3"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TRAT1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ZAP70"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ZC3HAV1"	""	""	""	""	""	""	""	""	""
