"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"CD79A"	""	"CCR7"	"GMIP"	"CD80"	""	"CXCR6"	"FPR1"	"CD37"	"CD3E"	"CD96"	"CTLA4"	"CD84"	"MMP19"	"CLEC5A"	"FCRL2"	""	"TCF21"
"CD79B"	""	"CD1A"	"GPR183"	"CD84"	""	"DUSP4"	"FPR2"	"CD3E"	"CD3G"	"CST7"	"CXCR6"	"CLEC4E"	"MMP9"	"CLEC7A"	"IRF4"	""	"WISP1"
"CD80"	""	"CD1B"	"GPR65"	"CHI3L1"	""	"FASLG"	"HCK"	"CD3G"	"CD7"	"CTLA4"	"FAIM3"	"CSF1"	"MS4A6A"	"CSF1R"	"KIAA0125"	""	"WNT2"
"CR1"	""	"CD1C"	"LRMP"	"CLEC4E"	""	"GZMA"	"IL18RAP"	"CD5"	"CD96"	"CXCR6"	"GPR171"	"CSF1R"	"NCF2"	"CSF3R"	"PNOC"	""	""
"FAIM3"	""	"CD1E"	"MMP25"	"CLEC5A"	""	"GZMB"	"LILRA1"	"CD6"	"CRTAM"	"FASLG"	"ICOS"	"CXCL10"	"NCKAP1L"	"CX3CR1"	"RGS1"	""	""
"FAM65B"	""	"CD209"	"NCF2"	"CSF1"	""	"GZMH"	"LILRA2"	"CD69"	"CST7"	"GMIP"	"IL10RA"	"CXCL11"	"PDCD1LG2"	"CXCR2"	"SEC24A"	""	""
"FCAR"	""	"CD80"	"RGS1"	"CSF1R"	""	"GZMK"	"LILRB2"	"CD7"	"CTSW"	"GPR15"	"IL2RA"	"CXCL9"	"PILRA"	"CYBB"	"TMED9"	""	""
"FCRL2"	""	"CD86"	"RNASE2"	"CXCL5"	""	"GZMM"	"LST1"	"CD96"	"CX3CR1"	"GPR171"	"IL2RB"	"CYBB"	"RNASE6"	"DOK3"	"TNFRSF17"	""	""
"GMIP"	""	"CLEC10A"	"SAMSN1"	"CXCL9"	""	"IFNG"	"MEFV"	"CTLA4"	"CXCR6"	"GPR68"	"ITGB7"	"EBI3"	"SLAMF8"	"DPEP2"	"VPREB3"	""	""
"GNG7"	""	"CLEC4A"	"THBS1"	"CYBA"	""	"IL18RAP"	"MMP25"	"CTSW"	"CYTH4"	"GZMA"	"ITK"	"FPR2"	"SLC15A3"	"FCAR"	"ZBP1"	""	""
"GPR18"	""	"CLEC7A"	""	"CYBB"	""	"IL2RB"	"MNDA"	"CXCR6"	"FAIM3"	"GZMB"	"LCK"	"FPR3"	"TFEC"	"FCER1A"	""	""	""
"HLA-DOB"	""	"CLIC2"	""	"FGR"	""	"KIR2DL4"	"NCF2"	"DPEP2"	"FASLG"	"GZMH"	"RGS1"	"HCK"	"TPP1"	"FCN1"	""	""	""
"HLA-DQA1"	""	"CSF1R"	""	"FPR2"	""	"KIR3DL1"	"P2RY13"	"FAIM3"	"GIMAP4"	"GZMK"	""	"HK3"	"TREM2"	"FGL2"	""	""	""
"IL12B"	""	"CXCL10"	""	"FPR3"	""	"KLRB1"	"PDE4B"	"FAM65B"	"GIMAP6"	"IFNG"	""	"IDO1"	""	"FGR"	""	""	""
"IL4R"	""	"CXCL9"	""	"HK3"	""	"KLRD1"	"S100A12"	"FCN1"	"GPR15"	"IL18RAP"	""	"IGSF6"	""	"FPR1"	""	""	""
"IRF8"	""	"CYTH4"	""	"IGSF6"	""	"KLRF1"	"TNFRSF10C"	"GIMAP4"	"GPR171"	"IL2RA"	""	"IL12B"	""	"FPR2"	""	""	""
"KIAA0125"	""	"EBI3"	""	"IL12B"	""	"KLRG1"	"VNN2"	"GIMAP6"	"GPR65"	"IL2RB"	""	"IRF8"	""	"GPR183"	""	""	""
"LILRB1"	""	"FCER1A"	""	"ITGAX"	""	"KLRK1"	""	"GPR132"	"GPR68"	"ITGAL"	""	"LILRB1"	""	"HCK"	""	""	""
"LY9"	""	"FGL2"	""	"LILRA2"	""	"LAG3"	""	"GPR15"	"GZMA"	"ITGB7"	""	"MMP19"	""	"HK3"	""	""	""
"MEFV"	""	"FPR3"	""	"LILRB1"	""	"LTA"	""	"GPR171"	"GZMB"	"ITK"	""	"NECAP2"	""	"IL10RA"	""	""	""
"P2RX5"	""	"GPR132"	""	"MMP19"	""	"NCR3"	""	"GPR183"	"GZMH"	"KLRB1"	""	"PILRA"	""	"LILRA1"	""	""	""
"PNOC"	""	"GZMB"	""	"MMP9"	""	"NKG7"	""	"GPSM3"	"GZMK"	"KLRG1"	""	"SIGLEC1"	""	"LILRA2"	""	""	""
"POU2F2"	""	"HAVCR2"	""	"MS4A6A"	""	"PRF1"	""	"GZMA"	"GZMM"	"LAG3"	""	"SLAMF1"	""	"LILRB1"	""	""	""
"PTPN6"	""	"HCK"	""	"NCF2"	""	"PTGDR"	""	"GZMB"	"IFNG"	"LCP2"	""	"SLAMF8"	""	"LILRB2"	""	""	""
"RASGRP2"	""	"HK3"	""	"NCKAP1L"	""	"SAMD3"	""	"GZMK"	"IL10RA"	"LTA"	""	"SLC11A1"	""	"LILRB3"	""	""	""
"S1PR4"	""	"HLA-DQA1"	""	"NECAP2"	""	"SERPINB9"	""	"GZMM"	"IL16"	"MMP25"	""	"TFEC"	""	"LRRFIP1"	""	""	""
"SEC24A"	""	"IDO1"	""	"PILRA"	""	"TBX21"	""	"ICOS"	"IL18RAP"	"NCR3"	""	"TNFAIP6"	""	"LST1"	""	""	""
"SPIB"	""	"IL10RA"	""	"PLA2G7"	""	""	""	"IFNG"	"IL2RB"	"NKG7"	""	"TNIP3"	""	"MEFV"	""	""	""
"STAP1"	""	"IL12B"	""	"SIGLEC1"	""	""	""	"IKZF1"	"ITGAL"	"PRF1"	""	"TPP1"	""	"MNDA"	""	""	""
"TNFRSF17"	""	"IL2RA"	""	"SLAMF8"	""	""	""	"IL10RA"	"ITK"	"PTP4A2"	""	"TREM2"	""	"MS4A6A"	""	""	""
"VPREB3"	""	"IL3RA"	""	"SLC11A1"	""	""	""	"IL16"	"KLRB1"	"PTPN7"	""	""	""	"MYO1F"	""	""	""
""	""	"IRF4"	""	"STAB1"	""	""	""	"IL2RA"	"KLRD1"	"PVRIG"	""	""	""	"NCF2"	""	""	""
""	""	"ITGAX"	""	"TFEC"	""	""	""	"IL2RB"	"KLRG1"	"SASH3"	""	""	""	"NCF4"	""	""	""
""	""	"KYNU"	""	"TPP1"	""	""	""	"ITGB7"	"KLRK1"	"SLAMF1"	""	""	""	"OSM"	""	""	""
""	""	"LILRB1"	""	"TREM2"	""	""	""	"ITK"	"LAG3"	"TBX21"	""	""	""	"P2RY13"	""	""	""
""	""	"LILRB2"	""	""	""	""	""	"JAK3"	"LCK"	""	""	""	""	"PILRA"	""	""	""
""	""	"MMP12"	""	""	""	""	""	"KLRB1"	"LY9"	""	""	""	""	"PLEK"	""	""	""
""	""	"MMP25"	""	""	""	""	""	"LCK"	"MMP19"	""	""	""	""	"POU2F2"	""	""	""
""	""	"MNDA"	""	""	""	""	""	"LTA"	"MYO1F"	""	""	""	""	"PTP4A2"	""	""	""
""	""	"MS4A6A"	""	""	""	""	""	"LY9"	"NCR3"	""	""	""	""	"RGS19"	""	""	""
""	""	"NCF2"	""	""	""	""	""	"NECAP2"	"NFKB1"	""	""	""	""	"RHOG"	""	""	""
""	""	"NECAP2"	""	""	""	""	""	"NFKB1"	"NKG7"	""	""	""	""	"RNASE2"	""	""	""
""	""	"NFKB1"	""	""	""	""	""	"OSM"	"PRF1"	""	""	""	""	"S100A12"	""	""	""
""	""	"NR4A3"	""	""	""	""	""	"PTGER2"	"PTGDR"	""	""	""	""	"SAMSN1"	""	""	""
""	""	"OSM"	""	""	""	""	""	"PTPRCAP"	"PTPRC"	""	""	""	""	"SLC11A1"	""	""	""
""	""	"PDXK"	""	""	""	""	""	"PVRIG"	"PTPRCAP"	""	""	""	""	"STAB1"	""	""	""
""	""	"PLA2G7"	""	""	""	""	""	"RGS1"	"PVRIG"	""	""	""	""	"TLR2"	""	""	""
""	""	"RHOG"	""	""	""	""	""	"SAMSN1"	"PYHIN1"	""	""	""	""	"TLR8"	""	""	""
""	""	"RNASE6"	""	""	""	""	""	"SELPLG"	"RGS1"	""	""	""	""	"VASP"	""	""	""
""	""	"RSAD2"	""	""	""	""	""	"SLAMF1"	"RHOG"	""	""	""	""	"WAS"	""	""	""
""	""	"RUNX2"	""	""	""	""	""	"STAP1"	"SASH3"	""	""	""	""	""	""	""	""
""	""	"SAMSN1"	""	""	""	""	""	"TBX21"	"SEC24A"	""	""	""	""	""	""	""	""
""	""	"SEC24A"	""	""	""	""	""	"TCF7"	"SLAMF1"	""	""	""	""	""	""	""	""
""	""	"SIGLEC1"	""	""	""	""	""	"TNFRSF4"	"TBX21"	""	""	""	""	""	""	""	""
""	""	"SLAMF1"	""	""	""	""	""	"TNFSF8"	"TNFSF8"	""	""	""	""	""	""	""	""
""	""	"SLAMF8"	""	""	""	""	""	"TRAF1"	"TRAF3IP3"	""	""	""	""	""	""	""	""
""	""	"SPIB"	""	""	""	""	""	"TRAF3IP3"	"TSC22D3"	""	""	""	""	""	""	""	""
""	""	"STAB1"	""	""	""	""	""	"TRAT1"	"WAS"	""	""	""	""	""	""	""	""
""	""	"TFEC"	""	""	""	""	""	"ZAP70"	"ZAP70"	""	""	""	""	""	""	""	""
""	""	"TM7SF4"	""	""	""	""	""	""	"ZFP36L2"	""	""	""	""	""	""	""	""
""	""	"TNFAIP6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"TNFRSF4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"TRAF1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"TREM2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
