"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"GPR18"	""	"CD80"	"RGS1"	"CXCL9"	""	"GZMK"	"IL18RAP"	"CD6"	"CRTAM"	"GPR15"	"IL10RA"	"HCK"	"NCF2"	"DOK3"	"RGS1"	""	""
"HLA-DOB"	""	"CD86"	"RNASE2"	"CYBB"	""	"GZMM"	"LILRA1"	"CD69"	"CST7"	"GPR171"	"IL2RA"	"HK3"	"NCKAP1L"	"DPEP2"	"TNFRSF17"	""	""
"HLA-DQA1"	""	"CLEC10A"	"SAMSN1"	"FGR"	""	"IL18RAP"	"LILRA2"	"CD7"	"CTSW"	"GPR68"	"IL2RB"	"IGSF6"	"NPL"	"FCAR"	"ZBP1"	""	""
"IRF8"	""	"CLEC4A"	"THBS1"	"FPR2"	""	"IL2RB"	"LILRB2"	"CD96"	"CXCR6"	"GZMA"	"ITK"	"IRF8"	"PDCD1LG2"	"FCER1A"	""	""	""
"KIAA0125"	""	"CLEC7A"	""	"FPR3"	""	"KLRB1"	"LST1"	"CRLF3"	"CYTH4"	"GZMB"	"LCK"	"LILRB1"	"PILRA"	"FCN1"	""	""	""
"LILRB1"	""	"CLIC2"	""	"HK3"	""	"KLRD1"	"MEFV"	"CTLA4"	"EOMES"	"GZMH"	"LTB"	"MMP19"	"RNASE6"	"FGL2"	""	""	""
"LTB"	""	"CSF1R"	""	"IGSF6"	""	"KLRG1"	"MNDA"	"CTSW"	"FAIM3"	"GZMK"	"PIK3IP1"	"NECAP2"	"SLAMF8"	"FGR"	""	""	""
"LY9"	""	"CXCL9"	""	"ITGAX"	""	"KLRK1"	"NCF2"	"CXCR6"	"FASLG"	"IL18RAP"	"RGS1"	"PILRA"	"SLC15A3"	"FPR1"	""	""	""
"MEFV"	""	"CYTH4"	""	"LILRA2"	""	"LAG3"	"P2RY13"	"DPEP2"	"GIMAP4"	"IL2RA"	""	"SIGLEC1"	"TREM2"	"FPR2"	""	""	""
"P2RX5"	""	"FCER1A"	""	"LILRB1"	""	"LTA"	"PDE4B"	"FAIM3"	"GIMAP6"	"IL2RB"	""	"SLAMF1"	""	"GPR183"	""	""	""
"PNOC"	""	"FGL2"	""	"MMP19"	""	"LTB"	"S100A12"	"FAM65B"	"GPR15"	"ITGAL"	""	"SLAMF8"	""	"HCK"	""	""	""
"POU2F2"	""	"FPR3"	""	"MMP9"	""	"NCR3"	"TREM1"	"FCN1"	"GPR171"	"ITK"	""	"SLC11A1"	""	"HK3"	""	""	""
"PRDM2"	""	"GPR132"	""	"MS4A6A"	""	"NKG7"	"VNN2"	"GIMAP4"	"GPR65"	"KLRB1"	""	"TREM2"	""	"HSPA6"	""	""	""
"PTPN6"	""	"GZMB"	""	"NCF2"	""	"PRDM2"	""	"GIMAP6"	"GPR68"	"KLRG1"	""	"WTAP"	""	"IL10RA"	""	""	""
"RASGRP2"	""	"HCK"	""	"NCKAP1L"	""	"PRF1"	""	"GPR132"	"GZMA"	"LAG3"	""	""	""	"LILRA1"	""	""	""
"S1PR4"	""	"HK3"	""	"NECAP2"	""	"PTGDR"	""	"GPR15"	"GZMB"	"LCP2"	""	""	""	"LILRA2"	""	""	""
"SPIB"	""	"HLA-DQA1"	""	"PILRA"	""	"SAMD3"	""	"GPR171"	"GZMH"	"LTA"	""	""	""	"LILRB1"	""	""	""
"STAP1"	""	"HS3ST3B1"	""	"PLA2G7"	""	"SERPINB9"	""	"GPR183"	"GZMK"	"NCR3"	""	""	""	"LILRB2"	""	""	""
"TNFRSF17"	""	"IL10RA"	""	"SIGLEC1"	""	"TBX21"	""	"GPSM3"	"GZMM"	"NKG7"	""	""	""	"LILRB3"	""	""	""
""	""	"IL2RA"	""	"SLAMF8"	""	"XCL1"	""	"GZMA"	"IL10RA"	"PRF1"	""	""	""	"LST1"	""	""	""
""	""	"IRF4"	""	"SLC11A1"	""	""	""	"GZMB"	"IL16"	"PTPN7"	""	""	""	"MEFV"	""	""	""
""	""	"ITGAX"	""	"STAB1"	""	""	""	"GZMK"	"IL18RAP"	"PVRIG"	""	""	""	"MNDA"	""	""	""
""	""	"LILRB1"	""	"TREM2"	""	""	""	"GZMM"	"IL2RB"	"SASH3"	""	""	""	"MS4A6A"	""	""	""
""	""	"LILRB2"	""	"WTAP"	""	""	""	"ICOS"	"ITGAL"	"SLAMF1"	""	""	""	"MYO1F"	""	""	""
""	""	"MNDA"	""	""	""	""	""	"IKZF1"	"ITK"	"TBX21"	""	""	""	"NCF2"	""	""	""
""	""	"MS4A6A"	""	""	""	""	""	"IL10RA"	"KLRB1"	""	""	""	""	"NCF4"	""	""	""
""	""	"NCF2"	""	""	""	""	""	"IL16"	"KLRD1"	""	""	""	""	"OSM"	""	""	""
""	""	"NECAP2"	""	""	""	""	""	"IL2RA"	"KLRG1"	""	""	""	""	"P2RY13"	""	""	""
""	""	"NR4A3"	""	""	""	""	""	"IL2RB"	"KLRK1"	""	""	""	""	"PILRA"	""	""	""
""	""	"OSM"	""	""	""	""	""	"ITK"	"LAG3"	""	""	""	""	"PLEK"	""	""	""
""	""	"PLA2G7"	""	""	""	""	""	"KLRB1"	"LCK"	""	""	""	""	"POU2F2"	""	""	""
""	""	"RHOG"	""	""	""	""	""	"LCK"	"LTB"	""	""	""	""	"RGS19"	""	""	""
""	""	"RNASE6"	""	""	""	""	""	"LTA"	"LY9"	""	""	""	""	"RHOG"	""	""	""
""	""	"RUNX2"	""	""	""	""	""	"LTB"	"MMP19"	""	""	""	""	"RNASE2"	""	""	""
""	""	"SAMSN1"	""	""	""	""	""	"LY9"	"MYO1F"	""	""	""	""	"S100A12"	""	""	""
""	""	"SIGLEC1"	""	""	""	""	""	"NECAP2"	"NCR3"	""	""	""	""	"SAMSN1"	""	""	""
""	""	"SLAMF1"	""	""	""	""	""	"OSM"	"NKG7"	""	""	""	""	"SLC11A1"	""	""	""
""	""	"SLAMF8"	""	""	""	""	""	"PIK3IP1"	"PIK3IP1"	""	""	""	""	"STAB1"	""	""	""
""	""	"SNX11"	""	""	""	""	""	"PTPRCAP"	"PRF1"	""	""	""	""	"TLR2"	""	""	""
""	""	"SPIB"	""	""	""	""	""	"PVRIG"	"PTGDR"	""	""	""	""	"TLR8"	""	""	""
""	""	"STAB1"	""	""	""	""	""	"RGS1"	"PTPRC"	""	""	""	""	"TREM1"	""	""	""
""	""	"TM7SF4"	""	""	""	""	""	"SAMSN1"	"PTPRCAP"	""	""	""	""	"WAS"	""	""	""
""	""	"TREM2"	""	""	""	""	""	"SELPLG"	"PVRIG"	""	""	""	""	"WTAP"	""	""	""
""	""	"WTAP"	""	""	""	""	""	"SLAMF1"	"PYHIN1"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"STAP1"	"RGS1"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TBX21"	"RHOG"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TCF7"	"SASH3"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TNFSF8"	"SLAMF1"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TRAF3IP3"	"TBX21"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TRAT1"	"TNFSF8"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ZAP70"	"TRAF3IP3"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	"WAS"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	"XCL1"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	"ZAP70"	""	""	""	""	""	""	""	""
