"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"HSPA4"	""	"GPN2"	""	"FPR3"	""	""	""	"IGFBP4"	"IL16"	"PSMB2"	""	"MYBPH"	"S100A6"	"MAP2K1"	""	"RAMP3"	""
"HTR5A"	""	"GPR132"	""	"FTL"	""	""	""	"IKZF1"	"IL18RAP"	"PSMD14"	""	"MYH11"	"SDS"	"MAPK6"	""	"RNF34"	""
"IKZF3"	""	"GRB2"	""	"GM2A"	""	""	""	"IL10RA"	"IL21R"	"PSMD7"	""	"MYO7A"	"SLAMF8"	"MARCO"	""	"ROBO4"	""
"IRF8"	""	"GZMB"	""	"GPC4"	""	""	""	"IL16"	"IL2RB"	"PSTPIP1"	""	"NDUFAF1"	"SLC15A3"	"MEFV"	""	"RPN2"	""
"KALRN"	""	"HAMP"	""	"GPD1"	""	""	""	"IL21R"	"IL7R"	"PTP4A2"	""	"PILRA"	"SLC39A1"	"MNDA"	""	"S100A6"	""
"KCNJ10"	""	"HAVCR2"	""	"GRB2"	""	""	""	"IL2RA"	"INPP4A"	"PTPN7"	""	"PKD2L1"	"SLC6A12"	"MS4A4A"	""	"SAMD14"	""
"KCNN3"	""	"HCK"	""	"HAMP"	""	""	""	"IL2RB"	"IPCEF1"	"PVRIG"	""	"PLEKHB2"	"SLC6A7"	"MS4A6A"	""	"SCARF1"	""
"KCNV2"	""	"HCRTR2"	""	"HK3"	""	""	""	"IL7R"	"ISCA1"	"SASH3"	""	"PQLC2"	"SLC9A6"	"MTF1"	""	"SDPR"	""
"KERA"	""	"HK3"	""	"HMGCL"	""	""	""	"INPP4A"	"ITGAL"	"SELL"	""	"PRDX1"	"SNX1"	"MYO1F"	""	"SELE"	""
"KHDRBS2"	""	"HLA-DQA1"	""	"HS3ST2"	""	""	""	"INSL3"	"ITK"	"SFXN1"	""	"PTGIR"	"SNX2"	"NCF2"	""	"SEMA6B"	""
"KIAA0226L"	""	"HRH2"	""	"HSPH1"	""	""	""	"IPCEF1"	"KIAA0196"	"SH2D1A"	""	"PTPRA"	"STX4"	"NCF4"	""	"SLC6A7"	""
"KIF5A"	""	"HS3ST2"	""	"IFNAR1"	""	""	""	"ISCA1"	"KIF2A"	"SLAMF1"	""	"SDS"	"TFEC"	"NPLOC4"	""	"SPTBN5"	""
"KLHL12"	""	"HS3ST3B1"	""	"IGSF6"	""	""	""	"ITIH4"	"KLHL11"	"TARP"	""	"SIGLEC1"	"TMED5"	"OSM"	""	"STAB1"	""
"KRT2"	""	"HSD11B1"	""	"IL10"	""	""	""	"ITK"	"KLRB1"	"TBX21"	""	"SIGLEC7"	"TMEM9B"	"P2RY13"	""	"STX12"	""
"LILRB1"	""	"IDO1"	""	"IL7R"	""	""	""	"ITM2A"	"KLRD1"	"TMEM110"	""	"SIGLEC9"	"TNFSF14"	"PANK2"	""	"TACSTD2"	""
"LILRB4"	""	"IL10"	""	"IPPK"	""	""	""	"JAK3"	"KLRG1"	"TOR1A"	""	"SLAMF1"	"TREM2"	"PDE6H"	""	"TAL1"	""
"LTB"	""	"IL10RA"	""	"ITGAX"	""	""	""	"KALRN"	"KLRK1"	"USP1"	""	"SLAMF8"	"UNC50"	"PIAS1"	""	"TEK"	""
"LTC4S"	""	"IL21R"	""	"KCNJ5"	""	""	""	"KBTBD4"	"KRT2"	"ZBTB32"	""	"SLC1A2"	"VSIG4"	"PILRA"	""	"TFEC"	""
"LY6H"	""	"IL2RA"	""	"KCNK13"	""	""	""	"KLRB1"	"LAG3"	""	""	"SLC6A12"	""	"PLEK"	""	"TIE1"	""
"LY86"	""	"IL3RA"	""	"KCNMB1"	""	""	""	"KRT2"	"LAIR2"	""	""	"STX12"	""	"PNP"	""	"TIMM17A"	""
"LY9"	""	"IL7R"	""	"KIAA0196"	""	""	""	"LAIR2"	"LCK"	""	""	"STX4"	""	"POU2F2"	""	"TMEM184B"	""
"MATN1"	""	"ITGAX"	""	"KLHL12"	""	""	""	"LAT"	"LIME1"	""	""	"TCEB1"	""	"PSTPIP1"	""	"TNPO1"	""
"MEFV"	""	"KCNC3"	""	"LAIR1"	""	""	""	"LAX1"	"LTB"	""	""	"TFEC"	""	"PTCH2"	""	"TOR1AIP2"	""
"MS4A1"	""	"KCNK10"	""	"LILRA2"	""	""	""	"LCK"	"LY9"	""	""	"TFRC"	""	"PTGIR"	""	"TSPAN13"	""
"NEUROG1"	""	"KCNK13"	""	"LILRB1"	""	""	""	"LTA"	"MAP7D1"	""	""	"TIE1"	""	"PTP4A2"	""	"VWF"	""
"NTRK3"	""	"KCNMB1"	""	"LILRB4"	""	""	""	"LTB"	"MED31"	""	""	"TMX1"	""	"RGS19"	""	""	""
"NXF3"	""	"KMO"	""	"LILRB5"	""	""	""	"LY9"	"MED6"	""	""	"TNFAIP6"	""	"RIN2"	""	""	""
"ODC1"	""	"LAIR1"	""	"LONRF3"	""	""	""	"MCF2L2"	"MKNK1"	""	""	"TNIP3"	""	"RNASE2"	""	""	""
"OMG"	""	"LAMP3"	""	"LY86"	""	""	""	"MKNK1"	"MMP11"	""	""	"TREM2"	""	"RPH3A"	""	""	""
"OTOF"	""	"LILRA5"	""	"MARCO"	""	""	""	"MRPL20"	"MT2A"	""	""	"VPS33A"	""	"RPS6KC1"	""	""	""
"P2RY10"	""	"LILRB1"	""	"ME1"	""	""	""	"MRPL44"	"MYO1F"	""	""	"VSIG4"	""	"S100A6"	""	""	""
"P2RY14"	""	"LILRB2"	""	"MKL2"	""	""	""	"NDFIP1"	"NCR1"	""	""	"ZMPSTE24"	""	"SAMSN1"	""	""	""
"PAX5"	""	"LILRB4"	""	"MMP9"	""	""	""	"NDRG3"	"NCR3"	""	""	""	""	"SAR1A"	""	""	""
"PDE6D"	""	"LILRB5"	""	"MS4A4A"	""	""	""	"NDUFB2"	"NDFIP1"	""	""	""	""	"SELL"	""	""	""
"PGR"	""	"MAP2K1"	""	"MS4A6A"	""	""	""	"NFATC2IP"	"NDUFB2"	""	""	""	""	"SEMA6B"	""	""	""
"PLA2G2D"	""	"MMP12"	""	"MSR1"	""	""	""	"NOL9"	"NKG7"	""	""	""	""	"SIGLEC9"	""	""	""
"PNLIPRP1"	""	"MMP25"	""	"MT2A"	""	""	""	"OSM"	"OMG"	""	""	""	""	"SOCS3"	""	""	""
"PNOC"	""	"MNDA"	""	"MYBPH"	""	""	""	"PDCD1"	"OTOF"	""	""	""	""	"STAB1"	""	""	""
"POU2F1"	""	"MS4A4A"	""	"MYH11"	""	""	""	"PGK1"	"PDCD1"	""	""	""	""	"STX12"	""	""	""
"POU2F2"	""	"MS4A6A"	""	"MYO7A"	""	""	""	"PIK3IP1"	"PFN2"	""	""	""	""	"TLR2"	""	""	""
"POU4F2"	""	"MTF1"	""	"NCF2"	""	""	""	"PLCH2"	"PIK3IP1"	""	""	""	""	"TLR7"	""	""	""
"PPEF2"	""	"NCF2"	""	"NCKAP1L"	""	""	""	"PLXDC1"	"PLXDC1"	""	""	""	""	"TLR8"	""	""	""
"PRDM2"	""	"NRAS"	""	"NDUFAF1"	""	""	""	"PPP2CA"	"PRDM8"	""	""	""	""	"TMEM110"	""	""	""
"PRKCB"	""	"NSUN3"	""	"NPTN"	""	""	""	"PTGER2"	"PREB"	""	""	""	""	"TMEM9B"	""	""	""
"PROZ"	""	"NXPH3"	""	"NSUN3"	""	""	""	"PTPRCAP"	"PRF1"	""	""	""	""	"TNFRSF8"	""	""	""
"PTCH2"	""	"OSM"	""	"PILRA"	""	""	""	"PVRIG"	"PSME1"	""	""	""	""	"TYROBP"	""	""	""
"PTPN6"	""	"P2RY14"	""	"PKD2L1"	""	""	""	"RBMS1"	"PSTPIP1"	""	""	""	""	"WAS"	""	""	""
"RASGRP2"	""	"PGK1"	""	"PLA2G7"	""	""	""	"RGS1"	"PTGDR"	""	""	""	""	"ZNF710"	""	""	""
"S1PR4"	""	"PLA2G7"	""	"PLEKHB2"	""	""	""	"RNF34"	"PTPRA"	""	""	""	""	""	""	""	""
"SCN3A"	""	"PTCRA"	""	"PLEKHM2"	""	""	""	"RPN2"	"PTPRC"	""	""	""	""	""	""	""	""
"SDK2"	""	"PTGIR"	""	"PPCS"	""	""	""	"SAMSN1"	"PTPRCAP"	""	""	""	""	""	""	""	""
"SEC24A"	""	"RAMP3"	""	"PQLC2"	""	""	""	"SELL"	"PVRIG"	""	""	""	""	""	""	""	""
"SELL"	""	"RAP1GAP"	""	"PRDX1"	""	""	""	"SELPLG"	"PYHIN1"	""	""	""	""	""	""	""	""
"SELP"	""	"RIN2"	""	"PSME1"	""	""	""	"SH2D1A"	"RGS1"	""	""	""	""	""	""	""	""
"SHISA6"	""	"RNASE6"	""	"PTGDS"	""	""	""	"SIRPG"	"RPN2"	""	""	""	""	""	""	""	""
"SIGLEC6"	""	"RSAD2"	""	"PTGIR"	""	""	""	"SIT1"	"S100B"	""	""	""	""	""	""	""	""
"SLC12A3"	""	"RUNX2"	""	"PTPRA"	""	""	""	"SLAMF1"	"SASH3"	""	""	""	""	""	""	""	""
"SLC13A4"	""	"SAMSN1"	""	"RAB1A"	""	""	""	"SLC9A6"	"SEC24A"	""	""	""	""	""	""	""	""
"SLC15A2"	""	"SCARF1"	""	"RIN2"	""	""	""	"SNPH"	"SELL"	""	""	""	""	""	""	""	""
"SLC30A4"	""	"SEC24A"	""	"RTN4"	""	""	""	"SOCS3"	"SFXN1"	""	""	""	""	""	""	""	""
"SLCO1C1"	""	"SIGLEC1"	""	"S100A6"	""	""	""	"SSTR3"	"SH2D1A"	""	""	""	""	""	""	""	""
"SLN"	""	"SIGLEC7"	""	"SCARB2"	""	""	""	"STAP1"	"SIRPG"	""	""	""	""	""	""	""	""
"SNX2"	""	"SIGLEC9"	""	"SDHB"	""	""	""	"TBX21"	"SIT1"	""	""	""	""	""	""	""	""
"SP140"	""	"SLAMF1"	""	"SDS"	""	""	""	"TNFRSF4"	"SLAMF1"	""	""	""	""	""	""	""	""
"SPIB"	""	"SLAMF8"	""	"SGMS1"	""	""	""	"TNFSF8"	"SLC1A7"	""	""	""	""	""	""	""	""
"SPTBN5"	""	"SLC12A3"	""	"SH3GLB1"	""	""	""	"TOE1"	"SLC38A1"	""	""	""	""	""	""	""	""
"STAP1"	""	"SLC1A2"	""	"SIGLEC1"	""	""	""	"TRAF3IP3"	"SLC6A7"	""	""	""	""	""	""	""	""
