"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"DPYS"	""	"GPN2"	""	"CSF1R"	"ZBTB7A"	"XCL1"	""	"FYCO1"	"GRAP2"	"RNF6"	""	"KCNK13"	"MSR1"	"FPR2"	"YIPF1"	"LYL1"	"PRDX6"
"EPS15"	""	"GPR132"	""	"CXCL5"	""	"XCL2"	""	"GIMAP4"	"GSDMD"	"SASH3"	""	"LAIR1"	"MYO15A"	"GALNT3"	"ZBP1"	"LYVE1"	"PRKG1"
"FAM65B"	""	"GRB2"	""	"CYBA"	""	""	""	"GIMAP6"	"GYG1"	"SCAMP2"	""	"LAMP1"	"NAGPA"	"GPR183"	""	"MAPK3"	"PRPH2"
"FCAR"	""	"GRSF1"	""	"CYBB"	""	""	""	"GPI"	"GZMK"	"SH2D1A"	""	"LILRB1"	"NCF2"	"HCK"	""	"MAT2B"	"RASL12"
"FSCN2"	""	"GUCA1A"	""	"CYFIP1"	""	""	""	"GPR132"	"HIVEP3"	"SLAMF1"	""	"LILRB4"	"NCKAP1L"	"HIPK1"	""	"MMRN1"	"RNF14"
"GCK"	""	"H6PD"	""	"CYP27A1"	""	""	""	"GPR183"	"HMOX2"	"SLC26A4"	""	"LONRF3"	"NPL"	"HRH2"	""	"MTCH1"	"ROM1"
"GNG3"	""	"HAMP"	""	"ECHS1"	""	""	""	"GPSM3"	"HTR1B"	""	""	"MAPK13"	"PABPC4"	"HSPA6"	""	"MTHFR"	"SCRN1"
"GNG7"	""	"HAVCR2"	""	"EFR3A"	""	""	""	"GRAP2"	"IKZF3"	""	""	"MERTK"	"PDCD1LG2"	"IL10RA"	""	"MUL1"	"SLC35A2"
"GPRC5D"	""	"HCK"	""	"ELOVL1"	""	""	""	"GRM3"	"IL10RA"	""	""	"MFSD7"	"PDE1B"	"IL17RA"	""	"MYL12A"	"SNED1"
"HAMP"	""	"HCRTR2"	""	"EMP1"	""	""	""	"GZMK"	"IL12RB1"	""	""	"MSR1"	"PICK1"	"IQGAP1"	""	"NECAP2"	"TM2D1"
"HCRTR2"	""	"HPD"	""	"FCER1G"	""	""	""	"HIPK1"	"IL16"	""	""	"MYBPH"	"PILRA"	"IQSEC2"	""	"NNAT"	"TMEM165"
"HLA-DOA"	""	"HRH2"	""	"FCGR3A"	""	""	""	"HMOX2"	"IL18RAP"	""	""	"MYH11"	"PLEKHM2"	"KCNC3"	""	"PABPC4"	"TNXB"
"HLA-DPB1"	""	"HSD11B1"	""	"FEZ2"	""	""	""	"IKZF1"	"INPP4A"	""	""	"MYO7A"	"RENBP"	"KCNMB1"	""	"PALMD"	"VIM"
"HSPB6"	""	"IDH3A"	""	"FGR"	""	""	""	"IL10RA"	"IPCEF1"	""	""	"MYOF"	"RNASE6"	"LILRA1"	""	"PIK3CG"	"WNT2"
"HTR1B"	""	"IL10"	""	"FPR2"	""	""	""	"IL16"	"IRF3"	""	""	"NECAP2"	"S100A6"	"LILRA2"	""	"PLS3"	"YAP1"
"HTR3A"	""	"IL10RA"	""	"FTL"	""	""	""	"INPP4A"	"ITGAL"	""	""	"PILRA"	"SCAMP2"	"LILRB1"	""	"POM121L2"	"ZFYVE9"
"IKZF3"	""	"ITGAX"	""	"GM2A"	""	""	""	"INSL3"	"ITK"	""	""	"PKD2L1"	"SLC15A3"	"LILRB2"	""	"PSMD8"	""
"IL4R"	""	"KCNA5"	""	"GORASP1"	""	""	""	"IPCEF1"	"KLF9"	""	""	"PRDX1"	"SLC25A24"	"LILRB3"	""	"PTPRB"	""
"IRF8"	""	"KCNC3"	""	"GPC4"	""	""	""	"ITGB1BP1"	"KLHL3"	""	""	"S100A11"	"SLC6A12"	"LST1"	""	"RALB"	""
"ITSN2"	""	"KCNK13"	""	"GPD1"	""	""	""	"ITGB7"	"KLRB1"	""	""	"SCAMP2"	"SLC6A7"	"LTBR"	""	"RAMP3"	""
"KCNA5"	""	"KCNMB1"	""	"GRB2"	""	""	""	"ITK"	"KLRD1"	""	""	"SIGLEC9"	"SMG5"	"LY86"	""	"RHOC"	""
"KCNQ4"	""	"KYNU"	""	"GSTO1"	""	""	""	"JAK3"	"LCK"	""	""	"SLAMF1"	"TBC1D9B"	"LYL1"	""	"S100A6"	""
"KERA"	""	"LAIR1"	""	"GUCA1A"	""	""	""	"KIAA0368"	"MAP3K10"	""	""	"SLC11A1"	"TFEC"	"MBOAT7"	""	"SHE"	""
"KIAA0226L"	""	"LILRB1"	""	"HAMP"	""	""	""	"KLHL3"	"MAP7D1"	""	""	"SLC25A24"	"TMED5"	"MEFV"	""	"SLC6A7"	""
"KRT19"	""	"LILRB2"	""	"HMGCL"	""	""	""	"KLRB1"	"MAPK13"	""	""	"SLC6A12"	"TNFSF14"	"MNDA"	""	"STX12"	""
"LILRB1"	""	"LILRB4"	""	"HPS1"	""	""	""	"LCK"	"MKNK1"	""	""	"STX12"	"TREM2"	"MTF1"	""	"SUMO3"	""
"LILRB4"	""	"MAP3K6"	""	"HSPB7"	""	""	""	"MBNL1"	"MSL3"	""	""	"TDRD7"	"UGP2"	"MTHFR"	""	"TACSTD2"	""
"LTC4S"	""	"MNDA"	""	"IGSF6"	""	""	""	"MKNK1"	"MYO1F"	""	""	"TFEC"	"USF2"	"MYO1F"	""	"TAL1"	""
"LY6H"	""	"MTF1"	""	"IL10"	""	""	""	"MRPL20"	"MYOM1"	""	""	"TNFAIP6"	"VSIG4"	"NCF2"	""	"TDRD7"	""
"LY86"	""	"MYBPC1"	""	"IL17RA"	""	""	""	"MSL3"	"OTUD7B"	""	""	"TNIP3"	""	"NCF4"	""	"TFEC"	""
"MAG"	""	"NAGPA"	""	"ITGAX"	""	""	""	"NCDN"	"PCDHA10"	""	""	"TREM2"	""	"OSM"	""	"TMEM109"	""
"MBD4"	""	"NCF2"	""	"ITGB1BP1"	""	""	""	"NCK2"	"PRR5"	""	""	"VIM"	""	"P2RY13"	""	"TNFSF18"	""
"MEF2C"	""	"NECAP2"	""	"ITGB5"	""	""	""	"NECAP2"	"PTGDR"	""	""	"VSIG4"	""	"PADI4"	""	"TPM3"	""
"MEFV"	""	"NFKBIB"	""	"KCNJ1"	""	""	""	"OSM"	"PTGER4"	""	""	"WSB2"	""	"PANK2"	""	"TRAPPC3"	""
"MRPS15"	""	"OSM"	""	"KCNJ5"	""	""	""	"PABPC4"	"PTPRC"	""	""	"ZMPSTE24"	""	"PDE6H"	""	"VAMP3"	""
"MS4A1"	""	"PDXK"	""	"KCNK13"	""	""	""	"PCDHGA9"	"RGS1"	""	""	""	""	"PILRA"	""	"YIF1B"	""
"MUSK"	""	"PITPNA"	""	"KCNMB1"	""	""	""	"PPID"	"RHOG"	""	""	""	""	"PLEK"	""	""	""
"MYO3A"	""	"PPARG"	""	"LAIR1"	""	""	""	"RANBP9"	"RWDD3"	""	""	""	""	"POU2F2"	""	""	""
"MYOZ3"	""	"PTCRA"	""	"LAMP1"	""	""	""	"RBMS1"	"SACM1L"	""	""	""	""	"PRKACA"	""	""	""
"NPY5R"	""	"RAMP3"	""	"LILRA2"	""	""	""	"RCAN3"	"SASH3"	""	""	""	""	"PTP4A2"	""	""	""
"OMD"	""	"RHOG"	""	"LILRB1"	""	""	""	"RGS1"	"SH2D1A"	""	""	""	""	"PTPN18"	""	""	""
"OR7A5"	""	"RNASE6"	""	"LILRB4"	""	""	""	"RNF6"	"SIRPG"	""	""	""	""	"RGS19"	""	""	""
"OSBPL10"	""	"RPGRIP1"	""	"LONRF3"	""	""	""	"RXRG"	"SIT1"	""	""	""	""	"RHOG"	""	""	""
"OTUD7B"	""	"RUNX2"	""	"LY86"	""	""	""	"S100A11"	"SLAMF1"	""	""	""	""	"RNASE2"	""	""	""
"P2RY10"	""	"S100A10"	""	"MAPK13"	""	""	""	"SACM1L"	"SLC6A7"	""	""	""	""	"RPGRIP1"	""	""	""
"PADI4"	""	"SAMSN1"	""	"MDH1"	""	""	""	"SAMSN1"	"TMC6"	""	""	""	""	"S100A10"	""	""	""
"PAPOLB"	""	"SIGLEC9"	""	"ME1"	""	""	""	"SARDH"	"TNFSF8"	""	""	""	""	"S100A12"	""	""	""
"PGAM2"	""	"SLAMF1"	""	"MERTK"	""	""	""	"SELPLG"	"TRAF3IP1"	""	""	""	""	"S100A6"	""	""	""
"PGR"	""	"SLC6A12"	""	"MFSD7"	""	""	""	"SH2D1A"	"TRAF3IP3"	""	""	""	""	"SAMSN1"	""	""	""
"PLA2G2D"	""	"SLC7A8"	""	"MGST3"	""	""	""	"SIRPG"	"TTC22"	""	""	""	""	"SIGLEC9"	""	""	""
"PLIN1"	""	"SPINT2"	""	"MKL2"	""	""	""	"SIT1"	"TULP4"	""	""	""	""	"SLC11A1"	""	""	""
"POU2F2"	""	"TACSTD2"	""	"MSR1"	""	""	""	"SLAMF1"	"WAS"	""	""	""	""	"STX12"	""	""	""
"POU3F1"	""	"TDRD7"	""	"MTHFR"	""	""	""	"SMG5"	"WSB2"	""	""	""	""	"TGOLN2"	""	""	""
"PRDM2"	""	"TFEC"	""	"MUL1"	""	""	""	"SNPH"	"XCL1"	""	""	""	""	"TLR2"	""	""	""
"PRKCB"	""	"TLR7"	""	"MYBPH"	""	""	""	"TCF7"	""	""	""	""	""	"TLR7"	""	""	""
"PRPH2"	""	"TMSB10"	""	"MYH11"	""	""	""	"TNFSF8"	""	""	""	""	""	"TLR8"	""	""	""
"PTPN6"	""	"TNFAIP6"	""	"MYO15A"	""	""	""	"TRAF1"	""	""	""	""	""	"TNFRSF8"	""	""	""
"PYGM"	""	"TRAF1"	""	"MYO7A"	""	""	""	"TRAF3IP3"	""	""	""	""	""	"TREM1"	""	""	""
"RPGRIP1"	""	"TREM2"	""	"MYOF"	""	""	""	"UBASH3A"	""	""	""	""	""	"TYROBP"	""	""	""
"SCRN1"	""	"UBE2Z"	""	"NAGPA"	""	""	""	"UBE2L3"	""	""	""	""	""	"UPK3A"	""	""	""
"SELP"	""	"VRK2"	""	"NCF2"	""	""	""	"USP33"	""	""	""	""	""	"USP48"	""	""	""
"SLC12A1"	""	""	""	"NCKAP1L"	""	""	""	"ZFYVE9"	""	""	""	""	""	"VENTX"	""	""	""
"SLC17A7"	""	""	""	"NECAP2"	""	""	""	""	""	""	""	""	""	"WAS"	""	""	""
"SLC24A2"	""	""	""	"NPTN"	""	""	""	""	""	""	""	""	""	"ZBTB7A"	""	""	""
"SLC30A10"	""	""	""	"NUMB"	""	""	""	""	""	""	""	""	""	""	""	""	""
"SLCO1C1"	""	""	""	"PABPC4"	""	""	""	""	""	""	""	""	""	""	""	""	""
"SNED1"	""	""	""	"PDE1B"	""	""	""	""	""	""	""	""	""	""	""	""	""
"SP140"	""	""	""	"PEX14"	""	""	""	""	""	""	""	""	""	""	""	""	""
"SYPL1"	""	""	""	"PICK1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"TLR7"	""	""	""	"PILRA"	""	""	""	""	""	""	""	""	""	""	""	""	""
"TNFRSF13B"	""	""	""	"PKD2L1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"TRPM1"	""	""	""	"PLEKHM2"	""	""	""	""	""	""	""	""	""	""	""	""	""
"TRPM3"	""	""	""	"PPCS"	""	""	""	""	""	""	""	""	""	""	""	""	""
"ULK4"	""	""	""	"PRDX1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"UNC5C"	""	""	""	"PTGDS"	""	""	""	""	""	""	""	""	""	""	""	""	""
"VPREB3"	""	""	""	"QDPR"	""	""	""	""	""	""	""	""	""	""	""	""	""
"VSX1"	""	""	""	"RENBP"	""	""	""	""	""	""	""	""	""	""	""	""	""
"WNT16"	""	""	""	"RTN4"	""	""	""	""	""	""	""	""	""	""	""	""	""
"WNT2"	""	""	""	"S100A11"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"S100A6"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"SCAMP2"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"SDHB"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"SETD3"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"SH3GLB1"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"SIGLEC9"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"SLC11A1"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"SLC25A24"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"SLC6A12"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"SLC6A7"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"SMG5"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"STX12"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"SUMO3"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TBC1D9B"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TDRD7"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TFEC"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TGOLN2"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TM2D1"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TMED5"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TNFSF14"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TRAPPC3"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TREM2"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TULP4"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TYROBP"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"UGP2"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"USF2"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"VAMP8"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"VIM"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"VSIG4"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"WSB2"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"YIF1B"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"ZMPSTE24"	""	""	""	""	""	""	""	""	""	""	""	""	""
