"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"FCAR"	""	"CD86"	"RGS1"	"CYBB"	""	"GZMH"	"LILRA1"	"CD6"	"CRTAM"	"GMIP"	"HS3ST3B1"	"CXCL11"	"NPL"	"CXCR2"	"TNFRSF17"	""	""
"FCRL2"	""	"CLEC10A"	"RNASE2"	"FGR"	""	"GZMK"	"LILRA2"	"CD69"	"CST7"	"GPR15"	"ICOS"	"CXCL9"	"PDCD1LG2"	"CYBB"	"VPREB3"	""	""
"GMIP"	""	"CLEC4A"	"SAMSN1"	"FPR2"	""	"GZMM"	"LILRB2"	"CD7"	"CTSW"	"GPR171"	"IL10RA"	"CYBB"	"PILRA"	"DOK3"	"ZBP1"	""	""
"GNG7"	""	"CLEC7A"	"THBS1"	"FPR3"	""	"IFNG"	"LST1"	"CD96"	"CX3CR1"	"GPR68"	"IL2RA"	"EBI3"	"RNASE6"	"DPEP2"	""	""	""
"GPR18"	""	"CLIC2"	""	"HK3"	""	"IL18RAP"	"MEFV"	"CLC"	"CXCR6"	"GZMA"	"IL2RB"	"FPR2"	"SLAMF8"	"FCAR"	""	""	""
"HLA-DOB"	""	"CSF1R"	""	"IGSF6"	""	"IL2RB"	"MMP25"	"CTLA4"	"CYTH4"	"GZMB"	"ITGB7"	"FPR3"	"SLC15A3"	"FCN1"	""	""	""
"IL12B"	""	"CXCL10"	""	"IL12B"	""	"KIR2DL3"	"MNDA"	"CTSW"	"FAIM3"	"GZMH"	"ITK"	"HCK"	"TFEC"	"FGL2"	""	""	""
"IL4R"	""	"CXCL9"	""	"ITGAX"	""	"KIR2DL4"	"NCF2"	"CXCR6"	"FASLG"	"GZMK"	"LCK"	"HK3"	"TREM2"	"FGR"	""	""	""
"IRF8"	""	"CYTH4"	""	"LILRA2"	""	"KIR3DL1"	"P2RY13"	"DPEP2"	"GIMAP4"	"IFNG"	"LTB"	"IDO1"	""	"FPR1"	""	""	""
"KIAA0125"	""	"EBI3"	""	"LILRB1"	""	"KIR3DL3"	"PDE4B"	"FAIM3"	"GIMAP6"	"IL18RAP"	"RGS1"	"IGSF6"	""	"FPR2"	""	""	""
"LILRB1"	""	"FGL2"	""	"MMP19"	""	"KLRB1"	"VNN2"	"FAM65B"	"GPR15"	"IL2RA"	""	"IL12B"	""	"GPR183"	""	""	""
"LTB"	""	"FPR3"	""	"MMP9"	""	"KLRD1"	""	"FCN1"	"GPR171"	"IL2RB"	""	"IRF8"	""	"HCK"	""	""	""
"LY9"	""	"GPR132"	""	"MS4A6A"	""	"KLRG1"	""	"GIMAP4"	"GPR65"	"ITGAL"	""	"LILRB1"	""	"HK3"	""	""	""
"MEFV"	""	"GZMB"	""	"NCF2"	""	"KLRK1"	""	"GIMAP6"	"GPR68"	"ITGB7"	""	"MMP19"	""	"HSPA6"	""	""	""
"P2RX5"	""	"HAVCR2"	""	"NCKAP1L"	""	"LAG3"	""	"GPR132"	"GZMA"	"ITK"	""	"PILRA"	""	"IL10RA"	""	""	""
"PNOC"	""	"HCK"	""	"PILRA"	""	"LTA"	""	"GPR15"	"GZMB"	"KLRB1"	""	"SIGLEC1"	""	"LILRA1"	""	""	""
"POU2F2"	""	"HK3"	""	"PLA2G7"	""	"LTB"	""	"GPR171"	"GZMH"	"KLRG1"	""	"SLAMF1"	""	"LILRA2"	""	""	""
"RASGRP2"	""	"HS3ST3B1"	""	"SIGLEC1"	""	"NCR3"	""	"GPR183"	"GZMK"	"LAG3"	""	"SLAMF8"	""	"LILRB1"	""	""	""
"S1PR4"	""	"IDO1"	""	"SLAMF8"	""	"NKG7"	""	"GPSM3"	"GZMM"	"LCP2"	""	"SLC11A1"	""	"LILRB2"	""	""	""
"SPIB"	""	"IL10RA"	""	"SLC11A1"	""	"PRF1"	""	"GZMA"	"IFNG"	"LTA"	""	"TFEC"	""	"LILRB3"	""	""	""
"STAP1"	""	"IL12B"	""	"STAB1"	""	"PTGDR"	""	"GZMB"	"IL10RA"	"MMP25"	""	"TNFAIP6"	""	"LST1"	""	""	""
"TNFRSF17"	""	"IL2RA"	""	"TFEC"	""	"SAMD3"	""	"GZMK"	"IL16"	"NCR3"	""	"TNIP3"	""	"MEFV"	""	""	""
"VPREB3"	""	"IL3RA"	""	"TREM2"	""	"SERPINB9"	""	"GZMM"	"IL18RAP"	"NKG7"	""	"TREM2"	""	"MNDA"	""	""	""
""	""	"IRF4"	""	""	""	"TBX21"	""	"ICOS"	"IL2RB"	"PRF1"	""	""	""	"MS4A6A"	""	""	""
""	""	"ITGAX"	""	""	""	""	""	"IFNG"	"ITGAL"	"PTPN7"	""	""	""	"MYO1F"	""	""	""
""	""	"LILRB1"	""	""	""	""	""	"IKZF1"	"ITK"	"PVRIG"	""	""	""	"NCF2"	""	""	""
""	""	"LILRB2"	""	""	""	""	""	"IL10RA"	"KLRB1"	"SASH3"	""	""	""	"NCF4"	""	""	""
""	""	"MMP25"	""	""	""	""	""	"IL16"	"KLRD1"	"SLAMF1"	""	""	""	"P2RY13"	""	""	""
""	""	"MNDA"	""	""	""	""	""	"IL2RA"	"KLRG1"	"TBX21"	""	""	""	"PILRA"	""	""	""
""	""	"MS4A6A"	""	""	""	""	""	"IL2RB"	"KLRK1"	""	""	""	""	"PLEK"	""	""	""
""	""	"NCF2"	""	""	""	""	""	"ITGB7"	"LAG3"	""	""	""	""	"POU2F2"	""	""	""
""	""	"NR4A3"	""	""	""	""	""	"ITK"	"LCK"	""	""	""	""	"RHOG"	""	""	""
""	""	"OAS3"	""	""	""	""	""	"JAK3"	"LTB"	""	""	""	""	"RNASE2"	""	""	""
""	""	"PLA2G7"	""	""	""	""	""	"KLRB1"	"LY9"	""	""	""	""	"SAMSN1"	""	""	""
""	""	"RHOG"	""	""	""	""	""	"LCK"	"MMP19"	""	""	""	""	"SLC11A1"	""	""	""
""	""	"RNASE6"	""	""	""	""	""	"LTA"	"MYO1F"	""	""	""	""	"STAB1"	""	""	""
""	""	"RSAD2"	""	""	""	""	""	"LTB"	"NCR3"	""	""	""	""	"TLR8"	""	""	""
""	""	"SAMSN1"	""	""	""	""	""	"LY9"	"NKG7"	""	""	""	""	"WAS"	""	""	""
""	""	"SIGLEC1"	""	""	""	""	""	"PTGER2"	"PRF1"	""	""	""	""	""	""	""	""
""	""	"SLAMF1"	""	""	""	""	""	"PTPRCAP"	"PTGDR"	""	""	""	""	""	""	""	""
""	""	"SLAMF8"	""	""	""	""	""	"PVRIG"	"PTPRC"	""	""	""	""	""	""	""	""
""	""	"SPIB"	""	""	""	""	""	"RGS1"	"PTPRCAP"	""	""	""	""	""	""	""	""
""	""	"STAB1"	""	""	""	""	""	"SAMSN1"	"PVRIG"	""	""	""	""	""	""	""	""
""	""	"TFEC"	""	""	""	""	""	"SELPLG"	"PYHIN1"	""	""	""	""	""	""	""	""
""	""	"TM7SF4"	""	""	""	""	""	"SLAMF1"	"RGS1"	""	""	""	""	""	""	""	""
""	""	"TNFAIP6"	""	""	""	""	""	"STAP1"	"RHOG"	""	""	""	""	""	""	""	""
""	""	"TNFRSF4"	""	""	""	""	""	"TNFRSF4"	"SASH3"	""	""	""	""	""	""	""	""
""	""	"TRAF1"	""	""	""	""	""	"TNFSF8"	"SLAMF1"	""	""	""	""	""	""	""	""
""	""	"TREM2"	""	""	""	""	""	"TRAF1"	"TBX21"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TRAF3IP3"	"TNFSF8"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TRAT1"	"TRAF3IP3"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ZAP70"	"WAS"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	"ZAP70"	""	""	""	""	""	""	""	""
