"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"IL12B"	""	"CLEC4A"	""	"FPR3"	""	"IFNG"	"NCF2"	"CLC"	"CXCR6"	"GZMB"	"ITGB7"	"HCK"	"SLAMF8"	"FGL2"	""	""	""
"IL4R"	""	"CLEC7A"	""	"HK3"	""	"IL18RAP"	"P2RY13"	"CTLA4"	"CYTH4"	"GZMH"	"ITK"	"HK3"	"SLC15A3"	"FGR"	""	""	""
"IRF8"	""	"CSF1R"	""	"IGSF6"	""	"IL2RB"	"PDE4B"	"CTSW"	"EOMES"	"GZMK"	"LCK"	"IDO1"	"TFEC"	"FPR1"	""	""	""
"KIAA0125"	""	"CXCL10"	""	"IL12B"	""	"KIR2DL4"	"VNN2"	"CXCR6"	"FAIM3"	"IFNG"	"LTB"	"IGSF6"	"TREM2"	"FPR2"	""	""	""
"LILRB1"	""	"CXCL9"	""	"ITGAX"	""	"KLRB1"	""	"DPEP2"	"FASLG"	"IL18RAP"	"RGS1"	"IL12B"	""	"GPR183"	""	""	""
"LTB"	""	"CYTH4"	""	"LILRA2"	""	"KLRD1"	""	"FAIM3"	"GIMAP4"	"IL2RA"	""	"IRF8"	""	"HCK"	""	""	""
"LY9"	""	"EBI3"	""	"LILRB1"	""	"KLRF1"	""	"FAM65B"	"GIMAP6"	"IL2RB"	""	"LILRB1"	""	"HK3"	""	""	""
"MEFV"	""	"FGL2"	""	"MMP9"	""	"KLRG1"	""	"FCN1"	"GNLY"	"ITGAL"	""	"PILRA"	""	"IL10RA"	""	""	""
"PNOC"	""	"FPR3"	""	"MS4A6A"	""	"KLRK1"	""	"GIMAP4"	"GPR15"	"ITGB7"	""	"SIGLEC1"	""	"LILRA1"	""	""	""
"POU2F2"	""	"GPR132"	""	"NCF2"	""	"LAG3"	""	"GIMAP6"	"GPR171"	"ITK"	""	"SLAMF1"	""	"LILRA2"	""	""	""
"RASGRP2"	""	"GZMB"	""	"NCKAP1L"	""	"LTA"	""	"GPR132"	"GPR65"	"KLRB1"	""	"SLAMF8"	""	"LILRB1"	""	""	""
"S1PR4"	""	"HAVCR2"	""	"PILRA"	""	"LTB"	""	"GPR15"	"GPR68"	"KLRG1"	""	"TFEC"	""	"LILRB2"	""	""	""
"SPIB"	""	"HCK"	""	"PLA2G7"	""	"NCR3"	""	"GPR171"	"GZMA"	"LAG3"	""	"TNFAIP6"	""	"LILRB3"	""	""	""
"STAP1"	""	"HK3"	""	"SIGLEC1"	""	"NKG7"	""	"GPR183"	"GZMB"	"LCP2"	""	"TNIP3"	""	"LST1"	""	""	""
"TNFRSF17"	""	"HLA-DQA1"	""	"SLAMF8"	""	"PRF1"	""	"GPSM3"	"GZMH"	"LTA"	""	"TREM2"	""	"MEFV"	""	""	""
""	""	"IDO1"	""	"STAB1"	""	"PTGDR"	""	"GZMA"	"GZMK"	"MMP25"	""	""	""	"MNDA"	""	""	""
""	""	"IL10RA"	""	"TFEC"	""	"SAMD3"	""	"GZMB"	"GZMM"	"NCR3"	""	""	""	"MS4A6A"	""	""	""
""	""	"IL12B"	""	"TREM2"	""	"SERPINB9"	""	"GZMK"	"IFNG"	"NKG7"	""	""	""	"MYO1F"	""	""	""
""	""	"IL2RA"	""	""	""	"TBX21"	""	"GZMM"	"IL10RA"	"PRF1"	""	""	""	"NCF2"	""	""	""
""	""	"IL3RA"	""	""	""	""	""	"ICOS"	"IL16"	"PTPN7"	""	""	""	"NCF4"	""	""	""
""	""	"IRF4"	""	""	""	""	""	"IFNG"	"IL18RAP"	"SASH3"	""	""	""	"OSM"	""	""	""
""	""	"ITGAX"	""	""	""	""	""	"IKZF1"	"IL2RB"	"SLAMF1"	""	""	""	"P2RY13"	""	""	""
""	""	"KYNU"	""	""	""	""	""	"IL10RA"	"ITGAL"	"TBX21"	""	""	""	"PILRA"	""	""	""
""	""	"LILRB1"	""	""	""	""	""	"IL16"	"ITK"	""	""	""	""	"PLEK"	""	""	""
""	""	"LILRB2"	""	""	""	""	""	"IL2RA"	"KLRB1"	""	""	""	""	"POU2F2"	""	""	""
""	""	"MMP25"	""	""	""	""	""	"IL2RB"	"KLRD1"	""	""	""	""	"RHOG"	""	""	""
""	""	"MNDA"	""	""	""	""	""	"ITGB7"	"KLRG1"	""	""	""	""	"RNASE2"	""	""	""
""	""	"MS4A6A"	""	""	""	""	""	"ITK"	"KLRK1"	""	""	""	""	"SAMSN1"	""	""	""
""	""	"NCF2"	""	""	""	""	""	"JAK3"	"LAG3"	""	""	""	""	"STAB1"	""	""	""
""	""	"NR4A3"	""	""	""	""	""	"KLRB1"	"LCK"	""	""	""	""	"TLR8"	""	""	""
""	""	"OAS3"	""	""	""	""	""	"LCK"	"LTB"	""	""	""	""	"WAS"	""	""	""
""	""	"OSM"	""	""	""	""	""	"LTA"	"LY9"	""	""	""	""	""	""	""	""
""	""	"PLA2G7"	""	""	""	""	""	"LTB"	"MYO1F"	""	""	""	""	""	""	""	""
""	""	"RHOG"	""	""	""	""	""	"LY9"	"NCR3"	""	""	""	""	""	""	""	""
""	""	"RNASE6"	""	""	""	""	""	"OSM"	"NKG7"	""	""	""	""	""	""	""	""
""	""	"RSAD2"	""	""	""	""	""	"PTGER2"	"PRF1"	""	""	""	""	""	""	""	""
""	""	"SAMSN1"	""	""	""	""	""	"PTPRCAP"	"PTGDR"	""	""	""	""	""	""	""	""
""	""	"SIGLEC1"	""	""	""	""	""	"RGS1"	"PTPRC"	""	""	""	""	""	""	""	""
""	""	"SLAMF1"	""	""	""	""	""	"SAMSN1"	"PTPRCAP"	""	""	""	""	""	""	""	""
""	""	"SLAMF8"	""	""	""	""	""	"SELPLG"	"PYHIN1"	""	""	""	""	""	""	""	""
""	""	"SPIB"	""	""	""	""	""	"SLAMF1"	"RGS1"	""	""	""	""	""	""	""	""
""	""	"STAB1"	""	""	""	""	""	"STAP1"	"RHOG"	""	""	""	""	""	""	""	""
""	""	"TFEC"	""	""	""	""	""	"TBX21"	"SASH3"	""	""	""	""	""	""	""	""
""	""	"TNFAIP6"	""	""	""	""	""	"TNFRSF4"	"SLAMF1"	""	""	""	""	""	""	""	""
""	""	"TNFRSF4"	""	""	""	""	""	"TNFSF8"	"TBX21"	""	""	""	""	""	""	""	""
""	""	"TRAF1"	""	""	""	""	""	"TRAF1"	"TNFSF8"	""	""	""	""	""	""	""	""
""	""	"TREM2"	""	""	""	""	""	"TRAF3IP3"	"TRAF3IP3"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TRAT1"	"WAS"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ZAP70"	"ZAP70"	""	""	""	""	""	""	""	""
