"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"IL4R"	""	"CXCL10"	""	"IL12B"	""	"KIR2DL4"	"TNFRSF10C"	"FAIM3"	"FAIM3"	"GZMK"	""	"IDO1"	""	""	""	"FPR1"	""	"CCR1"
"IRF8"	""	"CXCL9"	""	"ITGAX"	""	"KIR3DL1"	"VNN2"	"FCN1"	"FASLG"	"IFNG"	""	"IGSF6"	""	""	""	"FPR2"	""	"CCR2"
"KIAA0125"	""	"CYTH4"	""	"LILRA2"	""	"KLRB1"	"ZDHHC18"	"GIMAP4"	"GIMAP4"	"IL18RAP"	""	"IL12B"	""	""	""	"GPR183"	""	"CCR3"
"LILRB1"	""	"EBI3"	""	"LILRB1"	""	"KLRD1"	""	"GIMAP6"	"GIMAP6"	"IL2RA"	""	"IRF8"	""	""	""	"HCK"	""	"CCR5"
"LY9"	""	"FGL2"	""	"MMP9"	""	"KLRF1"	""	"GPR132"	"GPR15"	"IL2RB"	""	"LILRB1"	""	""	""	"HK3"	""	"CCR7"
"MEFV"	""	"FPR3"	""	"MS4A6A"	""	"KLRG1"	""	"GPR15"	"GPR171"	"ITGAL"	""	"NECAP2"	""	""	""	"IL10RA"	""	"CD160"
"P2RX5"	""	"GPR132"	""	"NCF2"	""	"KLRK1"	""	"GPR171"	"GPR65"	"ITGB7"	""	"PILRA"	""	""	""	"LILRA1"	""	"CD19"
"PNOC"	""	"GRB2"	""	"NCKAP1L"	""	"LAG3"	""	"GPR183"	"GPR68"	"ITK"	""	"SIGLEC1"	""	""	""	"LILRA2"	""	"CD1A"
"POU2F2"	""	"GZMB"	""	"NECAP2"	""	"LTA"	""	"GPSM3"	"GZMA"	"KLRB1"	""	"SLAMF1"	""	""	""	"LILRB1"	""	"CD1B"
"PTPN6"	""	"HAVCR2"	""	"PILRA"	""	"NCR3"	""	"GZMA"	"GZMB"	"KLRG1"	""	"SLAMF8"	""	""	""	"LILRB2"	""	"CD1C"
"RASGRP2"	""	"HCK"	""	"PLA2G7"	""	"NKG7"	""	"GZMB"	"GZMH"	"LAG3"	""	"SLC11A1"	""	""	""	"LILRB3"	""	"CD1E"
"S1PR4"	""	"HK3"	""	"SIGLEC1"	""	"PRF1"	""	"GZMK"	"GZMK"	"LCP2"	""	"TFEC"	""	""	""	"LST1"	""	"CD2"
"SPIB"	""	"HLA-DQA1"	""	"SLAMF8"	""	"PTGDR"	""	"GZMM"	"GZMM"	"LTA"	""	"TNFAIP6"	""	""	""	"MEFV"	""	"CD209"
"STAP1"	""	"HS3ST3B1"	""	"SLC11A1"	""	"SAMD3"	""	"ICOS"	"IFNG"	"MMP25"	""	"TNIP3"	""	""	""	"MNDA"	""	"CD244"
"TNFRSF17"	""	"IDO1"	""	"STAB1"	""	"SERPINB9"	""	"IFNG"	"IL10RA"	"NCR3"	""	"TREM2"	""	""	""	"MS4A6A"	""	"CD247"
"VPREB3"	""	"IL10RA"	""	"TFEC"	""	"TBX21"	""	"IKZF1"	"IL16"	"NKG7"	""	"WTAP"	""	""	""	"MYO1F"	""	"CD27"
""	""	"IL12B"	""	"TREM2"	""	"XCL1"	""	"IL10RA"	"IL18RAP"	"PRF1"	""	""	""	""	""	"NCF2"	""	"CD300A"
""	""	"IL2RA"	""	"WTAP"	""	""	""	"IL16"	"IL2RB"	"PTPN7"	""	""	""	""	""	"NCF4"	""	"CD37"
""	""	"IL3RA"	""	""	""	""	""	"IL2RA"	"ITGAL"	"PVRIG"	""	""	""	""	""	"OSM"	""	"CD38"
""	""	"KYNU"	""	""	""	""	""	"IL2RB"	"ITK"	"SASH3"	""	""	""	""	""	"P2RY13"	""	"CD3E"
""	""	"LILRB1"	""	""	""	""	""	"ITGB7"	"KLRB1"	"SLAMF1"	""	""	""	""	""	"PILRA"	""	"CD3G"
""	""	"LILRB2"	""	""	""	""	""	"ITK"	"KLRD1"	"TBX21"	""	""	""	""	""	"PLEK"	""	"CD40"
""	""	"MMP12"	""	""	""	""	""	"JAK3"	"KLRG1"	""	""	""	""	""	""	"POU2F2"	""	"CD5"
""	""	"MMP25"	""	""	""	""	""	"KLRB1"	"KLRK1"	""	""	""	""	""	""	"RGS19"	""	"CD53"
""	""	"MNDA"	""	""	""	""	""	"LCK"	"LAG3"	""	""	""	""	""	""	"RHOG"	""	"CD6"
""	""	"MS4A6A"	""	""	""	""	""	"LTA"	"LCK"	""	""	""	""	""	""	"RNASE2"	""	"CD69"
""	""	"NCF2"	""	""	""	""	""	"LY9"	"LY9"	""	""	""	""	""	""	"S100A12"	""	"CD7"
""	""	"NECAP2"	""	""	""	""	""	"NECAP2"	"MYO1F"	""	""	""	""	""	""	"SAMSN1"	""	"CD79A"
""	""	"OAS3"	""	""	""	""	""	"OSM"	"NCR3"	""	""	""	""	""	""	"SLC11A1"	""	"CD79B"
""	""	"OSM"	""	""	""	""	""	"PIK3IP1"	"NKG7"	""	""	""	""	""	""	"STAB1"	""	"CD80"
""	""	"PLA2G7"	""	""	""	""	""	"PTGER2"	"PIK3IP1"	""	""	""	""	""	""	"TLR2"	""	"CD84"
""	""	"RHOG"	""	""	""	""	""	"PTPRCAP"	"PRF1"	""	""	""	""	""	""	"TLR8"	""	"CD86"
""	""	"RNASE6"	""	""	""	""	""	"PVRIG"	"PTGDR"	""	""	""	""	""	""	"VASP"	""	"CD8B"
""	""	"RSAD2"	""	""	""	""	""	"SAMSN1"	"PTPRC"	""	""	""	""	""	""	"WAS"	""	"CD96"
""	""	"SAMSN1"	""	""	""	""	""	"SELPLG"	"PTPRCAP"	""	""	""	""	""	""	"WTAP"	""	"CFP"
""	""	"SIGLEC1"	""	""	""	""	""	"SLAMF1"	"PVRIG"	""	""	""	""	""	""	""	""	"CHI3L1"
""	""	"SLAMF1"	""	""	""	""	""	"STAP1"	"PYHIN1"	""	""	""	""	""	""	""	""	"CISH"
""	""	"SLAMF8"	""	""	""	""	""	"TBX21"	"RHOG"	""	""	""	""	""	""	""	""	"CLC"
""	""	"SNX11"	""	""	""	""	""	"TCF7"	"SASH3"	""	""	""	""	""	""	""	""	"CLEC10A"
""	""	"SPIB"	""	""	""	""	""	"TNFRSF4"	"SLAMF1"	""	""	""	""	""	""	""	""	"CLEC4A"
""	""	"STAB1"	""	""	""	""	""	"TNFSF8"	"TBX21"	""	""	""	""	""	""	""	""	"CLEC4E"
""	""	"TFEC"	""	""	""	""	""	"TRADD"	"TNFSF8"	""	""	""	""	""	""	""	""	"CLEC5A"
""	""	"TM7SF4"	""	""	""	""	""	"TRAF1"	"TRADD"	""	""	""	""	""	""	""	""	"CLEC7A"
""	""	"TNFAIP6"	""	""	""	""	""	"TRAF3IP3"	"TRAF3IP3"	""	""	""	""	""	""	""	""	"CLIC2"
""	""	"TNFRSF4"	""	""	""	""	""	"TRAT1"	"TSC22D3"	""	""	""	""	""	""	""	""	"CR1"
""	""	"TRAF1"	""	""	""	""	""	"ZAP70"	"WAS"	""	""	""	""	""	""	""	""	"CRTAM"
""	""	"TREM2"	""	""	""	""	""	""	"XCL1"	""	""	""	""	""	""	""	""	"CSF1"
""	""	"WTAP"	""	""	""	""	""	""	"ZAP70"	""	""	""	""	""	""	""	""	"CSF1R"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CSF2RB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CSF3R"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CST7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CTLA4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CTSW"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CX3CR1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL10"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL11"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL5"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCR1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCR2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCR6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CYBA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CYBB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CYTH4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DEFA4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DOK3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DPEP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DUSP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EBI3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EMR3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ENTPD1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EOMES"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FAIM3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FASLG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCAR"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCER1A"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCN1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCRL2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FGL2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FGR"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FPR1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FPR2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FPR3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GIMAP4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GIMAP6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GMIP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR132"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR15"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR171"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR18"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR183"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR65"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR68"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPRC5D"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPSM3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GRB2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMH"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMM"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HAVCR2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HCK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HK3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HLA-DOB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HLA-DQA1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HPSE"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HS3ST3B1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ICOS"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IDO1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IFNG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IGSF6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IKZF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL10RA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL12B"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL16"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL18RAP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL2RA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL2RB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL3RA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL4R"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IRF8"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITGAL"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITGAX"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITGB7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"JAK3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KIAA0125"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KIR2DL3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KIR2DL4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KIR3DL1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRB1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRD1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRG1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRK1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KYNU"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LAG3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LCK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LCP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRA1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRA2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRB1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRB2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRB3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LRMP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LST1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LTA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LY9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MEFV"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MMP12"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MMP25"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MMP9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MNDA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MS4A6A"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MYO1F"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCF2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCF4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCKAP1L"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCR3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NECAP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NKG7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NMI"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NPL"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OAS3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OSM"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"P2RX5"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"P2RY13"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PDCD1LG2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PIK3IP1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PILRA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PLA2G7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PLEK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PNOC"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"POU2F2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PRF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTGDR"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTGER2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTPN6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTPN7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTPRC"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTPRCAP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PVRIG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PYHIN1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RASGRP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RGS19"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RHOG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RNASE2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RNASE6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RORA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RSAD2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"S100A12"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"S1PR4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SAMD3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SAMSN1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SASH3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SELPLG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SERPINB9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SIGLEC1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SLAMF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SLAMF8"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SLC11A1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SLC15A3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SNX11"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SPIB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"STAB1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"STAP1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TBX21"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TCF7"
