"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"LY9"	""	"CYTH4"	""	"NECAP2"	""	"IFNG"	""	"CD6"	"CD96"	"GZMA"	"ICOS"	"SLAMF8"	""	""	""	"GPR183"	""	"CD244"
"RASGRP2"	""	"EBI3"	""	"PLA2G7"	""	"IL18RAP"	""	"CD69"	"CRTAM"	"GZMH"	"IL10RA"	""	""	""	""	"HCK"	""	"CD247"
"S1PR4"	""	"HAVCR2"	""	"SLAMF8"	""	"IL2RB"	""	"CD7"	"CST7"	"GZMK"	"IL2RB"	""	""	""	""	"IL10RA"	""	"CD27"
"SPIB"	""	"HCK"	""	"STAB1"	""	"KIR2DL3"	""	"CD96"	"CTSW"	"IFNG"	"ITGB7"	""	""	""	""	"LILRA2"	""	"CD300A"
"TNFRSF17"	""	"IL10RA"	""	""	""	"KLRB1"	""	"CTLA4"	"CXCR6"	"IL18RAP"	"ITK"	""	""	""	""	"LILRB1"	""	"CD37"
""	""	"IRF4"	""	""	""	"KLRD1"	""	"CTSW"	"CYTH4"	"IL2RB"	"LCK"	""	""	""	""	"LILRB3"	""	"CD3D"
""	""	"LILRB1"	""	""	""	"KLRG1"	""	"CXCR6"	"FAIM3"	"ITGAL"	"LTB"	""	""	""	""	"LST1"	""	"CD3E"
""	""	"MS4A6A"	""	""	""	"KLRK1"	""	"DPEP2"	"GIMAP4"	"ITGB7"	"RGS1"	""	""	""	""	"MS4A6A"	""	"CD3G"
""	""	"NECAP2"	""	""	""	"LTB"	""	"FAIM3"	"GIMAP6"	"ITK"	""	""	""	""	""	"MYO1F"	""	"CD48"
""	""	"PLA2G7"	""	""	""	"NCR3"	""	"FAM65B"	"GNLY"	"KLRB1"	""	""	""	""	""	"NCF4"	""	"CD5"
""	""	"SAMSN1"	""	""	""	"NKG7"	""	"FCN1"	"GPR171"	"KLRG1"	""	""	""	""	""	"PLEK"	""	"CD53"
""	""	"SLAMF1"	""	""	""	"PRF1"	""	"GIMAP4"	"GPR65"	"LCP2"	""	""	""	""	""	"RNASE2"	""	"CD6"
""	""	"SLAMF8"	""	""	""	"PTGDR"	""	"GIMAP6"	"GZMA"	"NCR3"	""	""	""	""	""	"SAMSN1"	""	"CD69"
""	""	"SPIB"	""	""	""	"SAMD3"	""	"GPR171"	"GZMH"	"NKG7"	""	""	""	""	""	"STAB1"	""	"CD7"
""	""	"STAB1"	""	""	""	"TBX21"	""	"GPR183"	"GZMK"	"PRF1"	""	""	""	""	""	"WAS"	""	"CD79A"
""	""	"TNFRSF4"	""	""	""	""	""	"GZMA"	"GZMM"	"PTPN7"	""	""	""	""	""	""	""	"CD79B"
""	""	""	""	""	""	""	""	"GZMK"	"IFNG"	"PVRIG"	""	""	""	""	""	""	""	"CD86"
""	""	""	""	""	""	""	""	"GZMM"	"IL10RA"	"SASH3"	""	""	""	""	""	""	""	"CD96"
""	""	""	""	""	""	""	""	"ICOS"	"IL16"	"SLAMF1"	""	""	""	""	""	""	""	"CLEC10A"
""	""	""	""	""	""	""	""	"IFNG"	"IL18RAP"	"TBX21"	""	""	""	""	""	""	""	"CLEC4A"
""	""	""	""	""	""	""	""	"IKZF1"	"IL2RB"	""	""	""	""	""	""	""	""	"CLIC2"
""	""	""	""	""	""	""	""	"IL10RA"	"ITGAL"	""	""	""	""	""	""	""	""	"CRTAM"
""	""	""	""	""	""	""	""	"IL16"	"ITK"	""	""	""	""	""	""	""	""	"CSF1"
""	""	""	""	""	""	""	""	"IL2RB"	"KLRB1"	""	""	""	""	""	""	""	""	"CSF1R"
""	""	""	""	""	""	""	""	"ITGB7"	"KLRD1"	""	""	""	""	""	""	""	""	"CSF2RB"
""	""	""	""	""	""	""	""	"ITK"	"KLRG1"	""	""	""	""	""	""	""	""	"CST7"
""	""	""	""	""	""	""	""	"KLRB1"	"KLRK1"	""	""	""	""	""	""	""	""	"CTLA4"
""	""	""	""	""	""	""	""	"LCK"	"LCK"	""	""	""	""	""	""	""	""	"CTSW"
""	""	""	""	""	""	""	""	"LTB"	"LTB"	""	""	""	""	""	""	""	""	"CXCR6"
""	""	""	""	""	""	""	""	"LY9"	"LY9"	""	""	""	""	""	""	""	""	"CYBB"
""	""	""	""	""	""	""	""	"NECAP2"	"MYO1F"	""	""	""	""	""	""	""	""	"CYTH4"
""	""	""	""	""	""	""	""	"PTGER2"	"NCR3"	""	""	""	""	""	""	""	""	"DEFA4"
""	""	""	""	""	""	""	""	"PTPRCAP"	"NKG7"	""	""	""	""	""	""	""	""	"DPEP2"
""	""	""	""	""	""	""	""	"PVRIG"	"PRF1"	""	""	""	""	""	""	""	""	"EBI3"
""	""	""	""	""	""	""	""	"RGS1"	"PTGDR"	""	""	""	""	""	""	""	""	"FAIM3"
""	""	""	""	""	""	""	""	"SAMSN1"	"PTPRC"	""	""	""	""	""	""	""	""	"FAM65B"
""	""	""	""	""	""	""	""	"SELPLG"	"PTPRCAP"	""	""	""	""	""	""	""	""	"FCN1"
""	""	""	""	""	""	""	""	"SLAMF1"	"PVRIG"	""	""	""	""	""	""	""	""	"FCRL2"
""	""	""	""	""	""	""	""	"TBX21"	"PYHIN1"	""	""	""	""	""	""	""	""	"FGR"
""	""	""	""	""	""	""	""	"TNFRSF4"	"RGS1"	""	""	""	""	""	""	""	""	"GIMAP4"
""	""	""	""	""	""	""	""	"TRADD"	"SASH3"	""	""	""	""	""	""	""	""	"GIMAP6"
""	""	""	""	""	""	""	""	"TRAF3IP3"	"SLAMF1"	""	""	""	""	""	""	""	""	"GNLY"
""	""	""	""	""	""	""	""	"TRAT1"	"TBX21"	""	""	""	""	""	""	""	""	"GPR171"
""	""	""	""	""	""	""	""	"ZAP70"	"TRADD"	""	""	""	""	""	""	""	""	"GPR18"
""	""	""	""	""	""	""	""	""	"TRAF3IP3"	""	""	""	""	""	""	""	""	"GPR183"
""	""	""	""	""	""	""	""	""	"WAS"	""	""	""	""	""	""	""	""	"GPR65"
""	""	""	""	""	""	""	""	""	"ZAP70"	""	""	""	""	""	""	""	""	"GZMA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMH"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMM"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HAVCR2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HCK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ICOS"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IFNG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IGSF6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IKZF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL10RA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL16"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL18RAP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL2RB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL4R"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IRF4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITGAL"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITGAX"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITGB7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KIR2DL3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRB1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRD1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRG1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRK1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LCK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LCP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRA2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRB1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRB3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LRMP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LST1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LTB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LY9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MS4A6A"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MYO1F"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCF4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCKAP1L"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCR3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NECAP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NKG7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NPL"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PDE4B"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PLA2G7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PLEK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PRF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTGDR"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTGER2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTPN7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTPRC"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTPRCAP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PVRIG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PYHIN1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RASGRP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RGS1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RNASE2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"S1PR4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SAMD3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SAMSN1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SASH3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SELPLG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SLAMF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SLAMF8"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SPIB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"STAB1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TBX21"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TNFRSF17"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TNFRSF4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TRADD"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TRAF3IP3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TRAT1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VNN2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"WAS"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ZAP70"
