"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"CD80"	""	"CD1C"	"GPR65"	"CLEC5A"	""	"EOMES"	"FPR2"	"CD37"	"CD3G"	"CST7"	"CTLA4"	"CLEC4E"	"MMP9"	""	"WISP1"	"CLEC7A"	"IRF4"	"BIN2"
"CR1"	""	"CD1E"	"LRMP"	"CSF1"	""	"FASLG"	"HCK"	"CD3E"	"CD7"	"CTLA4"	"CXCR6"	"CSF1"	"MS4A6A"	""	"WNT2"	"CSF1R"	"KIAA0125"	"BLK"
"FAIM3"	""	"CD209"	"MMP25"	"CSF1R"	""	"GZMA"	"HSPA6"	"CD3G"	"CD8B"	"CXCR6"	"FAIM3"	"CSF1R"	"NCF2"	""	""	"CSF3R"	"PNOC"	"CCL17"
"FAM65B"	""	"CD80"	"NCF2"	"CXCL9"	""	"GZMB"	"IL18RAP"	"CD5"	"CD96"	"FASLG"	"GPR171"	"CXCL10"	"NCKAP1L"	""	""	"CX3CR1"	"RGS1"	"CCL19"
"FCAR"	""	"CD86"	"RGS1"	"CYBB"	""	"GZMH"	"LILRA1"	"CD6"	"CHST12"	"GMIP"	"HS3ST3B1"	"CXCL11"	"NPL"	""	""	"CXCR2"	"TNFRSF17"	"CCL22"
"FCRL2"	""	"CLEC10A"	"RNASE2"	"FGR"	""	"GZMK"	"LILRA2"	"CD69"	"CRTAM"	"GPR15"	"ICOS"	"CXCL9"	"PDCD1LG2"	""	""	"CYBB"	"VPREB3"	"CCL24"
"GMIP"	""	"CLEC4A"	"SAMSN1"	"FPR2"	""	"GZMM"	"LILRB2"	"CD7"	"CST7"	"GPR171"	"IL10RA"	"CYBB"	"PILRA"	""	""	"DOK3"	"ZBP1"	"CCL8"
"GNG7"	""	"CLEC7A"	"THBS1"	"FPR3"	""	"IFNG"	"LST1"	"CD96"	"CTSW"	"GPR68"	"IL2RA"	"EBI3"	"RNASE6"	""	""	"DPEP2"	""	"CCR1"
"GPR18"	""	"CLIC2"	""	"HK3"	""	"IL18RAP"	"MEFV"	"CLC"	"CX3CR1"	"GZMA"	"IL2RB"	"FPR2"	"SLAMF8"	""	""	"FCAR"	""	"CCR2"
"HLA-DOB"	""	"CSF1R"	""	"IGSF6"	""	"IL2RB"	"MMP25"	"CTLA4"	"CXCR6"	"GZMB"	"ITGB7"	"FPR3"	"SLC15A3"	""	""	"FCN1"	""	"CCR3"
"IL12B"	""	"CXCL10"	""	"IL12B"	""	"KIR2DL3"	"MNDA"	"CTSW"	"CYTH4"	"GZMH"	"ITK"	"HCK"	"TFEC"	""	""	"FGL2"	""	"CCR5"
"IL4R"	""	"CXCL9"	""	"ITGAX"	""	"KIR2DL4"	"NCF2"	"CXCR6"	"EOMES"	"GZMK"	"LCK"	"HK3"	"TREM2"	""	""	"FGR"	""	"CCR7"
"IRF8"	""	"CYTH4"	""	"LILRA2"	""	"KIR3DL1"	"P2RY13"	"DPEP2"	"FAIM3"	"IFNG"	"LTB"	"IDO1"	""	""	""	"FPR1"	""	"CD19"
"KIAA0125"	""	"EBI3"	""	"LILRB1"	""	"KIR3DL3"	"PDE4B"	"FAIM3"	"FASLG"	"IL18RAP"	"RGS1"	"IGSF6"	""	""	""	"FPR2"	""	"CD1B"
"LILRB1"	""	"FGL2"	""	"MMP19"	""	"KLRB1"	"VNN2"	"FAM65B"	"GIMAP4"	"IL2RA"	""	"IL12B"	""	""	""	"GPR183"	""	"CD1C"
"LTB"	""	"FPR3"	""	"MMP9"	""	"KLRD1"	""	"FCN1"	"GIMAP6"	"IL2RB"	""	"IRF8"	""	""	""	"HCK"	""	"CD1E"
"LY9"	""	"GPR132"	""	"MS4A6A"	""	"KLRG1"	""	"GIMAP4"	"GPR15"	"ITGAL"	""	"LILRB1"	""	""	""	"HK3"	""	"CD2"
"MEFV"	""	"GZMB"	""	"NCF2"	""	"KLRK1"	""	"GIMAP6"	"GPR171"	"ITGB7"	""	"MMP19"	""	""	""	"HSPA6"	""	"CD209"
"P2RX5"	""	"HAVCR2"	""	"NCKAP1L"	""	"LAG3"	""	"GPR132"	"GPR65"	"ITK"	""	"PILRA"	""	""	""	"IL10RA"	""	"CD244"
"PNOC"	""	"HCK"	""	"PILRA"	""	"LTA"	""	"GPR15"	"GPR68"	"KLRB1"	""	"SIGLEC1"	""	""	""	"LILRA1"	""	"CD247"
"POU2F2"	""	"HK3"	""	"PLA2G7"	""	"LTB"	""	"GPR171"	"GZMA"	"KLRG1"	""	"SLAMF1"	""	""	""	"LILRA2"	""	"CD27"
"RASGRP2"	""	"HS3ST3B1"	""	"SIGLEC1"	""	"NCR3"	""	"GPR183"	"GZMB"	"LAG3"	""	"SLAMF8"	""	""	""	"LILRB1"	""	"CD300A"
"S1PR4"	""	"IDO1"	""	"SLAMF8"	""	"NKG7"	""	"GPSM3"	"GZMH"	"LCP2"	""	"SLC11A1"	""	""	""	"LILRB2"	""	"CD37"
"SPIB"	""	"IL10RA"	""	"SLC11A1"	""	"PRF1"	""	"GZMA"	"GZMK"	"LTA"	""	"TFEC"	""	""	""	"LILRB3"	""	"CD38"
"STAP1"	""	"IL12B"	""	"STAB1"	""	"PTGDR"	""	"GZMB"	"GZMM"	"MMP25"	""	"TNFAIP6"	""	""	""	"LST1"	""	"CD3E"
"TNFRSF17"	""	"IL2RA"	""	"TFEC"	""	"SAMD3"	""	"GZMK"	"IFNG"	"NCR3"	""	"TNIP3"	""	""	""	"MEFV"	""	"CD3G"
"VPREB3"	""	"IL3RA"	""	"TREM2"	""	"SERPINB9"	""	"GZMM"	"IL10RA"	"NKG7"	""	"TREM2"	""	""	""	"MNDA"	""	"CD40"
""	""	"IRF4"	""	""	""	"TBX21"	""	"ICOS"	"IL16"	"PRF1"	""	""	""	""	""	"MS4A6A"	""	"CD5"
""	""	"LILRB1"	""	""	""	""	""	"IFNG"	"IL18RAP"	"PTPN7"	""	""	""	""	""	"MYO1F"	""	"CD53"
""	""	"LILRB2"	""	""	""	""	""	"IKZF1"	"IL2RB"	"PVRIG"	""	""	""	""	""	"NCF2"	""	"CD6"
""	""	"MMP25"	""	""	""	""	""	"IL10RA"	"ITGAL"	"SASH3"	""	""	""	""	""	"NCF4"	""	"CD69"
""	""	"MNDA"	""	""	""	""	""	"IL16"	"ITK"	"SLAMF1"	""	""	""	""	""	"P2RY13"	""	"CD7"
""	""	"MS4A6A"	""	""	""	""	""	"IL2RA"	"KLRB1"	"TBX21"	""	""	""	""	""	"PILRA"	""	"CD79A"
""	""	"NCF2"	""	""	""	""	""	"IL2RB"	"KLRD1"	""	""	""	""	""	""	"PLEK"	""	"CD79B"
""	""	"NR4A3"	""	""	""	""	""	"ITGB7"	"KLRG1"	""	""	""	""	""	""	"POU2F2"	""	"CD80"
""	""	"OAS3"	""	""	""	""	""	"ITK"	"KLRK1"	""	""	""	""	""	""	"RHOG"	""	"CD84"
""	""	"PLA2G7"	""	""	""	""	""	"JAK3"	"LAG3"	""	""	""	""	""	""	"RNASE2"	""	"CD86"
""	""	"RHOG"	""	""	""	""	""	"KLRB1"	"LCK"	""	""	""	""	""	""	"SAMSN1"	""	"CD8B"
""	""	"RNASE6"	""	""	""	""	""	"LCK"	"LTB"	""	""	""	""	""	""	"SLC11A1"	""	"CD96"
""	""	"RSAD2"	""	""	""	""	""	"LTA"	"LY9"	""	""	""	""	""	""	"STAB1"	""	"CFP"
""	""	"SAMSN1"	""	""	""	""	""	"LTB"	"MMP19"	""	""	""	""	""	""	"TLR8"	""	"CHI3L1"
""	""	"SIGLEC1"	""	""	""	""	""	"LY9"	"MYO1F"	""	""	""	""	""	""	"WAS"	""	"CHST12"
""	""	"SLAMF1"	""	""	""	""	""	"PTGER2"	"NCR3"	""	""	""	""	""	""	""	""	"CISH"
""	""	"SLAMF8"	""	""	""	""	""	"PTPRCAP"	"NKG7"	""	""	""	""	""	""	""	""	"CLC"
""	""	"SPIB"	""	""	""	""	""	"PVRIG"	"PRF1"	""	""	""	""	""	""	""	""	"CLEC10A"
""	""	"STAB1"	""	""	""	""	""	"RGS1"	"PTGDR"	""	""	""	""	""	""	""	""	"CLEC4A"
""	""	"TFEC"	""	""	""	""	""	"SAMSN1"	"PTPRC"	""	""	""	""	""	""	""	""	"CLEC4E"
""	""	"TM7SF4"	""	""	""	""	""	"SELPLG"	"PTPRCAP"	""	""	""	""	""	""	""	""	"CLEC5A"
""	""	"TNFAIP6"	""	""	""	""	""	"SLAMF1"	"PVRIG"	""	""	""	""	""	""	""	""	"CLEC7A"
""	""	"TNFRSF4"	""	""	""	""	""	"STAP1"	"PYHIN1"	""	""	""	""	""	""	""	""	"CLIC2"
""	""	"TRAF1"	""	""	""	""	""	"TBX21"	"RGS1"	""	""	""	""	""	""	""	""	"CR1"
""	""	"TREM2"	""	""	""	""	""	"TNFRSF4"	"RHOG"	""	""	""	""	""	""	""	""	"CRTAM"
""	""	""	""	""	""	""	""	"TNFSF8"	"SASH3"	""	""	""	""	""	""	""	""	"CSF1"
""	""	""	""	""	""	""	""	"TRAF1"	"SLAMF1"	""	""	""	""	""	""	""	""	"CSF1R"
""	""	""	""	""	""	""	""	"TRAF3IP3"	"TBX21"	""	""	""	""	""	""	""	""	"CSF2RB"
""	""	""	""	""	""	""	""	"TRAT1"	"TNFSF8"	""	""	""	""	""	""	""	""	"CSF3R"
""	""	""	""	""	""	""	""	"ZAP70"	"TRAF3IP3"	""	""	""	""	""	""	""	""	"CST7"
""	""	""	""	""	""	""	""	""	"WAS"	""	""	""	""	""	""	""	""	"CTLA4"
""	""	""	""	""	""	""	""	""	"ZAP70"	""	""	""	""	""	""	""	""	"CTSW"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CX3CR1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL10"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL11"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCR1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCR2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCR6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CYBB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CYTH4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DOK3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DPEP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EBI3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EMR3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ENTPD1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EOMES"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FAIM3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FAM65B"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FASLG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCAR"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCN1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCRL2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FGL2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FGR"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FPR1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FPR2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FPR3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GIMAP4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GIMAP6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GMIP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GNG7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR132"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR15"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR171"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR18"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR183"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR65"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR68"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPSM3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMH"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMM"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HAVCR2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HCK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HK3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HLA-DOB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HS3ST3B1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HSPA6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ICOS"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IDO1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IFNG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IGSF6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IKZF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL10RA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL12B"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL16"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL18RAP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL2RA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL2RB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL3RA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL4R"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IRF4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IRF8"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITGAL"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITGAX"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITGB7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"JAK3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KIAA0125"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KIR2DL3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KIR2DL4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KIR3DL1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KIR3DL3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRB1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRD1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRG1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRK1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LAG3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LCK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LCP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRA1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRA2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRB1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRB2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRB3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LRMP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LST1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LTA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LTB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LY9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MEFV"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MMP19"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MMP25"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MMP9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MNDA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MS4A6A"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MYO1F"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCF2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCF4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCKAP1L"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCR3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NKG7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NPL"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NR4A3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OAS3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"P2RX5"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"P2RY13"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PDCD1LG2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PDE4B"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PILRA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PLA2G7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PLEK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PNOC"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"POU2F2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PRF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTGDR"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTGER2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTPN7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTPRC"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTPRCAP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PVRIG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PYHIN1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RASGRP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RGS1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RHOG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RNASE2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RNASE6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RSAD2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"S1PR4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SAMD3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SAMSN1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SASH3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SELPLG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SERPINB9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SIGLEC1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SLAMF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SLAMF8"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SLC11A1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SLC15A3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SPIB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"STAB1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"STAP1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TBX21"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TFEC"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"THBS1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TLR8"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TM7SF4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TNFAIP6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TNFRSF17"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TNFRSF4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TNFSF8"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TNIP3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TRAF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TRAF3IP3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TRAT1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TREM2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VNN2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VPREB3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"WAS"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ZAP70"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ZBP1"
