"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"FAM65B"	""	"CD209"	"NCF2"	"CSF1"	""	"GZMH"	"LILRA2"	"CD69"	"CST7"	"GMIP"	"IL10RA"	"CXCL11"	"PDCD1LG2"	""	""	"CXCR2"	"SEC24A"	"CAMP"
"FCAR"	""	"CD80"	"RGS1"	"CSF1R"	""	"GZMK"	"LILRB2"	"CD7"	"CTSW"	"GPR15"	"IL2RA"	"CXCL9"	"PILRA"	""	""	"CYBB"	"TMED9"	"CCL1"
"FCRL2"	""	"CD86"	"RNASE2"	"CXCL5"	""	"GZMM"	"LST1"	"CD96"	"CX3CR1"	"GPR171"	"IL2RB"	"CYBB"	"RNASE6"	""	""	"DOK3"	"TNFRSF17"	"CCL17"
"GMIP"	""	"CLEC10A"	"SAMSN1"	"CXCL9"	""	"IFNG"	"MEFV"	"CTLA4"	"CXCR6"	"GPR68"	"ITGB7"	"EBI3"	"SLAMF8"	""	""	"DPEP2"	"VPREB3"	"CCL19"
"GNG7"	""	"CLEC4A"	"THBS1"	"CYBA"	""	"IL18RAP"	"MMP25"	"CTSW"	"CYTH4"	"GZMA"	"ITK"	"FPR2"	"SLC15A3"	""	""	"FCAR"	"ZBP1"	"CCL22"
"GPR18"	""	"CLEC7A"	""	"CYBB"	""	"IL2RB"	"MNDA"	"CXCR6"	"FAIM3"	"GZMB"	"LCK"	"FPR3"	"TFEC"	""	""	"FCER1A"	""	"CCL24"
"HLA-DOB"	""	"CLIC2"	""	"FGR"	""	"KIR2DL4"	"NCF2"	"DPEP2"	"FASLG"	"GZMH"	"RGS1"	"HCK"	"TPP1"	""	""	"FCN1"	""	"CCL4"
"HLA-DQA1"	""	"CSF1R"	""	"FPR2"	""	"KIR3DL1"	"P2RY13"	"FAIM3"	"GIMAP4"	"GZMK"	""	"HK3"	"TREM2"	""	""	"FGL2"	""	"CCR1"
"IL12B"	""	"CXCL10"	""	"FPR3"	""	"KLRB1"	"PDE4B"	"FAM65B"	"GIMAP6"	"IFNG"	""	"IDO1"	""	""	""	"FGR"	""	"CCR2"
"IL4R"	""	"CXCL9"	""	"HK3"	""	"KLRD1"	"S100A12"	"FCN1"	"GPR15"	"IL18RAP"	""	"IGSF6"	""	""	""	"FPR1"	""	"CCR3"
"IRF8"	""	"CYTH4"	""	"IGSF6"	""	"KLRF1"	"TNFRSF10C"	"GIMAP4"	"GPR171"	"IL2RA"	""	"IL12B"	""	""	""	"FPR2"	""	"CCR5"
"KIAA0125"	""	"EBI3"	""	"IL12B"	""	"KLRG1"	"VNN2"	"GIMAP6"	"GPR65"	"IL2RB"	""	"IRF8"	""	""	""	"GPR183"	""	"CCR7"
"LILRB1"	""	"FGL2"	""	"ITGAX"	""	"KLRK1"	""	"GPR132"	"GPR68"	"ITGAL"	""	"LILRB1"	""	""	""	"HCK"	""	"CD160"
"LY9"	""	"FPR3"	""	"LILRA2"	""	"LAG3"	""	"GPR15"	"GZMA"	"ITGB7"	""	"MMP19"	""	""	""	"HK3"	""	"CD19"
"MEFV"	""	"GPR132"	""	"LILRB1"	""	"LTA"	""	"GPR171"	"GZMB"	"ITK"	""	"NECAP2"	""	""	""	"IL10RA"	""	"CD1A"
"P2RX5"	""	"GZMB"	""	"MMP19"	""	"NCR3"	""	"GPR183"	"GZMH"	"KLRB1"	""	"PILRA"	""	""	""	"LILRA1"	""	"CD1B"
"PNOC"	""	"HAVCR2"	""	"MMP9"	""	"NKG7"	""	"GPSM3"	"GZMK"	"KLRG1"	""	"SIGLEC1"	""	""	""	"LILRA2"	""	"CD1C"
"POU2F2"	""	"HCK"	""	"MS4A6A"	""	"PRF1"	""	"GZMA"	"GZMM"	"LAG3"	""	"SLAMF1"	""	""	""	"LILRB1"	""	"CD1E"
"PTPN6"	""	"HK3"	""	"NCF2"	""	"PTGDR"	""	"GZMB"	"IFNG"	"LCP2"	""	"SLAMF8"	""	""	""	"LILRB2"	""	"CD2"
"RASGRP2"	""	"HLA-DQA1"	""	"NCKAP1L"	""	"SAMD3"	""	"GZMK"	"IL10RA"	"LTA"	""	"SLC11A1"	""	""	""	"LILRB3"	""	"CD209"
"S1PR4"	""	"IDO1"	""	"NECAP2"	""	"SERPINB9"	""	"GZMM"	"IL16"	"MMP25"	""	"TFEC"	""	""	""	"LRRFIP1"	""	"CD244"
"SEC24A"	""	"IL10RA"	""	"PILRA"	""	"TBX21"	""	"ICOS"	"IL18RAP"	"NCR3"	""	"TNFAIP6"	""	""	""	"LST1"	""	"CD247"
"SPIB"	""	"IL12B"	""	"PLA2G7"	""	""	""	"IFNG"	"IL2RB"	"NKG7"	""	"TNIP3"	""	""	""	"MEFV"	""	"CD27"
"STAP1"	""	"IL2RA"	""	"SIGLEC1"	""	""	""	"IKZF1"	"ITGAL"	"PRF1"	""	"TPP1"	""	""	""	"MNDA"	""	"CD300A"
"TNFRSF17"	""	"IL3RA"	""	"SLAMF8"	""	""	""	"IL10RA"	"ITK"	"PTP4A2"	""	"TREM2"	""	""	""	"MS4A6A"	""	"CD37"
"VPREB3"	""	"IRF4"	""	"SLC11A1"	""	""	""	"IL16"	"KLRB1"	"PTPN7"	""	""	""	""	""	"MYO1F"	""	"CD38"
""	""	"KYNU"	""	"STAB1"	""	""	""	"IL2RA"	"KLRD1"	"PVRIG"	""	""	""	""	""	"NCF2"	""	"CD3E"
""	""	"LILRB1"	""	"TFEC"	""	""	""	"IL2RB"	"KLRG1"	"SASH3"	""	""	""	""	""	"NCF4"	""	"CD3G"
""	""	"LILRB2"	""	"TPP1"	""	""	""	"ITGB7"	"KLRK1"	"SLAMF1"	""	""	""	""	""	"OSM"	""	"CD40"
""	""	"MMP12"	""	"TREM2"	""	""	""	"ITK"	"LAG3"	"TBX21"	""	""	""	""	""	"P2RY13"	""	"CD5"
""	""	"MMP25"	""	""	""	""	""	"JAK3"	"LCK"	""	""	""	""	""	""	"PILRA"	""	"CD53"
""	""	"MNDA"	""	""	""	""	""	"KLRB1"	"LY9"	""	""	""	""	""	""	"PLEK"	""	"CD6"
""	""	"MS4A6A"	""	""	""	""	""	"LCK"	"MMP19"	""	""	""	""	""	""	"POU2F2"	""	"CD69"
""	""	"NCF2"	""	""	""	""	""	"LTA"	"MYO1F"	""	""	""	""	""	""	"PTP4A2"	""	"CD7"
""	""	"NECAP2"	""	""	""	""	""	"LY9"	"NCR3"	""	""	""	""	""	""	"RGS19"	""	"CD79A"
""	""	"NFKB1"	""	""	""	""	""	"NECAP2"	"NFKB1"	""	""	""	""	""	""	"RHOG"	""	"CD79B"
""	""	"NR4A3"	""	""	""	""	""	"NFKB1"	"NKG7"	""	""	""	""	""	""	"RNASE2"	""	"CD80"
""	""	"OSM"	""	""	""	""	""	"OSM"	"PRF1"	""	""	""	""	""	""	"S100A12"	""	"CD84"
""	""	"PDXK"	""	""	""	""	""	"PTGER2"	"PTGDR"	""	""	""	""	""	""	"SAMSN1"	""	"CD86"
""	""	"PLA2G7"	""	""	""	""	""	"PTPRCAP"	"PTPRC"	""	""	""	""	""	""	"SLC11A1"	""	"CD96"
""	""	"RHOG"	""	""	""	""	""	"PVRIG"	"PTPRCAP"	""	""	""	""	""	""	"STAB1"	""	"CFP"
""	""	"RNASE6"	""	""	""	""	""	"RGS1"	"PVRIG"	""	""	""	""	""	""	"TLR2"	""	"CHI3L1"
""	""	"RSAD2"	""	""	""	""	""	"SAMSN1"	"PYHIN1"	""	""	""	""	""	""	"TLR8"	""	"CISH"
""	""	"RUNX2"	""	""	""	""	""	"SELPLG"	"RGS1"	""	""	""	""	""	""	"VASP"	""	"CLEC10A"
""	""	"SAMSN1"	""	""	""	""	""	"SLAMF1"	"RHOG"	""	""	""	""	""	""	"WAS"	""	"CLEC4A"
""	""	"SEC24A"	""	""	""	""	""	"STAP1"	"SASH3"	""	""	""	""	""	""	""	""	"CLEC4E"
""	""	"SIGLEC1"	""	""	""	""	""	"TBX21"	"SEC24A"	""	""	""	""	""	""	""	""	"CLEC5A"
""	""	"SLAMF1"	""	""	""	""	""	"TCF7"	"SLAMF1"	""	""	""	""	""	""	""	""	"CLEC7A"
""	""	"SLAMF8"	""	""	""	""	""	"TNFRSF4"	"TBX21"	""	""	""	""	""	""	""	""	"CLIC2"
""	""	"SPIB"	""	""	""	""	""	"TNFSF8"	"TNFSF8"	""	""	""	""	""	""	""	""	"CR1"
""	""	"STAB1"	""	""	""	""	""	"TRAF1"	"TRAF3IP3"	""	""	""	""	""	""	""	""	"CRTAM"
""	""	"TFEC"	""	""	""	""	""	"TRAF3IP3"	"TSC22D3"	""	""	""	""	""	""	""	""	"CSF1"
""	""	"TM7SF4"	""	""	""	""	""	"TRAT1"	"WAS"	""	""	""	""	""	""	""	""	"CSF1R"
""	""	"TNFAIP6"	""	""	""	""	""	"ZAP70"	"ZAP70"	""	""	""	""	""	""	""	""	"CSF2RB"
""	""	"TNFRSF4"	""	""	""	""	""	""	"ZFP36L2"	""	""	""	""	""	""	""	""	"CSF3R"
""	""	"TRAF1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CST7"
""	""	"TREM2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CTLA4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CTSW"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CX3CR1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL10"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL11"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL5"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCR1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCR2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCR6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CYBA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CYBB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CYTH4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DOK3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DPEP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DUSP4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EBI3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EMR3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ENTPD1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FAIM3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FAM65B"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FASLG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCAR"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCER1A"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCGR3B"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCN1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCRL2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FGL2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FGR"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FPR1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FPR2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FPR3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GIMAP4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GIMAP6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GMIP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GNG7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR132"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR15"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR171"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR18"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR183"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR65"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR68"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPSM3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMH"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMM"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HAVCR2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HCK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HK3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HLA-DOB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HLA-DQA1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ICOS"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IDO1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IFNG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IGSF6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IKZF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL10RA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL12B"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL16"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL18RAP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL2RA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL2RB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL3RA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL4R"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IRF4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IRF8"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITGAL"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITGAX"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITGB7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"JAK3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KIAA0125"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KIR2DL4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KIR3DL1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRB1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRD1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRG1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRK1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KYNU"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LAG3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LCK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LCP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRA1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRA2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRB1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRB2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRB3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LRMP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LRRFIP1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LST1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LTA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LY9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MEFV"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MMP12"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MMP19"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MMP25"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MMP9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MNDA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MS4A6A"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MYO1F"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCF2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCF4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCKAP1L"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCR3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NECAP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NFKB1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NKG7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NR4A3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OSM"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"P2RX5"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"P2RY13"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PDCD1LG2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PDE4B"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PDXK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PILRA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PLA2G7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PLEK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PNOC"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"POU2F2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PRF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTGDR"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTGER2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTP4A2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTPN6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTPN7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTPRC"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTPRCAP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PVRIG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PYHIN1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RASGRP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RGS1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RGS19"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RHOG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RNASE2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RNASE6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RSAD2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RUNX2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"S100A12"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"S1PR4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SAMD3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SAMSN1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SASH3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEC24A"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SELPLG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SERPINB9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SIGLEC1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SLAMF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SLAMF8"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SLC11A1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SLC15A3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SPIB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"STAB1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"STAP1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TBX21"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TCF7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TFEC"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"THBS1"
