"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"CD80"	""	"CCR7"	"MMP25"	"CD84"	""	"GZMA"	"LILRA2"	"CD3D"	"CD3E"	"CD96"	"FAIM3"	"CLEC4E"	"MMP9"	""	""	"CSF3R"	"KIAA0125"	"BHLHE41"
"CR1"	""	"CD1B"	"NCF2"	"CHI3L1"	""	"GZMB"	"LILRB2"	"CD3E"	"CD3G"	"CHST12"	"GPR171"	"CSF1R"	"MS4A6A"	""	""	"CYBB"	"PNOC"	"BIN2"
"FAIM3"	""	"CD1C"	"RGS1"	"CLEC4E"	""	"GZMH"	"LST1"	"CD3G"	"CD7"	"CST7"	"ICOS"	"CXCL10"	"NAGPA"	""	""	"DOK3"	"RGS1"	"BIRC3"
"FCAR"	""	"CD80"	"SAMSN1"	"COL4A3BP"	""	"GZMK"	"MEFV"	"CD5"	"CD8B"	"CTLA4"	"IL10RA"	"CXCL11"	"NCF2"	""	""	"DPEP2"	"TNFRSF17"	"BLK"
"FCRL2"	""	"CD86"	""	"CSF1R"	""	"GZMM"	"MMP25"	"CD6"	"CD96"	"CXCR6"	"IL2RA"	"CXCL9"	"NCKAP1L"	""	""	"FCAR"	"VPREB3"	"BLNK"
"GMIP"	""	"CLEC10A"	""	"CXCL9"	""	"IFNG"	"MNDA"	"CD69"	"CHST12"	"FASLG"	"IL2RB"	"CYBB"	"NPL"	""	""	"FCN1"	"ZBP1"	"C5AR1"
"GPR18"	""	"CLEC4A"	""	"CYBA"	""	"IL18RAP"	"NCF2"	"CD7"	"CRTAM"	"GMIP"	"ITGB7"	"EBI3"	"PDCD1LG2"	""	""	"FGL2"	""	"CAMP"
"GPRC5D"	""	"CLEC7A"	""	"CYBB"	""	"IL2RB"	"P2RY13"	"CD96"	"CST7"	"GPR171"	"ITK"	"FPR2"	"PILRA"	""	""	"FGR"	""	"CASP8"
"HLA-DOB"	""	"CLIC2"	""	"FGR"	""	"KIR2DL3"	"UBE2D1"	"CTLA4"	"CTSW"	"GPR68"	"LCK"	"FPR3"	"RNASE6"	""	""	"FPR1"	""	"CBX3"
"HLA-DQA1"	""	"CSF1R"	""	"FPR2"	""	"KIR2DL4"	"USP15"	"CTSW"	"CWF19L1"	"GZMA"	"PIK3IP1"	"HCK"	"SLAMF8"	""	""	"FPR2"	""	"CCL1"
"IL12B"	""	"CXCL10"	""	"FPR3"	""	"KIR3DL1"	"VNN2"	"CXCR6"	"CXCR6"	"GZMB"	"RGS1"	"HK3"	"SLC15A3"	""	""	"GPR183"	""	"CCL17"
"IL4R"	""	"CXCL9"	""	"HK3"	""	"KIR3DL3"	"ZDHHC18"	"DPEP2"	"CYTH4"	"GZMH"	""	"IDO1"	"SNX2"	""	""	"HCK"	""	"CCL19"
"IRF8"	""	"CYTH4"	""	"IGSF6"	""	"KLRB1"	""	"FAIM3"	"FAIM3"	"GZMK"	""	"IGSF6"	"TFEC"	""	""	"HK3"	""	"CCL22"
"KIAA0125"	""	"EBI3"	""	"IL12B"	""	"KLRD1"	""	"FCN1"	"FASLG"	"IFNG"	""	"IL12B"	"TPP1"	""	""	"IL10RA"	""	"CCL24"
"LILRB1"	""	"FGL2"	""	"ITGAX"	""	"KLRF1"	""	"GIMAP4"	"GIMAP4"	"IL18RAP"	""	"IRF8"	"TREM2"	""	""	"LILRA1"	""	"CCL8"
"LY9"	""	"FPR3"	""	"LILRA2"	""	"KLRG1"	""	"GIMAP6"	"GIMAP6"	"IL2RA"	""	"LILRB1"	""	""	""	"LILRA2"	""	"CCR1"
"MEFV"	""	"GPR132"	""	"LILRB1"	""	"KLRK1"	""	"GPR132"	"GPR171"	"IL2RB"	""	"NECAP2"	""	""	""	"LILRB1"	""	"CCR2"
"P2RX5"	""	"GZMB"	""	"MMP9"	""	"LAG3"	""	"GPR171"	"GPR65"	"ITGAL"	""	"PILRA"	""	""	""	"LILRB2"	""	"CCR3"
"PNOC"	""	"HAVCR2"	""	"MS4A6A"	""	"LTA"	""	"GPR183"	"GPR68"	"ITGB7"	""	"PLEKHB2"	""	""	""	"LILRB3"	""	"CCR5"
"POU2F2"	""	"HCK"	""	"NAGPA"	""	"NCR3"	""	"GPSM3"	"GZMA"	"ITK"	""	"SIGLEC1"	""	""	""	"LST1"	""	"CCR7"
"PTPN6"	""	"HK3"	""	"NCF2"	""	"NKG7"	""	"GZMA"	"GZMB"	"KLRB1"	""	"SLAMF1"	""	""	""	"MEFV"	""	"CD160"
"RASGRP2"	""	"HLA-DQA1"	""	"NCKAP1L"	""	"PRF1"	""	"GZMB"	"GZMH"	"KLRG1"	""	"SLAMF8"	""	""	""	"MNDA"	""	"CD19"
"S1PR4"	""	"IDO1"	""	"NECAP2"	""	"PTGDR"	""	"GZMK"	"GZMK"	"LAG3"	""	"TFEC"	""	""	""	"MS4A6A"	""	"CD1B"
"SNX2"	""	"IL10RA"	""	"NSMAF"	""	"SAMD3"	""	"GZMM"	"GZMM"	"LCP2"	""	"TNIP3"	""	""	""	"MYO1F"	""	"CD1C"
"SPIB"	""	"IL12B"	""	"PILRA"	""	"TBX21"	""	"ICOS"	"IFNG"	"LTA"	""	"TPP1"	""	""	""	"NCF2"	""	"CD2"
"STAP1"	""	"IL19"	""	"PLA2G7"	""	"XCL1"	""	"IFNG"	"IL10RA"	"MMP25"	""	"TREM2"	""	""	""	"NCF4"	""	"CD244"
"TNFRSF17"	""	"IL2RA"	""	"PLEKHB2"	""	""	""	"IKZF1"	"IL16"	"NCR3"	""	""	""	""	""	"NUP214"	""	"CD247"
"VPREB3"	""	"IL3RA"	""	"SIGLEC1"	""	""	""	"IL10RA"	"IL18RAP"	"NKG7"	""	""	""	""	""	"OSM"	""	"CD27"
""	""	"IRF4"	""	"SLAMF8"	""	""	""	"IL16"	"IL2RB"	"PRF1"	""	""	""	""	""	"P2RY13"	""	"CD300A"
""	""	"KYNU"	""	"SNX2"	""	""	""	"IL2RA"	"ITGAL"	"PTPN7"	""	""	""	""	""	"PIAS1"	""	"CD37"
""	""	"LILRB1"	""	"TFEC"	""	""	""	"IL2RB"	"ITK"	"PVRIG"	""	""	""	""	""	"PILRA"	""	"CD38"
""	""	"LILRB2"	""	"TPP1"	""	""	""	"ITGB7"	"KLRB1"	"SASH3"	""	""	""	""	""	"PLEK"	""	"CD3D"
""	""	"MMP12"	""	"TREM2"	""	""	""	"ITK"	"KLRD1"	"SLAMF1"	""	""	""	""	""	"POU2F2"	""	"CD3E"
""	""	"MMP25"	""	""	""	""	""	"JAK3"	"KLRG1"	"TBX21"	""	""	""	""	""	"RGS19"	""	"CD3G"
""	""	"MNDA"	""	""	""	""	""	"KLRB1"	"KLRK1"	""	""	""	""	""	""	"RHOG"	""	"CD40"
""	""	"MS4A6A"	""	""	""	""	""	"LCK"	"LAG3"	""	""	""	""	""	""	"SAMSN1"	""	"CD5"
""	""	"NAGPA"	""	""	""	""	""	"LTA"	"LCK"	""	""	""	""	""	""	"TLR2"	""	"CD53"
""	""	"NCF2"	""	""	""	""	""	"LY9"	"LY9"	""	""	""	""	""	""	"TLR8"	""	"CD6"
""	""	"NECAP2"	""	""	""	""	""	"MBNL1"	"MYO1F"	""	""	""	""	""	""	"UBE2D1"	""	"CD69"
""	""	"OAS3"	""	""	""	""	""	"NECAP2"	"NCR3"	""	""	""	""	""	""	"USP15"	""	"CD7"
""	""	"OSM"	""	""	""	""	""	"OSM"	"NKG7"	""	""	""	""	""	""	"VASP"	""	"CD79A"
""	""	"PLA2G7"	""	""	""	""	""	"PIK3IP1"	"PIK3IP1"	""	""	""	""	""	""	"WAS"	""	"CD79B"
""	""	"RHOG"	""	""	""	""	""	"PTPRCAP"	"PRF1"	""	""	""	""	""	""	""	""	"CD80"
""	""	"RNASE6"	""	""	""	""	""	"PVRIG"	"PTGDR"	""	""	""	""	""	""	""	""	"CD84"
""	""	"RSAD2"	""	""	""	""	""	"RGS1"	"PTPRC"	""	""	""	""	""	""	""	""	"CD86"
""	""	"SAMSN1"	""	""	""	""	""	"SAMSN1"	"PTPRCAP"	""	""	""	""	""	""	""	""	"CD8B"
""	""	"SIGLEC1"	""	""	""	""	""	"SELPLG"	"PVRIG"	""	""	""	""	""	""	""	""	"CD96"
""	""	"SLAMF1"	""	""	""	""	""	"SLAMF1"	"PYHIN1"	""	""	""	""	""	""	""	""	"CFP"
""	""	"SLAMF8"	""	""	""	""	""	"STAP1"	"RGS1"	""	""	""	""	""	""	""	""	"CHI3L1"
""	""	"SPIB"	""	""	""	""	""	"TBX21"	"RHOG"	""	""	""	""	""	""	""	""	"CHST12"
""	""	"TFEC"	""	""	""	""	""	"TCF7"	"SASH3"	""	""	""	""	""	""	""	""	"CLEC10A"
""	""	"TM7SF4"	""	""	""	""	""	"TNFRSF4"	"SLAMF1"	""	""	""	""	""	""	""	""	"CLEC4A"
""	""	"TNFRSF4"	""	""	""	""	""	"TNFSF8"	"TBX21"	""	""	""	""	""	""	""	""	"CLEC4E"
""	""	"TRAF1"	""	""	""	""	""	"TRADD"	"TMC6"	""	""	""	""	""	""	""	""	"CLEC7A"
""	""	"TREM2"	""	""	""	""	""	"TRAF1"	"TNFSF8"	""	""	""	""	""	""	""	""	"CLIC2"
""	""	""	""	""	""	""	""	"TRAF3IP3"	"TRADD"	""	""	""	""	""	""	""	""	"COL4A3BP"
""	""	""	""	""	""	""	""	"TRAT1"	"TRAF3IP3"	""	""	""	""	""	""	""	""	"CR1"
""	""	""	""	""	""	""	""	"ZAP70"	"WAS"	""	""	""	""	""	""	""	""	"CRTAM"
""	""	""	""	""	""	""	""	"ZNF394"	"XCL1"	""	""	""	""	""	""	""	""	"CSF1R"
""	""	""	""	""	""	""	""	""	"ZAP70"	""	""	""	""	""	""	""	""	"CSF2RB"
""	""	""	""	""	""	""	""	""	"ZNF394"	""	""	""	""	""	""	""	""	"CSF3R"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CST7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CTLA4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CTSW"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CWF19L1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL10"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL11"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCR6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CYBA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CYBB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CYTH4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DOK3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DPEP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DUSP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EBI3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EMR3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FAIM3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FASLG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCAR"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCN1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCRL2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FGL2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FGR"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FPR1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FPR2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FPR3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GIMAP4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GIMAP6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GMIP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR132"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR171"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR18"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR183"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR65"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR68"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPRC5D"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPSM3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMH"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMM"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HAVCR2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HCK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HK3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HLA-DOB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HLA-DQA1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HPSE"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ICOS"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IDO1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IFNG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IGSF6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IKZF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL10RA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL12B"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL16"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL18RAP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL19"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL2RA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL2RB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL3RA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL4R"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IRF4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IRF8"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITGAL"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITGAX"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITGB7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"JAK3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KIAA0125"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KIR2DL3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KIR2DL4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KIR3DL1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KIR3DL3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRB1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRD1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRG1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRK1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KYNU"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LAG3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LCK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LCP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRA1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRA2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRB1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRB2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRB3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LRMP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LST1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LTA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LY9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MBNL1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MEFV"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MMP12"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MMP25"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MMP9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MNDA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MS4A6A"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MYO1F"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NAGPA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCF2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCF4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCKAP1L"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCR3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NECAP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NKG7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NPL"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NSMAF"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NUP214"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OAS3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OSM"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"P2RX5"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"P2RY13"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PDCD1LG2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PIAS1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PIK3IP1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PILRA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PLA2G7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PLEK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PLEKHB2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PNOC"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"POU2F2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PRF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTGDR"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTPN6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTPN7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTPRC"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTPRCAP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PVRIG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PYHIN1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RASGRP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RGS1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RGS19"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RHOG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RNASE6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RSAD2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RUNX3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"S1PR4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SAMD3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SAMSN1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SASH3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SELPLG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SIGLEC1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SLAMF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SLAMF8"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SLC15A3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SNX2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SPIB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"STAP1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TBX21"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TCF7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TFEC"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TLR2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TLR8"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TM7SF4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TMC6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TNFRSF17"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TNFRSF4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TNFSF8"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TNIP3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TPP1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TRADD"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TRAF1"
