"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"CD69"	"KLRK1"	"CCR7"	"GPR65"	"CD80"	""	"CX3CR1"	"FPR1"	"CD37"	"CD300A"	"CD300A"	"CXCR6"	"CD84"	"LILRA2"	""	"SGCD"	"CLEC5A"	"FCRL2"	"BCL2A1"
"CD79A"	"NKG7"	"CD1A"	"LRMP"	"CD84"	""	"CXCR6"	"FPR2"	"CD3E"	"CD3E"	"CD96"	"FAIM3"	"CLEC4E"	"MMP19"	""	"TCF21"	"CLEC7A"	"HSPA6"	"BHLHE41"
"CD79B"	"PRF1"	"CD1B"	"MMP25"	"CHI3L1"	""	"EOMES"	"HCK"	"CD3G"	"CD3G"	"CST7"	"GPR171"	"CSF1"	"MMP9"	""	"WISP1"	"CSF1R"	"IRF4"	"BIN2"
"CD80"	"RORA"	"CD1C"	"NCF2"	"CLEC4E"	""	"FASLG"	"HSPA6"	"CD5"	"CD7"	"CTLA4"	"HS3ST3B1"	"CSF1R"	"MS4A6A"	""	"WNT2"	"CX3CR1"	"KIAA0125"	"BIRC3"
"CR1"	"RUNX3"	"CD1E"	"RGS1"	"CLEC5A"	""	"GZMA"	"IL18RAP"	"CD6"	"CD8B"	"CXCR6"	"ICOS"	"CXCL10"	"NCF2"	""	""	"CXCR2"	"PNOC"	"BLK"
"FAIM3"	""	"CD209"	"RNASE2"	"CSF1"	""	"GZMB"	"LILRA1"	"CD69"	"CD96"	"FASLG"	"IL10RA"	"CXCL11"	"NCKAP1L"	""	""	"CYBB"	"RGS1"	"BLNK"
"FAM65B"	""	"CD80"	"SAMSN1"	"CSF1R"	""	"GZMH"	"LILRA2"	"CD7"	"CRTAM"	"GMIP"	"IL2RA"	"CXCL9"	"NPL"	""	""	"DOK3"	"TNFRSF17"	"C5AR1"
"FCAR"	""	"CD86"	"THBS1"	"CXCL9"	""	"GZMK"	"LILRB2"	"CD96"	"CST7"	"GPR15"	"IL2RB"	"CYBB"	"PDCD1LG2"	""	""	"DPEP2"	"VPREB3"	"CBL"
"FCRL2"	""	"CLEC10A"	""	"CYBA"	""	"GZMM"	"LST1"	"CTLA4"	"CTSW"	"GPR171"	"ITGB7"	"EBI3"	"PILRA"	""	""	"FCAR"	"ZBP1"	"CCDC88A"
"GMIP"	""	"CLEC4A"	""	"CYBB"	""	"IFNG"	"MEFV"	"CTSW"	"CX3CR1"	"GPR68"	"ITK"	"FPR2"	"RNASE6"	""	""	"FCN1"	""	"CCL1"
"GNG7"	""	"CLEC7A"	""	"FGR"	""	"IL18RAP"	"MMP25"	"CXCR6"	"CXCR6"	"GZMA"	"LCK"	"FPR3"	"SLAMF8"	""	""	"FGL2"	""	"CCL17"
"GPR18"	""	"CLIC2"	""	"FPR2"	""	"IL2RB"	"MNDA"	"DPEP2"	"CYTH4"	"GZMB"	"LTB"	"HCK"	"SLC15A3"	""	""	"FGR"	""	"CCL19"
"HLA-DOB"	""	"CSF1R"	""	"FPR3"	""	"KIR2DL3"	"NCF2"	"FAIM3"	"EOMES"	"GZMH"	"PIK3IP1"	"HK3"	"TFEC"	""	""	"FPR1"	""	"CCL22"
"HLA-DQA1"	""	"CXCL10"	""	"GRB2"	""	"KIR2DL4"	"NMI"	"FAM65B"	"FAIM3"	"GZMK"	"RGS1"	"IDO1"	"TPP1"	""	""	"FPR2"	""	"CCL4"
"IL12B"	""	"CXCL9"	""	"HK3"	""	"KIR3DL1"	"P2RY13"	"FCN1"	"FASLG"	"IFNG"	""	"IGSF6"	"TREM2"	""	""	"GPR183"	""	"CCL8"
"IL4R"	""	"CYTH4"	""	"IGSF6"	""	"KLRB1"	"PDE4B"	"GIMAP4"	"GIMAP4"	"IL18RAP"	""	"IL12B"	""	""	""	"HCK"	""	"CCR1"
"IRF8"	""	"EBI3"	""	"IL12B"	""	"KLRD1"	"S100A12"	"GIMAP6"	"GIMAP6"	"IL2RA"	""	"IL17RA"	""	""	""	"HK3"	""	"CCR2"
"KIAA0125"	""	"FGL2"	""	"IL17RA"	""	"KLRF1"	"VNN2"	"GPR132"	"GPR15"	"IL2RB"	""	"IRF8"	""	""	""	"HSPA6"	""	"CCR3"
"LILRB1"	""	"FPR3"	""	"ITGAX"	""	"KLRG1"	""	"GPR15"	"GPR171"	"ITGAL"	""	"LILRB1"	""	""	""	"IL10RA"	""	"CCR5"
"LTB"	""	"GPR132"	""	"LILRA2"	""	"KLRK1"	""	"GPR171"	"GPR65"	"ITGB7"	""	"MMP19"	""	""	""	"IL17RA"	""	"CCR7"
"LY9"	""	"GRB2"	""	"LILRB1"	""	"LAG3"	""	"GPR183"	"GPR68"	"ITK"	""	"NECAP2"	""	""	""	"LILRA1"	""	"CD160"
"MEFV"	""	"GZMB"	""	"MMP19"	""	"LTA"	""	"GPSM3"	"GZMA"	"KLRB1"	""	"PILRA"	""	""	""	"LILRA2"	""	"CD19"
"P2RX5"	""	"HAVCR2"	""	"MMP9"	""	"LTB"	""	"GZMA"	"GZMB"	"KLRG1"	""	"SIGLEC1"	""	""	""	"LILRB1"	""	"CD1A"
"PNOC"	""	"HCK"	""	"MS4A6A"	""	"NCR3"	""	"GZMB"	"GZMH"	"LAG3"	""	"SLAMF1"	""	""	""	"LILRB2"	""	"CD1B"
"POU2F2"	""	"HK3"	""	"NCF2"	""	"NKG7"	""	"GZMK"	"GZMK"	"LCP2"	""	"SLAMF8"	""	""	""	"LILRB3"	""	"CD1C"
"PTPN6"	""	"HLA-DQA1"	""	"NCKAP1L"	""	"PRF1"	""	"GZMM"	"GZMM"	"LTA"	""	"SLC11A1"	""	""	""	"LST1"	""	"CD1E"
"RAPGEF1"	""	"HS3ST3B1"	""	"NECAP2"	""	"PTGDR"	""	"ICOS"	"IFNG"	"MMP25"	""	"TFEC"	""	""	""	"MEFV"	""	"CD2"
"RASGRP2"	""	"IDO1"	""	"PILRA"	""	"SAMD3"	""	"IFNG"	"IL10RA"	"NCR3"	""	"TNFAIP6"	""	""	""	"MNDA"	""	"CD209"
"S1PR4"	""	"IL10RA"	""	"PLA2G7"	""	"SERPINB9"	""	"IKZF1"	"IL16"	"NKG7"	""	"TNIP3"	""	""	""	"MS4A6A"	""	"CD244"
"SPIB"	""	"IL12B"	""	"SIGLEC1"	""	"TBX21"	""	"IL10RA"	"IL18RAP"	"PRF1"	""	"TPP1"	""	""	""	"MYO1F"	""	"CD247"
"STAP1"	""	"IL2RA"	""	"SLAMF8"	""	""	""	"IL16"	"IL2RB"	"PTPN7"	""	"TREM2"	""	""	""	"NCF2"	""	"CD27"
"TNFRSF17"	""	"IL3RA"	""	"SLC11A1"	""	""	""	"IL2RA"	"ITGAL"	"PVRIG"	""	""	""	""	""	"NCF4"	""	"CD300A"
"VPREB3"	""	"IRF4"	""	"STAB1"	""	""	""	"IL2RB"	"ITK"	"SASH3"	""	""	""	""	""	"OSM"	""	"CD37"
""	""	"KYNU"	""	"TFEC"	""	""	""	"ITGB7"	"KLRB1"	"SLAMF1"	""	""	""	""	""	"P2RY13"	""	"CD38"
""	""	"LILRB1"	""	"TPP1"	""	""	""	"ITK"	"KLRD1"	"TBX21"	""	""	""	""	""	"PILRA"	""	"CD3E"
""	""	"LILRB2"	""	"TREM2"	""	""	""	"JAK3"	"KLRG1"	""	""	""	""	""	""	"PLEK"	""	"CD3G"
""	""	"MMP25"	""	""	""	""	""	"KLRB1"	"KLRK1"	""	""	""	""	""	""	"POU2F2"	""	"CD40"
""	""	"MNDA"	""	""	""	""	""	"LCK"	"LAG3"	""	""	""	""	""	""	"PPM1F"	""	"CD5"
""	""	"MS4A6A"	""	""	""	""	""	"LTA"	"LCK"	""	""	""	""	""	""	"RGS19"	""	"CD53"
""	""	"NCF2"	""	""	""	""	""	"LTB"	"LTB"	""	""	""	""	""	""	"RHOG"	""	"CD6"
""	""	"NECAP2"	""	""	""	""	""	"LY9"	"LY9"	""	""	""	""	""	""	"RNASE2"	""	"CD69"
""	""	"OSM"	""	""	""	""	""	"NECAP2"	"MMP19"	""	""	""	""	""	""	"S100A12"	""	"CD7"
""	""	"PLA2G7"	""	""	""	""	""	"OSM"	"MYO1F"	""	""	""	""	""	""	"SAMSN1"	""	"CD79A"
""	""	"RAPGEF1"	""	""	""	""	""	"PIK3IP1"	"NCR3"	""	""	""	""	""	""	"SLC11A1"	""	"CD79B"
""	""	"RHOG"	""	""	""	""	""	"PTGER2"	"NKG7"	""	""	""	""	""	""	"STAB1"	""	"CD80"
""	""	"RNASE6"	""	""	""	""	""	"PTPRCAP"	"PIK3IP1"	""	""	""	""	""	""	"TLR2"	""	"CD84"
""	""	"RSAD2"	""	""	""	""	""	"PVRIG"	"PRF1"	""	""	""	""	""	""	"TLR8"	""	"CD86"
""	""	"RUNX2"	""	""	""	""	""	"RGS1"	"PTGDR"	""	""	""	""	""	""	"VASP"	""	"CD8B"
""	""	"SAMSN1"	""	""	""	""	""	"SAMSN1"	"PTPRC"	""	""	""	""	""	""	"WAS"	""	"CD96"
""	""	"SIGLEC1"	""	""	""	""	""	"SELPLG"	"PTPRCAP"	""	""	""	""	""	""	""	""	"CFP"
""	""	"SLAMF1"	""	""	""	""	""	"SLAMF1"	"PVRIG"	""	""	""	""	""	""	""	""	"CHI3L1"
""	""	"SLAMF8"	""	""	""	""	""	"STAP1"	"PYHIN1"	""	""	""	""	""	""	""	""	"CLEC10A"
""	""	"SPIB"	""	""	""	""	""	"TBX21"	"RGS1"	""	""	""	""	""	""	""	""	"CLEC4A"
""	""	"STAB1"	""	""	""	""	""	"TCF7"	"RHOG"	""	""	""	""	""	""	""	""	"CLEC4E"
""	""	"TFEC"	""	""	""	""	""	"TNFRSF4"	"SASH3"	""	""	""	""	""	""	""	""	"CLEC5A"
""	""	"TM7SF4"	""	""	""	""	""	"TNFSF8"	"SLAMF1"	""	""	""	""	""	""	""	""	"CLEC7A"
""	""	"TNFAIP6"	""	""	""	""	""	"TRAF1"	"TBX21"	""	""	""	""	""	""	""	""	"CLIC2"
""	""	"TNFRSF4"	""	""	""	""	""	"TRAF3IP3"	"TNFSF8"	""	""	""	""	""	""	""	""	"CR1"
""	""	"TRAF1"	""	""	""	""	""	"TRAT1"	"TRAF3IP3"	""	""	""	""	""	""	""	""	"CREB5"
""	""	"TREM2"	""	""	""	""	""	"ZAP70"	"WAS"	""	""	""	""	""	""	""	""	"CRTAM"
""	""	""	""	""	""	""	""	""	"ZAP70"	""	""	""	""	""	""	""	""	"CSF1"
""	""	""	""	""	""	""	""	""	"ZFP36L2"	""	""	""	""	""	""	""	""	"CSF1R"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CSF2RB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CST7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CTLA4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CTSW"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CX3CR1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL10"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL11"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCR1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCR2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCR6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CYBA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CYBB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CYTH4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DOK3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DPEP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DUSP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EBI3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EMR3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ENTPD1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EOMES"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FAIM3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FAM65B"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FASLG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCAR"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCN1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCRL2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FGFBP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FGL2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FGR"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FPR1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FPR2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FPR3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GIMAP4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GIMAP6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GMIP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GNG7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR132"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR15"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR171"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR18"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR183"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR65"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR68"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPSM3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GRB2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMH"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMM"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HAVCR2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HCK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HK3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HLA-DOB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HLA-DQA1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HS3ST3B1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HSPA6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ICOS"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IDO1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IFNG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IGSF6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IKZF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL10RA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL12B"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL16"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL17RA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL18RAP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL2RA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL2RB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL3RA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IL4R"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IRF4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IRF8"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITGAL"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITGAX"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITGB7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"JAK3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KIAA0125"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KIR2DL3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KIR2DL4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KIR3DL1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRB1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRD1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRG1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KLRK1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KYNU"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LAG3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LCK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LCP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRA1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRA2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRB1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRB2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LILRB3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LRMP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LST1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LTA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LTB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LY9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MEFV"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MMP19"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MMP25"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MMP9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MNDA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MS4A6A"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MYO1F"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCF2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCF4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCKAP1L"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NCR3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NECAP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NKG7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NMI"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NPL"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OSM"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"P2RX5"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"P2RY13"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PDCD1LG2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PDE4B"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PIK3IP1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PILRA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PLA2G7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PLEK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PNOC"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"POU2F2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PPM1F"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PRF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTGDR"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTGER2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTPN6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTPN7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTPRC"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PTPRCAP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PVRIG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PYHIN1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RAPGEF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RASGRP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RGS1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RGS19"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RHOG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RNASE2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RNASE6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RORA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RSAD2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RUNX2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"RUNX3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"S100A12"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"S1PR4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SAMD3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SAMSN1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SASH3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SELPLG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SERPINB9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SIGLEC1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SLAMF1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SLAMF8"
