"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"
"IGHM"	"PRF1"	"FZD2"	"LRP5L"	"FN1"	"NR0B1"	"PDLIM4"	"IL8RB"	"SEC24C"	"MYST3"	"ATG5"	"IKZF4"	"ACP2"	"ADCY3"	"MMRN2"	"ALDH9A1"	"ATG3"	"B4GALT3"
"IGKC"	"CD8A"	"GSTT1"	"MYO15B"	"GM2A"	"PPM1H"	"PRX"	"KCNJ15"	"SLC25A12"	"PF4"	"ATP8B4"	"IL10RA"	"ACTR2"	"ADRA2B"	"MYCT1"	"AMOTL2"	"ATP6V0D1"	"BFSP2"
"IGL"	"EOMES"	"GUCA1A"	"RCOR3"	"GPC4"	"PRG2"	"PSMD4"	"LILRB2"	"SRSF10"	"PPP1R2"	"AURKA"	"IPCEF1"	"ACTR3"	"AGGF1"	"PALMD"	"ANKRD40"	"AZIN1"	"BMP8B"
"KIAA0125"	"FGFBP2"	"HS3ST2"	"RNASE2"	"KAL1"	"PTGS1"	"RP5-886K2.1"	"MGAM"	"TRA"	"PRF1"	"BARD1"	"ITGB7"	"ADAMDEC1"	"AKR7A2"	"PEAR1"	"ANXA11"	"BCL10"	"C16orf58"
"MEF2C"	"KLRC3"	"LMAN2L"	"RRP12"	"MARCO"	"SCG2"	"SGMS1"	"MME"	"UBE2L3"	"PRR5"	"BUB1"	"KCNA2"	"ADCK2"	"ALDH9A1"	"PGF"	"AP2M1"	"BCL2L11"	"C19orf73"
"MICAL3"	"KLRC4"	"MMP12"	"SIAH1"	"ME1"	"SIGLEC6"	"SLC30A5"	"PDE4B"	"YME1L1"	"RBM3"	"CCL1"	"LAIR2"	"ADCY3"	"ALG9"	"PLXNA2"	"ARF4"	"BEST1"	"C21orf2"
"MS4A1"	""	"MS4A6A"	"SMPD3"	"MS4A4A"	"SLC18A2"	"SMEK1"	"S100A12"	"TBX21"	"SF1"	"CCNA2"	"LAX1"	"ADO"	"ALK"	"PTPRB"	"ARHGAP6"	"BNIP2"	"C6orf25"
"OSBPL10"	""	"NUDT9"	"SYNJ1"	"MSR1"	"SLC24A3"	"SPN"	"SIGLEC5"	"AMIGO2"	"SFRS7"	"CCNF"	"LRP2BP"	"ADRA2B"	"ANGPT4"	"ROBO4"	"ARL1"	"BPI"	"CA7"
"PNOC"	""	"PDXK"	"TGIF1"	"PCOLCE2"	"TAL1"	"TBXA2R"	"SLC22A4"	"CD40LG"	"SLC16A7"	"CCR2"	"MCF2L2"	"AFG3L2"	"ANKFY1"	"SDPR"	"ASPA"	"BTAF1"	"CACNA1S"
"QRSL1"	""	"PPARG"	"THBS1"	"PTGDS"	"TPSAB1"	"TCTN2"	"SLC25A37"	"IGFBP4"	"TBCC"	"CCR3"	"MCM9"	"AGPS"	"ANXA11"	"SHANK3"	"ASPN"	"BTK"	"CAMP"
"SCN3A"	""	"PREP"	"THBS4"	"RAI14"	"TPSB2"	"TINAGL1"	"TECPR2"	"RCAN3"	"THUMPD1"	"CCR5"	"PLCL1"	"ALCAM"	"AP1B1"	"SHE"	"ATG9A"	"C3AR1"	"CASP10"
"SLC15A2"	""	"RAP1GAP"	"TIPARP"	"SCARB2"	"VWA5A"	"TRPV6"	"TNFRSF10C"	"TRAT1"	"TMC6"	"CD101"	"PPM1B"	"ANXA2"	"AQP8"	"TEK"	"ATP13A1"	"CALCOCO2"	"CAV1"
"SPIB"	""	"SLC26A6"	"TKTL1"	"SCG5"	"ACBD3"	"XCL1"	"VNN3"	"AAK1"	"TSC22D3"	"CD2"	"RGS1"	"AP1M2"	"ARFGEF2"	"TIE1"	"ATP2A2"	"CAMKK2"	"CCDC121"
"TCL1A"	""	"SLC7A8"	"ABTB2"	"SGMS1"	"AGGF1"	"XCL2"	"CA4"	"ABCD2"	"VAMP2"	"CD244"	"SIT1"	"ARHGEF11"	"ARHGEF11"	"VEPH1"	"ATXN2"	"CAPN2"	"CCDC33"
"TNFRSF17"	""	"SYT17"	"ADAM18"	"SULT1C2"	"AGPS"	"ZNF205"	"CXCR1"	"ALG13"	"ZEB1"	"CD247"	"SPTAN1"	"ARL8B"	"ARSB"	"VWF"	"B4GALT2"	"CAPN3"	"CCDC40"
"BANK1"	""	"TACSTD2"	"ADAM21"	"C1QA"	"AMHR2"	"ZNF528"	"CXCR2"	"ANKRD55"	"ZFP36L2"	"CD300A"	"STAM"	"ATOX1"	"ATP2A2"	"ACTR1A"	"BAD"	"CAPNS1"	"CCDC88A"
"CD55"	""	"TM7SF4"	"ADORA3"	"C1QB"	"ANXA1"	"ZNF747"	"HAL"	"APBB1"	"ZNF22"	"CD40LG"	"TTN"	"ATP6V0C"	"ATP6V0A1"	"ADSS"	"BAG2"	"CARS2"	"CCL25"
"CD79A"	""	"VASH1"	"AGTR2"	"C1QC"	"ANXA11"	"DUSP4"	"MEGF9"	"ARHGAP15"	"ZNF609"	"CD96"	"TULP4"	"ATP6V1A"	"ATP6V0D1"	"ANGPT2"	"BMPR1A"	"CASP5"	"CCNC"
"CD79B"	""	"CCL13"	"ALOX15"	"CCL8"	"ARHGEF12"	"FOXJ1"	"STEAP4"	"ARHGEF1"	"ZNF91"	"CDC123"	"UBE4A"	"ATP6V1D"	"ATP6V1C1"	"ANO2"	"C11orf95"	"CAST"	"CD180"
"CXCR5"	""	"CCL17"	"AP4E1"	"CD5L"	"ATP6V1C1"	"LPCAT4"	"TLE3"	"ARID5B"	"CD244"	"CDC25C"	"VPS54"	"ATP6V1E1"	"ATP6V1D"	"ANXA2"	"C19orf24"	"CBX6"	"CD19"
"FAIM3"	""	"CCL22"	"ARHGAP33"	"FCGR3A"	"ATXN10"	"MADD"	"AATK"	"ASXL2"	"EOMES"	"CDC5L"	"ZCCHC8"	"ATP6V1F"	"BAIAP2"	"ANXA3"	"C6orf120"	"CCR2"	"CD27"
"CD22"	""	"CD209"	"ASPA"	"ITGB5"	"ATXN2L"	"Mar-06"	"ACAP2"	"ATXN7"	"LAG3"	"CDK1"	"ZFC3H1"	"ATP6V1H"	"BCAP31"	"AP2A2"	"C6orf62"	"CD101"	"CD79A"
"PAX5"	""	"HSD11B1"	"ATOH1"	"MERTK"	"BAHD1"	"MPPED1"	"APAF1"	"ATXN7L1"	"PTGER4"	"CENPA"	"ZMYM1"	"BCAP31"	"BTBD1"	"AP2S1"	"C7"	"CD163"	"CD79B"
"ACTN2"	""	"NPR1"	"BMX"	"PILRA"	"BAIAP2"	"MUC3B"	"BEST1"	"BAD"	"BCL11B"	"CENPJ"	"ZNF236"	"BCKDK"	"C10orf76"	"ARHGEF15"	"C7orf25"	"CD1E"	"CDH15"
"AFF2"	""	"PPFIBP2"	"BPI"	"ABCD1"	"BET1L"	"NIBP"	"BMX"	"C14orf169"	"CD28"	"CENPN"	"CCR7"	"BLVRA"	"C16orf62"	"ARL2BP"	"CACNA1C"	"CD244"	"CEACAM21"
"AFTPH"	""	"IL3RA"	"C3AR1"	"ACADVL"	"BMPR1A"	"PLA2G6"	"BTN2A1"	"CA5B"	"CD3D"	"CEP55"	"CD2"	"C3AR1"	"CAMP"	"ARPC1A"	"CAMLG"	"CD300C"	"CELA2B"
"AICDA"	""	"ANPEP"	"CA4"	"ACP2"	"BTBD7"	"RRAD"	"BTNL8"	"CBLL1"	"CD3E"	"CHEK1"	"CD247"	"CALR"	"CANX"	"ART4"	"CAND1"	"CD33"	"CHRNA4"
"ANKMY1"	""	"CXCL16"	"CAMP"	"ACTR10"	"BTK"	"EDG8"	"CAMKK2"	"CCNT2"	"CD3G"	"CHMP4A"	"CD27"	"CCDC47"	"CARD14"	"ATF6"	"CASS4"	"CD4"	"CHRNG"
"AP3B1"	""	"DNASE1L3"	"CCL23"	"ADAMDEC1"	"C3AR1"	"FLJ20699"	"CASP5"	"CCR2"	"CXCR3"	"CHST12"	"CD37"	"CCL1"	"CCDC85C"	"BCL10"	"CCDC90B"	"CD48"	"CHST8"
"ARHGAP17"	""	"HAVCR2"	"CCR1"	"ADCK2"	"C6orf25"	"GTF3C1"	"CBL"	"CCR4"	"GZMK"	"CIAO1"	"CD3D"	"CCL18"	"CCDC88A"	"BFAR"	"CECR5"	"CD93"	"CLCNKB"
"ATF7IP"	""	"KMO"	"CD101"	"ADCY3"	"C8G"	"GZMB"	"CEACAM8"	"CCR7"	"IL7R"	"CLIC1"	"CD3E"	"CCL19"	"CD52"	"BTBD1"	"CGGBP1"	"CDC40"	"CLINT1"
"BAIAP3"	""	"NR4A3"	"CDH19"	"AGPS"	"CASP10"	"IL21R"	"CIR1"	"CCR8"	"KLRG1"	"CLPP"	"CD4"	"CCL22"	"CD63"	"BUB3"	"CIRBP"	"CDK9"	"CNKSR1"
"BCL2L11"	""	"CLIC2"	"CEACAM8"	"ALCAM"	"CD22"	"KIR2DL3"	"CLC"	"CCR9"	"AAK1"	"COLQ"	"CD7"	"CCL24"	"CD81"	"CANX"	"CLEC3B"	"CEACAM4"	"CNPY2"
"BMP8B"	""	"WFDC21P"	"CEBPE"	"ARHGEF11"	"CD33"	"KIR2DS1"	"CLEC4E"	"CD2"	"APBB1"	"COMMD8"	"FAIM3"	"CCL7"	"CDS2"	"CARM1"	"COL14A1"	"CECR5"	"CNR1"
"BTK"	""	"ACHE"	"CORO7"	"ARL8B"	"CD84"	"KIR2DS2"	"CSF2RB"	"CD27"	"ARHGEF1"	"COX8A"	"GPR171"	"CCR1"	"CEPT1"	"CAV1"	"CORIN"	"CEPT1"	"CNTD2"
"C12orf49"	""	"ALCAM"	"CSF2RB"	"ARPC4"	"CDC16"	"KIR2DS5"	"DDX3X"	"CD3D"	"BTN2A1"	"CSNK1G1"	"IL2RB"	"CD163"	"CLCN7"	"CCT6A"	"CSF1"	"CFP"	"COX6A2"
"C5orf15"	""	"ALDH1A2"	"CUX2"	"ARSB"	"CENPJ"	"KIR3DL1"	"DHX34"	"CD3E"	"C7orf26"	"CSTF1"	"ITK"	"CD300C"	"COL4A3BP"	"CD9"	"CSNK1A1"	"CLEC10A"	"CRYBA4"
"CCR6"	""	"ALOX15"	"DEFA4"	"ATOX1"	"CHD9"	"KIR3DL2"	"ELL"	"CD3G"	"CA6"	"CTLA4"	"LCK"	"CD48"	"COMMD9"	"CD93"	"CSNK1G3"	"CLEC1A"	"CRYBB1"
"CD180"	""	"ALOX15B"	"DPEP2"	"ATP2C1"	"CPSF1"	"KIR3DL3"	"FBXO38"	"CD4"	"CASP8"	"CXCR3"	"LTB"	"CD63"	"CYFIP1"	"CDC123"	"CSTF2T"	"CLEC3B"	"CRYBB3"
"CD37"	""	"ARL8B"	"DPEP3"	"ATP6AP2"	"CTDSP1"	"KIR3DS1"	"FPR2"	"CD5"	"CBY1"	"CXCR6"	"PIK3IP1"	"CD80"	"DHX57"	"CDC27"	"CYBA"	"CLEC4A"	"CRYGC"
"CD53"	""	"BCL2L11"	"DRP2"	"ATP6V0A1"	"CTR9"	"SPON2"	"GCC1"	"CD6"	"CCDC25"	"DAXX"	"PMCH"	"CD84"	"DNASE1L3"	"CDC37"	"CYP20A1"	"CLEC4E"	"CSHL1"
"CDC40"	""	"BCL2L13"	"ENTPD2"	"ATP6V0C"	"DCLRE1B"	"TMEPAI"	"GPR27"	"CD7"	"CCDC53"	"DBF4"	"SELL"	"CECR5"	"DNASE2B"	"CEP55"	"DCTD"	"CLEC5A"	"CSPP1"
"CEACAM21"	""	"C1QA"	"FBXO40"	"ATP6V0E1"	"DEPDC5"	"EOMES"	"HBB"	"CD96"	"CCR7"	"DBR1"	"SKAP1"	"CHIT1"	"EFR3A"	"CISD1"	"DDX19A"	"CLIP1"	"CUL7"
"CEPT1"	""	"C1QB"	"FCER1A"	"ATP6V1A"	"DIAPH1"	"GZMA"	"HERC3"	"CDC14A"	"CD160"	"DCAF7"	"TRAC"	"CIAO1"	"ELK1"	"CLDN5"	"DEK"	"COL4A3BP"	"CUX2"
"CHAD"	""	"CAMK1G"	"FEV"	"ATP6V1C1"	"DNAJC13"	"KLRK1"	"HRH4"	"CHMP7"	"CD27"	"DCLRE1A"	"TRBC1"	"CLCN7"	"EXOC1"	"CLEC1A"	"DNAJC13"	"COMMD9"	"CYBA"
"CIITA"	""	"CCDC81"	"FMO3"	"ATP6V1D"	"DNAJC28"	"NKG7"	"HSPA6"	"CRLF3"	"CD7"	"DGCR14"	""	"CLEC4E"	"FDX1"	"CLPP"	"DNPEP"	"COQ2"	"CYP11A1"
"CNOT1"	""	"CCL18"	"GAST"	"ATP6V1E1"	"DR1"	"PLCG2"	"IL18RAP"	"CTLA4"	"CD96"	"DLGAP5"	""	"CLPB"	"FGR"	"CLTA"	"DPT"	"CSF1R"	"DAD1"
"CNR1"	""	"CCL19"	"GIPR"	"ATP6V1F"	"ESYT1"	"SAMD3"	"IP6K1"	"CUBN"	"CEPT1"	"DR1"	""	"CLTC"	"FH"	"COPS6"	"DPY19L4"	"CSF3R"	"DDN"
"CNR2"	""	"CCL23"	"GMIP"	"ATP6V1H"	"FAM120A"	"STYK1"	"KSR1"	"DDX31"	"CIAPIN1"	"DRG2"	""	"CMKLR1"	"FKBP15"	"DAD1"	"DSTN"	"CSNK1A1"	"DDOST"
"COL19A1"	""	"CCL24"	"HDC"	"BAG3"	"FBXO11"	"TBX21"	"LILRA1"	"DDX5"	"CLUAP1"	"ECT2"	""	"COQ2"	"FLT1"	"DCTN5"	"DUT"	"CTBP2"	"DEF8"
"CR1"	""	"CCL8"	"HIC1"	"BAIAP2"	"FBXO38"	"CCL5"	"LILRA2"	"DIDO1"	"COG2"	"FAF1"	""	"CORO7"	"FTL"	"DDX10"	"ECT2"	"CUL5"	"DKKL1"
"CSNK1G3"	""	"CCR7"	"HS3ST2"	"BCAP31"	"GATA1"	"CCR5"	"LMTK2"	"DLEC1"	"COPZ1"	"FAM120A"	""	"COX5B"	"GABARAP"	"DEF8"	"EDA2R"	"CX3CR1"	"DMTF1"
"DAXX"	""	"CD80"	"KCNA5"	"BPI"	"HIBCH"	"CHSY1"	"MAK"	"DNAH6"	"CRTAM"	"FAM96B"	""	"CSF1"	"GGA1"	"DLGAP5"	"ELN"	"CXCR2"	"DNAJC4"
"DCLRE1C"	""	"CD86"	"KCNK7"	"BTBD1"	"HRH4"	"CRTAM"	"MED13L"	"DNAJB1"	"CTSW"	"FASLG"	""	"CSF1R"	"GLB1"	"DYNLL1"	"EMILIN1"	"CXorf21"	"DNASE1L2"
"DEF8"	""	"CD9"	"KDM6B"	"C12orf4"	"HSPH1"	"CXCR6"	"MEFV"	"DSC1"	"CX3CR1"	"FZR1"	""	"CYBB"	"GORASP1"	"ECD"	"EML3"	"CYBB"	"DOK3"
"DEPDC5"	""	"CEP350"	"KIF5A"	"C12orf49"	"IFT27"	"GZMK"	"MMP25"	"EZH1"	"DHX15"	"G3BP2"	""	"CYC1"	"GPD1"	"EDC3"	"ETF1"	"CYSLTR2"	"DPAGT1"
"DNASE1"	""	"CUL1"	"KSR1"	"C7orf25"	"IL5"	"IL12RB2"	"MTMR3"	"FBXO11"	"DIDO1"	"GLE1"	""	"CYFIP1"	"GSTO1"	"EDC4"	"EXOC1"	"DCTN4"	"DRD4"
"EGOT"	""	"DPYS"	"LECT2"	"CCDC88A"	"IL5RA"	"IL18R1"	"NDEL1"	"FBXO21"	"DPP8"	"GLMN"	""	"CYP19A1"	"GUCA1A"	"EI24"	"FAIM2"	"DDX21"	"DRD5"
"GDI2"	""	"ETV3"	"LMTK2"	"CCL1"	"ITGA2B"	"IL2RB"	"NFYA"	"FCN1"	"DSC1"	"GLO1"	""	"DAGLA"	"HADHB"	"EIF2B2"	"FBXL8"	"DDX3X"	"EBAG9"
"GGA2"	""	"FBXL4"	"LRRC36"	"CCL18"	"KCNJ5"	"KLRD1"	"NMI"	"FNBP4"	"EEF1D"	"GMEB1"	""	"DLAT"	"HAMP"	"EIF4G2"	"FGF7"	"DENND1A"	"ELL"
"GPR18"	""	"FCER2"	"LTF"	"CCL22"	"KLRG1"	"KLRG1"	"NRBF2"	"FOXP3"	"EML3"	"GMIP"	""	"DNAJC13"	"HEXA"	"ERCC1"	"FKTN"	"DHX57"	"ENTPD1"
"GPR25"	""	"FGL2"	"MBOAT7"	"CCR1"	"KRT1"	"PRF1"	"P2RY13"	"FUBP1"	"FAM134C"	"GNLY"	""	"DNASE2B"	"HEXB"	"ERG"	"FMO2"	"DHX8"	"EPO"
"GPRC5D"	""	"FPR3"	"MKL1"	"CD164"	"LAX1"	"SERPINB9"	"PADI4"	"GIMAP4"	"FBXW4"	"GPI"	""	"DOT1L"	"HPS1"	"FAM107A"	"FRS2"	"DLG4"	"ERGIC3"
"HDAC7"	""	"GRIN1"	"MMP25"	"CD48"	"LCP2"	"CD160"	"PAK2"	"GIMAP6"	"FKTN"	"GPKOW"	""	"EMILIN1"	"HS3ST2"	"FAM65A"	"FTL"	"DNAH17"	"FBP2"
"HLA-DOA"	""	"GRSF1"	"MMP26"	"CD63"	"LRIG2"	"KIR2DL1"	"PGLYRP1"	"GOLGA4"	"FNBP4"	"GPR15"	""	"EXOC5"	"HSPH1"	"FBL"	"FTO"	"DNAJC13"	"FCRL2"
"HLA-DPB1"	""	"HCRTR2"	"MMRN2"	"CD9"	"LTC4S"	"KIR2DL4"	"PTEN"	"GP5"	"FTO"	"GPR171"	""	"FAM32A"	"IARS2"	"FDPS"	"GANAB"	"DOK2"	"FGF6"
"HSPA4"	""	"HK3"	"MNT"	"CEPT1"	"LYL1"	"PTGDR"	"RMND5A"	"GPR171"	"GGNBP2"	"GPR68"	""	"FANCE"	"IFNAR1"	"FEZ2"	"GARS"	"DOK3"	"FKBP2"
"HTR3A"	""	"HLA-DQA1"	"MOG"	"CETN2"	"MAGT1"	"SH2D1B"	"SDF2"	"GPR183"	"GIMAP4"	"GRAP2"	""	"FCER1G"	"IPPK"	"FLT1"	"GDF5"	"DPEP2"	"FN3K"
"IFNA2"	""	"HPS5"	"MS4A3"	"CHD9"	"MAP3K7"	"AGK"	"SLC19A1"	"HAUS3"	"GJC2"	"GYG1"	""	"FDX1"	"ITGAX"	"FLT4"	"GGPS1"	"EIF1B"	"FNDC3A"
"IFNW1"	""	"IL12B"	"MYO3A"	"CIAO1"	"MBOAT7"	"ALG13"	"SLC25A44"	"HERC1"	"GZMH"	"GZMA"	""	"FKBP15"	"KCNJ1"	"FOXC2"	"GOLGA1"	"EIF4E2"	"FTCD"
"IKZF3"	""	"IL21R"	"NPY2R"	"CIR1"	"MRPS28"	"AMZ2"	"SPAG9"	"HIPK1"	"HNRNPA0"	"GZMB"	""	"FOLR2"	"KCNJ5"	"FXR1"	"GOLGA4"	"ELL"	"GABRR2"
"IL17A"	""	"IRF4"	"NXPH3"	"CLCN7"	"MTR"	"ANKRD11"	"TGM3"	"HMGN4"	"HNRNPL"	"GZMH"	""	"FPR2"	"KCNK13"	"G6PC3"	"GPATCH2"	"ETF1"	"GDF2"
"INPP5B"	""	"KCNC3"	"NYX"	"CLIP1"	"NBAS"	"ARPC5L"	"TMEM185B"	"HMOX2"	"IL16"	"GZMK"	""	"FPR3"	"KCTD5"	"GDF3"	"GPR137"	"ETV3"	"GH2"
"ITSN2"	""	"KCNK13"	"OLIG2"	"CMKLR1"	"NDST2"	"ASTE1"	"TMUB2"	"HNRNPU"	"IPCEF1"	"H2AFX"	""	"FTL"	"KIAA0196"	"GIMAP4"	"GPR85"	"EWSR1"	"GLT8D1"
"JMJD1C"	""	"KCNN1"	"P2RY14"	"CNIH4"	"NTRK1"	"BAD"	"TOP1"	"IL21R"	"IRF3"	"HAT1"	""	"GLRX2"	"LAIR1"	"GIMAP6"	"GRIA1"	"F13A1"	"GMPPA"
"KCNIP2"	""	"LOR"	"PGLYRP1"	"COMMD8"	"OSBP"	"BRD2"	"TOX4"	"IPCEF1"	"KLHL3"	"HIC1"	""	"GP1BA"	"LAMP1"	"GIT1"	"GRIA3"	"FAM32A"	"GNB3"
"KCNN3"	""	"MAP3K13"	"PHLDA2"	"COMMD9"	"OSBPL9"	"C1orf174"	"TREM1"	"ITIH4"	"KLRB1"	"HIVEP3"	""	"GPD1"	"LILRA2"	"GJA4"	"GSTM5"	"FBXL5"	"GOLGA3"
"KIAA0430"	""	"MAP3K6"	"PLXNB3"	"COX15"	"P2RX1"	"CCL4"	"TREML2"	"ITK"	"KRT2"	"HJURP"	""	"HAMP"	"LILRB4"	"GNB1"	"HAND2"	"FBXO11"	"GOLGA4"
"KIAA1033"	""	"MCF2"	"POLQ"	"COX5A"	"PABPC4"	"CD244"	"TRIM25"	"KLHL3"	"LAIR2"	"HMGN4"	""	"HAUS2"	"LONRF3"	"GOT2"	"HDAC5"	"FCAR"	"GOLGB1"
"LSM6"	""	"MPHOSPH6"	"PRL"	"COX5B"	"PAK2"	"CD247"	"TRPM6"	"KRIT1"	"LSM14A"	"HMOX2"	""	"HEXB"	"MARCO"	"GPR4"	"HDAC7"	"FCER1A"	"GORASP2"
"LY86"	""	"MS4A4A"	"PTTG2"	"COX7B"	"PDE4A"	"CDKN2AIP"	"TTLL4"	"LAX1"	"LY9"	"HNRNPF"	""	"HK3"	"MFN1"	"HSP90B1"	"HEXA"	"FCER1G"	"GP9"
"LY9"	""	"NAGPA"	"PURG"	"COX8A"	"PIK3R2"	"CHRNE"	"UBE2B"	"LEPROTL1"	"MED17"	"HNRNPUL1"	""	"HSPB7"	"MMP19"	"HSPA4"	"HIC1"	"FCN1"	"GPLD1"
"MAP3K9"	""	"NECAP2"	"RARA"	"CPNE6"	"POLR2A"	"COQ10B"	"UBE2D1"	"LSM14A"	"MKRN2"	"HSPB11"	""	"HYAL2"	"MRM1"	"HTR1B"	"HIF1A"	"FGL2"	"GPR37L1"
"MBD4"	""	"NFKB1"	"RASL12"	"CRYBB1"	"PPP3R1"	"CTSW"	"UBN1"	"LY9"	"MMP19"	"IFNG"	""	"IFNAR1"	"MS4A4A"	"HTR2B"	"HLCS"	"FGR"	"GPRC5D"
"MCM9"	""	"NXPH3"	"RGS13"	"CSF1"	"PRKAR1A"	"CX3CR1"	"UBXN2B"	"MBNL1"	"MSL3"	"IKZF4"	""	"IGSF6"	"MSR1"	"HYAL2"	"HPS1"	"FKBP15"	"GRIN1"
