"Gene Symbol"	"Disease Name"
"CLEC10A"	"ACC"
"CLEC2B"	"ACC"
"CLEC4A"	"ACC"
"CLEC4E"	"ACC"
"CLEC7A"	"ACC"
"CLECL1"	"ACC"
"CLIC2"	"ACC"
"CLIC3"	"ACC"
"CORO1A"	"ACC"
"CPM"	"ACC"
"CPNE5"	"ACC"
"CPVL"	"ACC"
"CR1"	"ACC"
"CRTAM"	"ACC"
"CSF1R"	"ACC"
"CSF1"	"ACC"
"CSF2RA"	"ACC"
"CSF2RB"	"ACC"
"CSF2"	"ACC"
"CSF3R"	"ACC"
"CST7"	"ACC"
"CSTA"	"ACC"
"CTLA4"	"ACC"
"CTSW"	"ACC"
"CX3CR1"	"ACC"
"CXCL10"	"ACC"
"CXCL11"	"ACC"
"CXCL1"	"ACC"
"CXCL9"	"ACC"
"CXCR2"	"ACC"
"CXCR6"	"ACC"
"CYBA"	"ACC"
"CYBB"	"ACC"
"CYP1B1"	"ACC"
"CYSLTR1"	"ACC"
"CYTH4"	"ACC"
"CYTIP"	"ACC"
"DAPP1"	"ACC"
"DEF6"	"ACC"
"DFNA5"	"ACC"
"DNAJC5B"	"ACC"
"DOCK2"	"ACC"
"DOK3"	"ACC"
"DPEP2"	"ACC"
"DPYD"	"ACC"
"EBI3"	"ACC"
"EMR3"	"ACC"
"EOMES"	"ACC"
"EVI2A"	"ACC"
"EVI2B"	"ACC"
"FAIM3"	"ACC"
"FAM129A"	"ACC"
"FAM26F"	"ACC"
"FAM49A"	"ACC"
"FASLG"	"ACC"
"FCAR"	"ACC"
"FCER1A"	"ACC"
"FCGR2A"	"ACC"
"FCGR2B"	"ACC"
"FCGR2C"	"ACC"
"FCN1"	"ACC"
"FCRL1"	"ACC"
"FCRL2"	"ACC"
"FCRL3"	"ACC"
"FCRL5"	"ACC"
"FCRLA"	"ACC"
"FERMT3"	"ACC"
"FFAR2"	"ACC"
"FGD3"	"ACC"
"FGFBP2"	"ACC"
"FGL2"	"ACC"
"FGR"	"ACC"
"FLI1"	"ACC"
"FMNL1"	"ACC"
"FPR1"	"ACC"
"FPR2"	"ACC"
"FPR3"	"ACC"
"FXYD5"	"ACC"
"FYB"	"ACC"
"FYN"	"ACC"
"GBP5"	"ACC"
"GGTA1"	"ACC"
"GIMAP2"	"ACC"
"GIMAP4"	"ACC"
"GIMAP5"	"ACC"
"GIMAP6"	"ACC"
"GIMAP7"	"ACC"
"GLIPR1"	"ACC"
"GMFG"	"ACC"
"GNA15"	"ACC"
"GNB4"	"ACC"
"GNG2"	"ACC"
"GNLY"	"ACC"
"GNPTAB"	"ACC"
"GPR114"	"ACC"
"GPR132"	"ACC"
"GPR15"	"ACC"
"GPR171"	"ACC"
"GPR183"	"ACC"
"GPR18"	"ACC"
"GPR65"	"ACC"
"GPR68"	"ACC"
"GPR84"	"ACC"
"GPSM3"	"ACC"
"GZMA"	"ACC"
"GZMB"	"ACC"
"GZMH"	"ACC"
"GZMK"	"ACC"
"GZMM"	"ACC"
"HAVCR2"	"ACC"
"HCK"	"ACC"
"HCLS1"	"ACC"
"HCST"	"ACC"
"HK3"	"ACC"
"HLA-DOB"	"ACC"
"HLA-DQA1"	"ACC"
"HLA-DQB1"	"ACC"
"HMOX1"	"ACC"
"HPSE"	"ACC"
"HVCN1"	"ACC"
"ICAM2"	"ACC"
"ICOSLG"	"ACC"
"ICOS"	"ACC"
"IER5"	"ACC"
"IFNG"	"ACC"
"IGSF6"	"ACC"
"IKZF1"	"ACC"
"IL10RA"	"ACC"
"IL12B"	"ACC"
"IL16"	"ACC"
"IL18RAP"	"ACC"
"IL19"	"ACC"
"IL24"	"ACC"
"IL2RA"	"ACC"
"IL2RB"	"ACC"
"IL2RG"	"ACC"
"IL3RA"	"ACC"
"IL6"	"ACC"
"INPP5D"	"ACC"
"IRAK2"	"ACC"
"IRF1"	"ACC"
"IRF4"	"ACC"
"IRF5"	"ACC"
"IRF7"	"ACC"
"IRF8"	"ACC"
"ITGA4"	"ACC"
"ITGAL"	"ACC"
"ITGAM"	"ACC"
"ITGAX"	"ACC"
"ITGB7"	"ACC"
"ITK"	"ACC"
"JAK3"	"ACC"
"KBTBD8"	"ACC"
"KCNK6"	"ACC"
"KCTD12"	"ACC"
"KIAA0125"	"ACC"
"KIR2DL3"	"ACC"
"KIR3DL1"	"ACC"
"KIR3DL3"	"ACC"
"KLHL6"	"ACC"
"KLRB1"	"ACC"
"KLRD1"	"ACC"
"KLRF1"	"ACC"
"KLRG1"	"ACC"
"KLRK1"	"ACC"
"KYNU"	"ACC"
"LAG3"	"ACC"
"LAT2"	"ACC"
"LCK"	"ACC"
"LCP1"	"ACC"
"LCP2"	"ACC"
"LFNG"	"ACC"
"LILRA1"	"ACC"
"LILRA2"	"ACC"
"LILRA6"	"ACC"
"LILRB1"	"ACC"
"LILRB2"	"ACC"
"LILRB3"	"ACC"
"LOC374443"	"ACC"
"LPXN"	"ACC"
"LRMP"	"ACC"
"LST1"	"ACC"
"LTB"	"ACC"
"LY96"	"ACC"
"LY9"	"ACC"
"LYN"	"ACC"
"MAF"	"ACC"
"MAP3K8"	"ACC"
"MAP4K1"	"ACC"
"MARCH1"	"ACC"
"MBP"	"ACC"
"MCOLN2"	"ACC"
"MCTP2"	"ACC"
"MEFV"	"ACC"
"MEI1"	"ACC"
"MFNG"	"ACC"
"MGC29506"	"ACC"
"MIR155HG"	"ACC"
"MNDA"	"ACC"
"MPEG1"	"ACC"
"MS4A6A"	"ACC"
"MS4A7"	"ACC"
"MSC"	"ACC"
"MX2"	"ACC"
"MYO1F"	"ACC"
"MYO1G"	"ACC"
"NCF2"	"ACC"
"NCF4"	"ACC"
"NCKAP1L"	"ACC"
"NCR3"	"ACC"
"NFAM1"	"ACC"
"NFE2"	"ACC"
"NKG7"	"ACC"
"NLRC3"	"ACC"
"NPL"	"ACC"
"OAS2"	"ACC"
"OBFC2A"	"ACC"
"OGFRL1"	"ACC"
"OSM"	"ACC"
"P2RY13"	"ACC"
"PARVG"	"ACC"
"PDCD1LG2"	"ACC"
"PDE4B"	"ACC"
"PELI1"	"ACC"
"PI3"	"ACC"
"PIK3CD"	"ACC"
"PIK3R5"	"ACC"
"PILRA"	"ACC"
"PION"	"ACC"
"PIP4K2A"	"ACC"
"PLA2G7"	"ACC"
"PLBD1"	"ACC"
"PLEK"	"ACC"
"PMAIP1"	"ACC"
"PNOC"	"ACC"
"POU2AF1"	"ACC"
"POU2F2"	"ACC"
"PRDM1"	"ACC"
"PRF1"	"ACC"
"PRKCH"	"ACC"
"PROK2"	"ACC"
"PTAFR"	"ACC"
"PTGDR"	"ACC"
"PTGER2"	"ACC"
"PTGS2"	"ACC"
"PTPN22"	"ACC"
"PTPRCAP"	"ACC"
"PTPRC"	"ACC"
"PTPRJ"	"ACC"
"PYHIN1"	"ACC"
"RAB37"	"ACC"
"RAP2B"	"ACC"
"RASA3"	"ACC"
"RASAL3"	"ACC"
"RASGRP2"	"ACC"
"RASGRP3"	"ACC"
"RASGRP4"	"ACC"
"RASSF2"	"ACC"
"RASSF4"	"ACC"
"RCSD1"	"ACC"
"RFTN1"	"ACC"
"RGL4"	"ACC"
"RGS18"	"ACC"
"RHOH"	"ACC"
"RNASE6"	"ACC"
"RNASET2"	"ACC"
"RNF125"	"ACC"
"RNF144B"	"ACC"
"RUNX3"	"ACC"
"S1PR4"	"ACC"
"SAMD3"	"ACC"
"SAMSN1"	"ACC"
"SASH3"	"ACC"
"SEL1L3"	"ACC"
"SELPLG"	"ACC"
"SGPP2"	"ACC"
"SH2B3"	"ACC"
"SH2D2A"	"ACC"
"SIGLEC1"	"ACC"
"SLAMF1"	"ACC"
"SLAMF7"	"ACC"
"SLAMF8"	"ACC"
"SLA"	"ACC"
"SLC15A3"	"ACC"
"SPI1"	"ACC"
"SPIB"	"ACC"
"ST8SIA4"	"ACC"
"STAB1"	"ACC"
"STAP1"	"ACC"
"STAT4"	"ACC"
"STX11"	"ACC"
"SYK"	"ACC"
"SYTL3"	"ACC"
"TAGAP"	"ACC"
"TBC1D10C"	"ACC"
"TBX21"	"ACC"
"TBXAS1"	"ACC"
"TCIRG1"	"ACC"
"TFEC"	"ACC"
"TGFB1"	"ACC"
"TIFAB"	"ACC"
"TIGIT"	"ACC"
"TLR10"	"ACC"
"TLR1"	"ACC"
"TLR2"	"ACC"
"TLR4"	"ACC"
"TLR8"	"ACC"
"TM6SF1"	"ACC"
"TMC6"	"ACC"
"TMC8"	"ACC"
"TMEM154"	"ACC"
"TMEM71"	"ACC"
"TMIGD2"	"ACC"
"TNFAIP8"	"ACC"
"TNFRSF17"	"ACC"
"TNFRSF18"	"ACC"
"TNFRSF1B"	"ACC"
"TNFSF8"	"ACC"
"TNF"	"ACC"
"TNIP1"	"ACC"
"TRAF3IP3"	"ACC"
"TRAT1"	"ACC"
"TREM2"	"ACC"
"TYMP"	"ACC"
"UCP2"	"ACC"
"VNN2"	"ACC"
"WAS"	"ACC"
"WIPF1"	"ACC"
"XCL1"	"ACC"
"ZAP70"	"ACC"
"ZBED2"	"ACC"
"ZBP1"	"ACC"
"ZNF217"	"ACC"
"ABL2"	"BLCA"
"ACAP1"	"BLCA"
"ADAM12"	"BLCA"
"ADAM19"	"BLCA"
"ADAM8"	"BLCA"
"ADAP2"	"BLCA"
"ADCY7"	"BLCA"
"AIF1"	"BLCA"
"AIM2"	"BLCA"
"AKAP13"	"BLCA"
"AKNA"	"BLCA"
"AMICA1"	"BLCA"
"AMPD1"	"BLCA"
"AMPD3"	"BLCA"
"ANKRD44"	"BLCA"
"AP1S2"	"BLCA"
"AP2S1"	"BLCA"
"APBB1IP"	"BLCA"
"APOBEC3A"	"BLCA"
"ARHGAP15"	"BLCA"
"ARHGAP18"	"BLCA"
"ARHGAP22"	"BLCA"
"ARHGAP25"	"BLCA"
"ARHGAP30"	"BLCA"
"ARHGAP9"	"BLCA"
"ARL4C"	"BLCA"
"ARNTL2"	"BLCA"
"ARPC5L"	"BLCA"
"ARRB2"	"BLCA"
"ATG7"	"BLCA"
"ATL3"	"BLCA"
"ATP8B2"	"BLCA"
"ATXN1"	"BLCA"
"BACH2"	"BLCA"
"BATF3"	"BLCA"
"BCL2A1"	"BLCA"
"BIN2"	"BLCA"
"BIRC3"	"BLCA"
"BLK"	"BLCA"
"BLVRA"	"BLCA"
"BMP2K"	"BLCA"
"BTLA"	"BLCA"
"BTN3A2"	"BLCA"
"C10orf54"	"BLCA"
"C11orf21"	"BLCA"
"C12orf35"	"BLCA"
"C12orf5"	"BLCA"
"C13orf18"	"BLCA"
"C13orf31"	"BLCA"
"C19orf28"	"BLCA"
"C1orf162"	"BLCA"
"C1orf38"	"BLCA"
"C22orf9"	"BLCA"
"C5AR1"	"BLCA"
"C5orf20"	"BLCA"
"C5orf39"	"BLCA"
"C5orf56"	"BLCA"
"CAB39"	"BLCA"
"CAMK4"	"BLCA"
"CAP1"	"BLCA"
"CASP1"	"BLCA"
"CCDC109B"	"BLCA"
"CCDC88A"	"BLCA"
"CCDC88B"	"BLCA"
"CCL17"	"BLCA"
"CCL19"	"BLCA"
"CCL1"	"BLCA"
"CCL20"	"BLCA"
"CCL22"	"BLCA"
"CCL24"	"BLCA"
"CCL4"	"BLCA"
"CCL8"	"BLCA"
"CCND2"	"BLCA"
"CCNYL1"	"BLCA"
"CCR1"	"BLCA"
"CCR2"	"BLCA"
"CCR5"	"BLCA"
"CCR7"	"BLCA"
"CD19"	"BLCA"
"CD1A"	"BLCA"
"CD1B"	"BLCA"
"CD1C"	"BLCA"
"CD1D"	"BLCA"
"CD1E"	"BLCA"
"CD209"	"BLCA"
"CD244"	"BLCA"
"CD247"	"BLCA"
"CD274"	"BLCA"
"CD27"	"BLCA"
"CD2"	"BLCA"
"CD300A"	"BLCA"
"CD37"	"BLCA"
"CD38"	"BLCA"
"CD3E"	"BLCA"
"CD3G"	"BLCA"
"CD40"	"BLCA"
"CD44"	"BLCA"
"CD53"	"BLCA"
"CD5"	"BLCA"
"CD69"	"BLCA"
"CD6"	"BLCA"
"CD79A"	"BLCA"
"CD79B"	"BLCA"
"CD7"	"BLCA"
"CD80"	"BLCA"
"CD83"	"BLCA"
"CD84"	"BLCA"
"CD86"	"BLCA"
"CD8B"	"BLCA"
"CD97"	"BLCA"
"CDA"	"BLCA"
"CDC25B"	"BLCA"
"CDK6"	"BLCA"
"CDV3"	"BLCA"
"CECR1"	"BLCA"
"CELF2"	"BLCA"
"CFLAR"	"BLCA"
"CFP"	"BLCA"
"CHI3L1"	"BLCA"
"CHST11"	"BLCA"
"CHST12"	"BLCA"
"CHST15"	"BLCA"
"CHST7"	"BLCA"
"CISH"	"BLCA"
"CLC"	"BLCA"
"CLEC10A"	"BLCA"
"CLEC4A"	"BLCA"
"CLEC4E"	"BLCA"
"CLEC5A"	"BLCA"
"CLEC7A"	"BLCA"
"CLECL1"	"BLCA"
"CLIC2"	"BLCA"
"CLIC3"	"BLCA"
"CMPK2"	"BLCA"
"CORO1C"	"BLCA"
"COTL1"	"BLCA"
"CPM"	"BLCA"
"CPNE5"	"BLCA"
"CPPED1"	"BLCA"
"CPVL"	"BLCA"
"CR1"	"BLCA"
"CREB5"	"BLCA"
"CRLF2"	"BLCA"
"CRTAM"	"BLCA"
"CSF1R"	"BLCA"
"CSF1"	"BLCA"
"CSF2RA"	"BLCA"
"CSF2RB"	"BLCA"
"CSF2"	"BLCA"
"CSF3R"	"BLCA"
"CSGALNACT2"	"BLCA"
"CST7"	"BLCA"
"CTLA4"	"BLCA"
"CTSD"	"BLCA"
"CTSL1"	"BLCA"
"CTSZ"	"BLCA"
"CX3CR1"	"BLCA"
"CXCL10"	"BLCA"
"CXCL11"	"BLCA"
"CXCL1"	"BLCA"
"CXCL3"	"BLCA"
"CXCL5"	"BLCA"
"CXCL9"	"BLCA"
"CXCR1"	"BLCA"
"CXCR6"	"BLCA"
"CYBA"	"BLCA"
"CYBB"	"BLCA"
"CYLD"	"BLCA"
"CYP1B1"	"BLCA"
"CYSLTR1"	"BLCA"
"CYTH1"	"BLCA"
"CYTH4"	"BLCA"
"CYTIP"	"BLCA"
"DDX60L"	"BLCA"
"DEFA4"	"BLCA"
"DERL3"	"BLCA"
"DNAJC1"	"BLCA"
"DNAJC5B"	"BLCA"
"DOCK10"	"BLCA"
"DOCK2"	"BLCA"
"DOK3"	"BLCA"
"DPEP2"	"BLCA"
"DPYD"	"BLCA"
"DSE"	"BLCA"
"DTX3L"	"BLCA"
"DUSP5"	"BLCA"
"EBI3"	"BLCA"
"ELL2"	"BLCA"
"EMILIN2"	"BLCA"
"EMR2"	"BLCA"
"EMR3"	"BLCA"
"ENTPD1"	"BLCA"
"EOMES"	"BLCA"
"EREG"	"BLCA"
"EVI2A"	"BLCA"
"EVI2B"	"BLCA"
"EVL"	"BLCA"
"FAIM3"	"BLCA"
"FAM101B"	"BLCA"
"FAM129A"	"BLCA"
"FAM129C"	"BLCA"
"FAM26F"	"BLCA"
"FAM46C"	"BLCA"
"FAM49A"	"BLCA"
"FAM55C"	"BLCA"
"FAM65B"	"BLCA"
"FASLG"	"BLCA"
"FAS"	"BLCA"
"FBXO6"	"BLCA"
"FCAR"	"BLCA"
"FCER1A"	"BLCA"
"FCGR2A"	"BLCA"
"FCGR2B"	"BLCA"
"FCGR2C"	"BLCA"
"FCGR3B"	"BLCA"
"FCN1"	"BLCA"
"FCRL1"	"BLCA"
"FCRL2"	"BLCA"
"FCRL3"	"BLCA"
"FCRL5"	"BLCA"
"FCRLA"	"BLCA"
"FERMT3"	"BLCA"
"FFAR2"	"BLCA"
"FGFBP2"	"BLCA"
"FGL2"	"BLCA"
"FGR"	"BLCA"
"FKBP11"	"BLCA"
"FLI1"	"BLCA"
"FLVCR2"	"BLCA"
"FMNL1"	"BLCA"
"FMNL2"	"BLCA"
"FNBP1"	"BLCA"
"FPR1"	"BLCA"
"FPR2"	"BLCA"
"FPR3"	"BLCA"
"FSD1L"	"BLCA"
"FXYD5"	"BLCA"
"FYB"	"BLCA"
"FYN"	"BLCA"
"GBP1"	"BLCA"
"GBP5"	"BLCA"
"GGTA1"	"BLCA"
"GIMAP2"	"BLCA"
"GIMAP4"	"BLCA"
"GIMAP5"	"BLCA"
"GIMAP6"	"BLCA"
"GIMAP7"	"BLCA"
"GJB2"	"BLCA"
"GLIPR1"	"BLCA"
"GLIPR2"	"BLCA"
"GLIS3"	"BLCA"
"GLS"	"BLCA"
"GLT1D1"	"BLCA"
"GLT25D1"	"BLCA"
"GMFG"	"BLCA"
"GNB4"	"BLCA"
"GNG2"	"BLCA"
"GNG7"	"BLCA"
"GPR114"	"BLCA"
"GPR132"	"BLCA"
"GPR15"	"BLCA"
"GPR171"	"BLCA"
"GPR183"	"BLCA"
"GPR18"	"BLCA"
"GPR65"	"BLCA"
"GPR68"	"BLCA"
"GPR84"	"BLCA"
"GPSM3"	"BLCA"
"GRAMD1A"	"BLCA"
"GSN"	"BLCA"
"GZMA"	"BLCA"
"GZMB"	"BLCA"
"GZMH"	"BLCA"
"GZMK"	"BLCA"
"GZMM"	"BLCA"
"HAVCR2"	"BLCA"
"HBEGF"	"BLCA"
"HCK"	"BLCA"
"HCLS1"	"BLCA"
"HCST"	"BLCA"
"HERC5"	"BLCA"
"HK3"	"BLCA"
"HLA-DOB"	"BLCA"
"HLA-DQA1"	"BLCA"
"HLA-DQB1"	"BLCA"
"HLX"	"BLCA"
"HMHA1"	"BLCA"
"HMOX1"	"BLCA"
"HPSE"	"BLCA"
"HS3ST3B1"	"BLCA"
"HSPA6"	"BLCA"
"HVCN1"	"BLCA"
"ICAM2"	"BLCA"
"ICAM3"	"BLCA"
"ICOSLG"	"BLCA"
"ICOS"	"BLCA"
"IDO1"	"BLCA"
"IFI16"	"BLCA"
"IFI35"	"BLCA"
"IFI44L"	"BLCA"
"IFI44"	"BLCA"
"IFI6"	"BLCA"
"IFIH1"	"BLCA"
"IFIT1"	"BLCA"
"IFIT2"	"BLCA"
"IFIT3"	"BLCA"
"IFNGR1"	"BLCA"
"IFNG"	"BLCA"
"IGSF6"	"BLCA"
"IKBIP"	"BLCA"
"IKZF1"	"BLCA"
"IL10RA"	"BLCA"
"IL12B"	"BLCA"
"IL13RA1"	"BLCA"
"IL15"	"BLCA"
"IL16"	"BLCA"
"IL18RAP"	"BLCA"
"IL24"	"BLCA"
"IL27RA"	"BLCA"
"IL2RA"	"BLCA"
"IL2RB"	"BLCA"
"IL2RG"	"BLCA"
"IL32"	"BLCA"
"IL3RA"	"BLCA"
"IL4R"	"BLCA"
"IL6R"	"BLCA"
"IL6"	"BLCA"
"INHBA"	"BLCA"
"INPP5D"	"BLCA"
"IRF1"	"BLCA"
"IRF4"	"BLCA"
"IRF7"	"BLCA"
"IRF8"	"BLCA"
"ISG20"	"BLCA"
"ITGA4"	"BLCA"
"ITGAL"	"BLCA"
"ITGAM"	"BLCA"
"ITGAX"	"BLCA"
"ITGB7"	"BLCA"
"ITK"	"BLCA"
"JAK1"	"BLCA"
"JAK3"	"BLCA"
"JUN"	"BLCA"
"KCNK6"	"BLCA"
"KCTD12"	"BLCA"
"KIAA0125"	"BLCA"
"KIAA1949"	"BLCA"
"KIR2DL3"	"BLCA"
"KIR2DL4"	"BLCA"
"KIR3DL1"	"BLCA"
"KLF12"	"BLCA"
"KLF6"	"BLCA"
"KLHL6"	"BLCA"
"KLRB1"	"BLCA"
"KLRD1"	"BLCA"
"KLRG1"	"BLCA"
"KLRK1"	"BLCA"
"L3MBTL4"	"BLCA"
"LAG3"	"BLCA"
"LAT2"	"BLCA"
"LCK"	"BLCA"
"LCP1"	"BLCA"
"LCP2"	"BLCA"
"LIF"	"BLCA"
"LILRA1"	"BLCA"
"LILRA2"	"BLCA"
"LILRA6"	"BLCA"
"LILRB1"	"BLCA"
"LILRB2"	"BLCA"
"LILRB3"	"BLCA"
"LITAF"	"BLCA"
"LPXN"	"BLCA"
"LRP10"	"BLCA"
"LRRC8C"	"BLCA"
"LRRN3"	"BLCA"
"LSP1"	"BLCA"
"LST1"	"BLCA"
"LTA"	"BLCA"
"LTB"	"BLCA"
"LY96"	"BLCA"
"LY9"	"BLCA"
"LYN"	"BLCA"
"MAF"	"BLCA"
"MAP4K1"	"BLCA"
"MAPKAP1"	"BLCA"
"MARCH1"	"BLCA"
"MBNL1"	"BLCA"
"MCOLN2"	"BLCA"
"MEFV"	"BLCA"
"MEI1"	"BLCA"
"MFNG"	"BLCA"
"MFSD1"	"BLCA"
"MGC29506"	"BLCA"
"MIR155HG"	"BLCA"
"MMP12"	"BLCA"
"MMP14"	"BLCA"
"MMP1"	"BLCA"
"MMP25"	"BLCA"
"MMP9"	"BLCA"
"MNDA"	"BLCA"
"MOBKL2A"	"BLCA"
"MPEG1"	"BLCA"
"MS4A6A"	"BLCA"
"MS4A7"	"BLCA"
"MSC"	"BLCA"
"MTHFD1L"	"BLCA"
"MX1"	"BLCA"
"MYO1F"	"BLCA"
"MYO1G"	"BLCA"
"NAMPT"	"BLCA"
"NCEH1"	"BLCA"
"NCF2"	"BLCA"
"NCF4"	"BLCA"
"NCK1"	"BLCA"
"NCKAP1L"	"BLCA"
"NCR3"	"BLCA"
"NCRNA00158"	"BLCA"
"NECAP2"	"BLCA"
"NEK6"	"BLCA"
"NEURL3"	"BLCA"
"NFAM1"	"BLCA"
"NFE2"	"BLCA"
"NINJ1"	"BLCA"
"NKG7"	"BLCA"
"NLRC3"	"BLCA"
"NLRC5"	"BLCA"
"NLRP12"	"BLCA"
"NMI"	"BLCA"
"NPC1"	"BLCA"
"NPL"	"BLCA"
"NR3C1"	"BLCA"
"NR4A3"	"BLCA"
"NRBF2"	"BLCA"
"NRP1"	"BLCA"
"NRP2"	"BLCA"
"NUB1"	"BLCA"
"OAS2"	"BLCA"
"OBFC2A"	"BLCA"
"OGFRL1"	"BLCA"
"OSBPL10"	"BLCA"
"OSM"	"BLCA"
"OSTM1"	"BLCA"
"OTUD1"	"BLCA"
"P2RX5"	"BLCA"
"P2RY13"	"BLCA"
"P2RY8"	"BLCA"
"PARP9"	"BLCA"
"PARVG"	"BLCA"
"PATL2"	"BLCA"
"PDCD1LG2"	"BLCA"
"PDE4B"	"BLCA"
"PHACTR1"	"BLCA"
"PHC2"	"BLCA"
"PHF19"	"BLCA"
"PI3"	"BLCA"
"PI4K2A"	"BLCA"
"PICALM"	"BLCA"
"PID1"	"BLCA"
"PIK3CD"	"BLCA"
"PIK3R5"	"BLCA"
"PILRA"	"BLCA"
"PIM2"	"BLCA"
"PIP4K2A"	"BLCA"
"PLA2G7"	"BLCA"
"PLAUR"	"BLCA"
"PLD1"	"BLCA"
"PLD3"	"BLCA"
"PLEK"	"BLCA"
"PLXNC1"	"BLCA"
"PNOC"	"BLCA"
"POU2F2"	"BLCA"
"PPM1F"	"BLCA"
"PPM1M"	"BLCA"
"PQLC3"	"BLCA"
"PRAM1"	"BLCA"
"PRDM1"	"BLCA"
"PREX1"	"BLCA"
"PRF1"	"BLCA"
"PRICKLE1"	"BLCA"
"PRKCQ"	"BLCA"
"PROK2"	"BLCA"
"PTAFR"	"BLCA"
"PTGDR"	"BLCA"
"PTGER2"	"BLCA"
"PTPN1"	"BLCA"
"PTPN22"	"BLCA"
"PTPN7"	"BLCA"
"PTPRCAP"	"BLCA"
"PTPRC"	"BLCA"
"PTPRJ"	"BLCA"
"PTX3"	"BLCA"
"PVRIG"	"BLCA"
"PVRL2"	"BLCA"
"PYHIN1"	"BLCA"
"RAB30"	"BLCA"
"RAB37"	"BLCA"
"RALB"	"BLCA"
"RAP2B"	"BLCA"
"RAPGEF1"	"BLCA"
"RASA3"	"BLCA"
"RASAL3"	"BLCA"
"RASGRP1"	"BLCA"
"RASGRP2"	"BLCA"
"RASGRP3"	"BLCA"
"RASGRP4"	"BLCA"
"RASSF4"	"BLCA"
"RCSD1"	"BLCA"
"RECK"	"BLCA"
"RELB"	"BLCA"
"RELT"	"BLCA"
"RFTN1"	"BLCA"
"RGL4"	"BLCA"
"RGS18"	"BLCA"
"RGS19"	"BLCA"
"RGS1"	"BLCA"
"RHOG"	"BLCA"
"RHOH"	"BLCA"
"RILPL2"	"BLCA"
"RNASE2"	"BLCA"
"RNASE6"	"BLCA"
"RNF125"	"BLCA"
"RNF144B"	"BLCA"
"RNF166"	"BLCA"
"RNF19B"	"BLCA"
"RORA"	"BLCA"
"RSAD2"	"BLCA"
"RUNX2"	"BLCA"
"RUNX3"	"BLCA"
"S100A12"	"BLCA"
"S1PR4"	"BLCA"
"SAMD3"	"BLCA"
"SAMD9L"	"BLCA"
"SAMD9"	"BLCA"
"SAMHD1"	"BLCA"
"SAMSN1"	"BLCA"
"SASH3"	"BLCA"
"SCD5"	"BLCA"
"SCO2"	"BLCA"
"SELPLG"	"BLCA"
"SEPT1"	"BLCA"
"SEPT6"	"BLCA"
"SEPX1"	"BLCA"
"SERPINB2"	"BLCA"
"SERPINB7"	"BLCA"
"SERPINB9"	"BLCA"
"SFMBT2"	"BLCA"
"SH2B3"	"BLCA"
"SH2D2A"	"BLCA"
"SH3GL3"	"BLCA"
"SIGLEC1"	"BLCA"
"SLAMF1"	"BLCA"
"SLAMF7"	"BLCA"
"SLAMF8"	"BLCA"
"SLA"	"BLCA"
"SLC11A1"	"BLCA"
"SLC15A3"	"BLCA"
"SLC2A3"	"BLCA"
"SLC31A2"	"BLCA"
"SLC43A3"	"BLCA"
