activated_Dendritic_cells	B_cells	CD8_T_cells	Citotoxic_cells	Dendritic_cells	Eosinophils	immature_Dendritic_cells	Macrophages	Mast_cells	Neutrophils	NK_CD56bright_cells	NK_CD56dim_cells	NK_cells	plasmacytoid_Dendritic_cells	T_cells	T_helper_cells	T_central_memory_cells	T_effector_memory_cells	T_follicular_helper_cells	T_gamma_delta_cells	Th1_cells	Th17_cells	Th2_cells	Treg_cells	Angiogenesis	Antigen_presentation_machinery
	DTNB	CDKN2AIP	KLRK1		GPR44	CTNS	COL8A2	HPGD	FCGR3B	XCL1	KIR3DL2	GAGE2A		LCK	ICOS	FAM153B	PRKY	KCNK5		CTLA4		GATA3		ESAM	
	FCRL2	DNAJB1	NKG7		HES1	F13A1	COLEC12	HPGDS	FLJ11151		KIR3DL3	IGFBP5		NCALD	ITM2A	FOXP1	TBC1D5	KIAA1324		DGKI		GSTA4		PTPRB	
	GLDC	FLT3LG	RORA		HIST1H1C	FABP4	CTSK	KIT	FPR1		KIR3DS1	KANK2		PRKCQ	LRBA	FYB	TBCD	MAF		DOK5		HELLS		GPR116	
	GNG7	GADD45A	RUNX3		HRH4	FZD2	CXCL5	LINC01140	FPRL1		SPON2	LDB3		SH2D1A	NAP1L4	HNRPH1	TRA	MAGEH1		DPP4		IL26		SPARCL1	
	HLA-DOB	GZMM	SIGIRR		IGSF2	GSTT1	CYBB	MAOB	G0S2		TMEPAI	MAPRE3		SKAP1	NUP107	INPP4B	VIL2	MKL2		DUSP5		LAIR2		EMCN	
	HLA-DQA1	KLF9	WHAMMP3		IL5RA	GUCA1A	DNASE2B	MLPH	HIST1H2BC			MCM3AP		TRA	PHF10	KLF12		MYO6		EGFL6		LIMA1		ROBO4	
	IGHA1	LEPROTL1	ZBTB16		KBTBD11	HS3ST2	EMP1	MPO	HPSE			MRC2		TRAC	PPP2R5C	LOC441155		MYO7A		GGT1		MB		ENG	
	IGHG1	LIME1			KCNH2	LMAN2L	FDX1	MS4A2	IL8RA			NCR1		TRAT1	RPA1	MAP3K1		PASK		HBEGF		MICAL2		TEK	
	IGHM	MYST3			LRP5L	MMP12	FN1	NR0B1	IL8RB			PDLIM4		TRBC1	SEC24C	MLL		PDCD1		IFNG		NEIL3		S1PR1	
	IGKC	PF4			MYO15B	MS4A6A	GM2A	PPM1H	KCNJ15			PRX			SLC25A12	N4BP2L2-IT2		POMT1		IL12RB2		PHEX		A2M	
	IGL	PPP1R2			RCOR3	NUDT9	GPC4	PRG2	LILRB2			PSMD4			SRSF10	NEFL		PTPN13		IL22		PMCH		JAM2	
	KIAA0125	PRF1			RNASE2	PDXK	KAL1	PTGS1	MGAM			RP5-886K2.1			TRA	NFATC3		PVALB		LRP8		PTGIS		COL15A1	
	MEF2C	PRR5			RRP12	PPARG	MARCO	SCG2	MME			SGMS1			UBE2L3	PCM1		SH3TC1		LRRN3		SLC39A14		PECAM1	
	MICAL3	RBM3			SIAH1	PREP	ME1	SIGLEC6	PDE4B			SLC30A5			YME1L1	PCNX		SIRPG		LTA		SMAD2		CALCRL	
	MS4A1	SF1			SMPD3	RAP1GAP	MS4A4A	SLC18A2	S100A12			SMEK1				PDXDC2		SLC7A10		SGCB		SNRPD1		CLEC3B	
	OSBPL10	SFRS7			SYNJ1	SLC26A6	MSR1	SLC24A3	SIGLEC5			SPN				PHC3		SMAD1		SYNGR3		WDHD1		PLVAP	
	PNOC	SLC16A7			TGIF1	SLC7A8	PCOLCE2	TAL1	SLC22A4			TBXA2R				POLR2J2		ST8SIA1		ZBTB32				RGS5	
	QRSL1	TBCC			THBS1	SYT17	PTGDS	TPSAB1	SLC25A37			TCTN2				PSPC1		STK39						LRRC32	
	SCN3A	THUMPD1			THBS4	TACSTD2	RAI14	TPSB2	TECPR2			TINAGL1				REPS1		THADA						EBF1	
	SLC15A2	TMC6			TIPARP	TM7SF4	SCARB2	VWA5A	TNFRSF10C			TRPV6				RPP38		TOX						ADCY4	
	SPIB	TSC22D3			TKTL1	VASH1	SCG5		VNN3			XCL1				SLC7A6		TSHR						ACVRL1	
	TCL1A	VAMP2					SGMS1					XCL2				SNRPN		ZNF764						GPR124	
	TNFRSF17	ZEB1					SULT1C2					ZNF205				ST3GAL1								APLNR	
		ZFP36L2										ZNF528				STX16								TM4SF18	
		ZNF22										ZNF747				TIMM8A								GNG11	
		ZNF609														TRAF3IP3								CNRIP1	
		ZNF91														TXK								ZNF423	
																TXLNGY								GIMAP8	
																USP9Y								PDGFD	
																								ITGA9	
																								EDNRB	
