"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"CD79A"	""	"CCR2"	"GPR65"	"CCR1"	""	"CXCR6"	"IL18RAP"	"CD27"	"CD3D"	"CD300A"	"CTLA4"	"CD80"	"ITGAX"	"COL4A3BP"	"GPRC5D"	""	""
"CD79B"	""	"CCR5"	"LRMP"	"CD80"	""	"FASLG"	"LILRA1"	"CD37"	"CD3E"	"CD3D"	"CXCR6"	"CD84"	"LILRA2"	"CSF1R"	"IRF4"	""	""
"CD80"	""	"CCR7"	"MMP25"	"CD84"	""	"GZMA"	"LILRA2"	"CD3D"	"CD3G"	"CD96"	"FAIM3"	"CLEC4E"	"MMP9"	"CSF3R"	"KIAA0125"	""	""
"CR1"	""	"CD1B"	"NCF2"	"CHI3L1"	""	"GZMB"	"LILRB2"	"CD3E"	"CD7"	"CHST12"	"GPR171"	"CSF1R"	"MS4A6A"	"CYBB"	"PNOC"	""	""
"FAIM3"	""	"CD1C"	"RGS1"	"CLEC4E"	""	"GZMH"	"LST1"	"CD3G"	"CD8B"	"CST7"	"ICOS"	"CXCL10"	"NAGPA"	"DOK3"	"RGS1"	""	""
"FCAR"	""	"CD80"	"SAMSN1"	"COL4A3BP"	""	"GZMK"	"MEFV"	"CD5"	"CD96"	"CTLA4"	"IL10RA"	"CXCL11"	"NCF2"	"DPEP2"	"TNFRSF17"	""	""
"FCRL2"	""	"CD86"	""	"CSF1R"	""	"GZMM"	"MMP25"	"CD6"	"CHST12"	"CXCR6"	"IL2RA"	"CXCL9"	"NCKAP1L"	"FCAR"	"VPREB3"	""	""
"GMIP"	""	"CLEC10A"	""	"CXCL9"	""	"IFNG"	"MNDA"	"CD69"	"CRTAM"	"FASLG"	"IL2RB"	"CYBB"	"NPL"	"FCN1"	"ZBP1"	""	""
"GPR18"	""	"CLEC4A"	""	"CYBA"	""	"IL18RAP"	"NCF2"	"CD7"	"CST7"	"GMIP"	"ITGB7"	"EBI3"	"PDCD1LG2"	"FGL2"	""	""	""
"GPRC5D"	""	"CLEC7A"	""	"CYBB"	""	"IL2RB"	"P2RY13"	"CD96"	"CTSW"	"GPR171"	"ITK"	"FPR2"	"PILRA"	"FGR"	""	""	""
"HLA-DOB"	""	"CLIC2"	""	"FGR"	""	"KIR2DL3"	"UBE2D1"	"CTLA4"	"CWF19L1"	"GPR68"	"LCK"	"FPR3"	"RNASE6"	"FPR1"	""	""	""
"HLA-DQA1"	""	"CSF1R"	""	"FPR2"	""	"KIR2DL4"	"USP15"	"CTSW"	"CXCR6"	"GZMA"	"PIK3IP1"	"HCK"	"SLAMF8"	"FPR2"	""	""	""
"IL12B"	""	"CXCL10"	""	"FPR3"	""	"KIR3DL1"	"VNN2"	"CXCR6"	"CYTH4"	"GZMB"	"RGS1"	"HK3"	"SLC15A3"	"GPR183"	""	""	""
"IL4R"	""	"CXCL9"	""	"HK3"	""	"KIR3DL3"	"ZDHHC18"	"DPEP2"	"FAIM3"	"GZMH"	""	"IDO1"	"SNX2"	"HCK"	""	""	""
"IRF8"	""	"CYTH4"	""	"IGSF6"	""	"KLRB1"	""	"FAIM3"	"FASLG"	"GZMK"	""	"IGSF6"	"TFEC"	"HK3"	""	""	""
"KIAA0125"	""	"EBI3"	""	"IL12B"	""	"KLRD1"	""	"FCN1"	"GIMAP4"	"IFNG"	""	"IL12B"	"TPP1"	"IL10RA"	""	""	""
"LILRB1"	""	"FGL2"	""	"ITGAX"	""	"KLRF1"	""	"GIMAP4"	"GIMAP6"	"IL18RAP"	""	"IRF8"	"TREM2"	"LILRA1"	""	""	""
"LY9"	""	"FPR3"	""	"LILRA2"	""	"KLRG1"	""	"GIMAP6"	"GPR171"	"IL2RA"	""	"LILRB1"	""	"LILRA2"	""	""	""
"MEFV"	""	"GPR132"	""	"LILRB1"	""	"KLRK1"	""	"GPR132"	"GPR65"	"IL2RB"	""	"NECAP2"	""	"LILRB1"	""	""	""
"P2RX5"	""	"GZMB"	""	"MMP9"	""	"LAG3"	""	"GPR171"	"GPR68"	"ITGAL"	""	"PILRA"	""	"LILRB2"	""	""	""
"PNOC"	""	"HAVCR2"	""	"MS4A6A"	""	"LTA"	""	"GPR183"	"GZMA"	"ITGB7"	""	"PLEKHB2"	""	"LILRB3"	""	""	""
"POU2F2"	""	"HCK"	""	"NAGPA"	""	"NCR3"	""	"GPSM3"	"GZMB"	"ITK"	""	"SIGLEC1"	""	"LST1"	""	""	""
"PTPN6"	""	"HK3"	""	"NCF2"	""	"NKG7"	""	"GZMA"	"GZMH"	"KLRB1"	""	"SLAMF1"	""	"MEFV"	""	""	""
"RASGRP2"	""	"HLA-DQA1"	""	"NCKAP1L"	""	"PRF1"	""	"GZMB"	"GZMK"	"KLRG1"	""	"SLAMF8"	""	"MNDA"	""	""	""
"S1PR4"	""	"IDO1"	""	"NECAP2"	""	"PTGDR"	""	"GZMK"	"GZMM"	"LAG3"	""	"TFEC"	""	"MS4A6A"	""	""	""
"SNX2"	""	"IL10RA"	""	"NSMAF"	""	"SAMD3"	""	"GZMM"	"IFNG"	"LCP2"	""	"TNIP3"	""	"MYO1F"	""	""	""
"SPIB"	""	"IL12B"	""	"PILRA"	""	"TBX21"	""	"ICOS"	"IL10RA"	"LTA"	""	"TPP1"	""	"NCF2"	""	""	""
"STAP1"	""	"IL19"	""	"PLA2G7"	""	"XCL1"	""	"IFNG"	"IL16"	"MMP25"	""	"TREM2"	""	"NCF4"	""	""	""
"TNFRSF17"	""	"IL2RA"	""	"PLEKHB2"	""	""	""	"IKZF1"	"IL18RAP"	"NCR3"	""	""	""	"NUP214"	""	""	""
"VPREB3"	""	"IL3RA"	""	"SIGLEC1"	""	""	""	"IL10RA"	"IL2RB"	"NKG7"	""	""	""	"OSM"	""	""	""
""	""	"IRF4"	""	"SLAMF8"	""	""	""	"IL16"	"ITGAL"	"PRF1"	""	""	""	"P2RY13"	""	""	""
""	""	"ITGAX"	""	"SNX2"	""	""	""	"IL2RA"	"ITK"	"PTPN7"	""	""	""	"PIAS1"	""	""	""
""	""	"KYNU"	""	"TFEC"	""	""	""	"IL2RB"	"KLRB1"	"PVRIG"	""	""	""	"PILRA"	""	""	""
""	""	"LILRB1"	""	"TPP1"	""	""	""	"ITGB7"	"KLRD1"	"SASH3"	""	""	""	"PLEK"	""	""	""
""	""	"LILRB2"	""	"TREM2"	""	""	""	"ITK"	"KLRG1"	"SLAMF1"	""	""	""	"POU2F2"	""	""	""
""	""	"MMP12"	""	""	""	""	""	"JAK3"	"KLRK1"	"TBX21"	""	""	""	"RGS19"	""	""	""
""	""	"MMP25"	""	""	""	""	""	"KLRB1"	"LAG3"	""	""	""	""	"RHOG"	""	""	""
""	""	"MNDA"	""	""	""	""	""	"LCK"	"LCK"	""	""	""	""	"SAMSN1"	""	""	""
""	""	"MS4A6A"	""	""	""	""	""	"LTA"	"LY9"	""	""	""	""	"TLR2"	""	""	""
""	""	"NAGPA"	""	""	""	""	""	"LY9"	"MYO1F"	""	""	""	""	"TLR8"	""	""	""
""	""	"NCF2"	""	""	""	""	""	"MBNL1"	"NCR3"	""	""	""	""	"UBE2D1"	""	""	""
""	""	"NECAP2"	""	""	""	""	""	"NECAP2"	"NKG7"	""	""	""	""	"USP15"	""	""	""
""	""	"OAS3"	""	""	""	""	""	"OSM"	"PIK3IP1"	""	""	""	""	"VASP"	""	""	""
""	""	"OSM"	""	""	""	""	""	"PIK3IP1"	"PRF1"	""	""	""	""	"WAS"	""	""	""
""	""	"PLA2G7"	""	""	""	""	""	"PTPRCAP"	"PTGDR"	""	""	""	""	""	""	""	""
""	""	"RHOG"	""	""	""	""	""	"PVRIG"	"PTPRC"	""	""	""	""	""	""	""	""
""	""	"RNASE6"	""	""	""	""	""	"RGS1"	"PTPRCAP"	""	""	""	""	""	""	""	""
""	""	"RSAD2"	""	""	""	""	""	"SAMSN1"	"PVRIG"	""	""	""	""	""	""	""	""
""	""	"SAMSN1"	""	""	""	""	""	"SELPLG"	"PYHIN1"	""	""	""	""	""	""	""	""
""	""	"SIGLEC1"	""	""	""	""	""	"SLAMF1"	"RGS1"	""	""	""	""	""	""	""	""
""	""	"SLAMF1"	""	""	""	""	""	"STAP1"	"RHOG"	""	""	""	""	""	""	""	""
""	""	"SLAMF8"	""	""	""	""	""	"TCF7"	"SASH3"	""	""	""	""	""	""	""	""
""	""	"SPIB"	""	""	""	""	""	"TNFRSF4"	"SLAMF1"	""	""	""	""	""	""	""	""
""	""	"TFEC"	""	""	""	""	""	"TNFSF8"	"TBX21"	""	""	""	""	""	""	""	""
""	""	"TM7SF4"	""	""	""	""	""	"TRADD"	"TMC6"	""	""	""	""	""	""	""	""
""	""	"TNFRSF4"	""	""	""	""	""	"TRAF1"	"TNFSF8"	""	""	""	""	""	""	""	""
""	""	"TRAF1"	""	""	""	""	""	"TRAF3IP3"	"TRADD"	""	""	""	""	""	""	""	""
""	""	"TREM2"	""	""	""	""	""	"TRAT1"	"TRAF3IP3"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ZAP70"	"WAS"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ZNF394"	"XCL1"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	"ZAP70"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	"ZNF394"	""	""	""	""	""	""	""	""
