"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"LILRB1"	""	"EBI3"	""	"LILRB1"	""	"KLRD1"	""	"GIMAP6"	"GPR171"	"IL2RA"	""	"IRF8"	""	"HCK"	""	""	""
"LY9"	""	"FCER1A"	""	"MMP9"	""	"KLRF1"	""	"GPR132"	"GPR65"	"IL2RB"	""	"LILRB1"	""	"HK3"	""	""	""
"MEFV"	""	"FGL2"	""	"MS4A6A"	""	"KLRG1"	""	"GPR15"	"GPR68"	"ITGAL"	""	"NECAP2"	""	"IL10RA"	""	""	""
"P2RX5"	""	"FPR3"	""	"NCF2"	""	"KLRK1"	""	"GPR171"	"GZMA"	"ITGB7"	""	"PILRA"	""	"LILRA1"	""	""	""
"PNOC"	""	"GPR132"	""	"NCKAP1L"	""	"LAG3"	""	"GPR183"	"GZMB"	"ITK"	""	"SIGLEC1"	""	"LILRA2"	""	""	""
"POU2F2"	""	"GRB2"	""	"NECAP2"	""	"LTA"	""	"GPSM3"	"GZMH"	"KLRB1"	""	"SLAMF1"	""	"LILRB1"	""	""	""
"PTPN6"	""	"GZMB"	""	"PILRA"	""	"NCR3"	""	"GZMA"	"GZMK"	"KLRG1"	""	"SLAMF8"	""	"LILRB2"	""	""	""
"RASGRP2"	""	"HAVCR2"	""	"PLA2G7"	""	"NKG7"	""	"GZMB"	"GZMM"	"LAG3"	""	"SLC11A1"	""	"LILRB3"	""	""	""
"S1PR4"	""	"HCK"	""	"SIGLEC1"	""	"PRF1"	""	"GZMK"	"IFNG"	"LCP2"	""	"TFEC"	""	"LST1"	""	""	""
"SPIB"	""	"HK3"	""	"SLAMF8"	""	"PTGDR"	""	"GZMM"	"IL10RA"	"LTA"	""	"TNFAIP6"	""	"MEFV"	""	""	""
"STAP1"	""	"HLA-DQA1"	""	"SLC11A1"	""	"SAMD3"	""	"ICOS"	"IL16"	"MMP25"	""	"TNIP3"	""	"MNDA"	""	""	""
"TNFRSF17"	""	"HS3ST3B1"	""	"STAB1"	""	"SERPINB9"	""	"IFNG"	"IL18RAP"	"NCR3"	""	"TREM2"	""	"MS4A6A"	""	""	""
"VPREB3"	""	"IDO1"	""	"TFEC"	""	"TBX21"	""	"IKZF1"	"IL2RB"	"NKG7"	""	"WTAP"	""	"MYO1F"	""	""	""
""	""	"IL10RA"	""	"TREM2"	""	"XCL1"	""	"IL10RA"	"ITGAL"	"PRF1"	""	""	""	"NCF2"	""	""	""
""	""	"IL12B"	""	"WTAP"	""	""	""	"IL16"	"ITK"	"PTPN7"	""	""	""	"NCF4"	""	""	""
""	""	"IL2RA"	""	""	""	""	""	"IL2RA"	"KLRB1"	"PVRIG"	""	""	""	"OSM"	""	""	""
""	""	"IL3RA"	""	""	""	""	""	"IL2RB"	"KLRD1"	"SASH3"	""	""	""	"P2RY13"	""	""	""
""	""	"ITGAX"	""	""	""	""	""	"ITGB7"	"KLRG1"	"SLAMF1"	""	""	""	"PILRA"	""	""	""
""	""	"KYNU"	""	""	""	""	""	"ITK"	"KLRK1"	"TBX21"	""	""	""	"PLEK"	""	""	""
""	""	"LILRB1"	""	""	""	""	""	"JAK3"	"LAG3"	""	""	""	""	"POU2F2"	""	""	""
""	""	"LILRB2"	""	""	""	""	""	"KLRB1"	"LCK"	""	""	""	""	"RGS19"	""	""	""
""	""	"MMP12"	""	""	""	""	""	"LCK"	"LY9"	""	""	""	""	"RHOG"	""	""	""
""	""	"MMP25"	""	""	""	""	""	"LTA"	"MYO1F"	""	""	""	""	"RNASE2"	""	""	""
""	""	"MNDA"	""	""	""	""	""	"LY9"	"NCR3"	""	""	""	""	"S100A12"	""	""	""
""	""	"MS4A6A"	""	""	""	""	""	"NECAP2"	"NKG7"	""	""	""	""	"SAMSN1"	""	""	""
""	""	"NCF2"	""	""	""	""	""	"OSM"	"PIK3IP1"	""	""	""	""	"SLC11A1"	""	""	""
""	""	"NECAP2"	""	""	""	""	""	"PIK3IP1"	"PRF1"	""	""	""	""	"STAB1"	""	""	""
""	""	"OAS3"	""	""	""	""	""	"PTGER2"	"PTGDR"	""	""	""	""	"TLR2"	""	""	""
""	""	"OSM"	""	""	""	""	""	"PTPRCAP"	"PTPRC"	""	""	""	""	"TLR8"	""	""	""
""	""	"PLA2G7"	""	""	""	""	""	"PVRIG"	"PTPRCAP"	""	""	""	""	"VASP"	""	""	""
""	""	"RHOG"	""	""	""	""	""	"SAMSN1"	"PVRIG"	""	""	""	""	"WAS"	""	""	""
""	""	"RNASE6"	""	""	""	""	""	"SELPLG"	"PYHIN1"	""	""	""	""	"WTAP"	""	""	""
""	""	"RSAD2"	""	""	""	""	""	"SLAMF1"	"RHOG"	""	""	""	""	""	""	""	""
""	""	"SAMSN1"	""	""	""	""	""	"STAP1"	"SASH3"	""	""	""	""	""	""	""	""
""	""	"SIGLEC1"	""	""	""	""	""	"TCF7"	"SLAMF1"	""	""	""	""	""	""	""	""
""	""	"SLAMF1"	""	""	""	""	""	"TNFRSF4"	"TBX21"	""	""	""	""	""	""	""	""
""	""	"SLAMF8"	""	""	""	""	""	"TNFSF8"	"TNFSF8"	""	""	""	""	""	""	""	""
""	""	"SNX11"	""	""	""	""	""	"TRADD"	"TRADD"	""	""	""	""	""	""	""	""
""	""	"SPIB"	""	""	""	""	""	"TRAF1"	"TRAF3IP3"	""	""	""	""	""	""	""	""
""	""	"STAB1"	""	""	""	""	""	"TRAF3IP3"	"TSC22D3"	""	""	""	""	""	""	""	""
""	""	"TFEC"	""	""	""	""	""	"TRAT1"	"WAS"	""	""	""	""	""	""	""	""
""	""	"TM7SF4"	""	""	""	""	""	"ZAP70"	"XCL1"	""	""	""	""	""	""	""	""
""	""	"TNFAIP6"	""	""	""	""	""	""	"ZAP70"	""	""	""	""	""	""	""	""
""	""	"TNFRSF4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"TRAF1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"TREM2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"WTAP"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
