"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"FCRL2"	""	"CD86"	"THBS1"	"CXCL9"	""	"GZMK"	"LST1"	"CD96"	"CTSW"	"GPR171"	"ITK"	"FPR2"	"RNASE6"	"DPEP2"	""	""	""
"GMIP"	""	"CLEC10A"	""	"CYBA"	""	"GZMM"	"MEFV"	"CTLA4"	"CX3CR1"	"GPR68"	"LCK"	"FPR3"	"SLAMF8"	"FCAR"	""	""	""
"GPR18"	""	"CLEC4A"	""	"CYBB"	""	"IFNG"	"MMP25"	"CTSW"	"CXCR6"	"GZMA"	"LTB"	"HCK"	"SLC15A3"	"FCER1A"	""	""	""
"HLA-DOB"	""	"CLEC7A"	""	"FGR"	""	"IL18RAP"	"MNDA"	"CXCR6"	"CYTH4"	"GZMB"	"PIK3IP1"	"HK3"	"TFEC"	"FCN1"	""	""	""
"HLA-DQA1"	""	"CLIC2"	""	"FPR2"	""	"IL2RB"	"NCF2"	"DPEP2"	"FAIM3"	"GZMH"	"RGS1"	"IDO1"	"TREM2"	"FGL2"	""	""	""
"IL12B"	""	"CSF1R"	""	"FPR3"	""	"KLRB1"	"P2RY13"	"FAIM3"	"FASLG"	"GZMK"	""	"IGSF6"	""	"FGR"	""	""	""
"IRF8"	""	"CXCL9"	""	"HK3"	""	"KLRD1"	"PDE4B"	"FAM65B"	"GIMAP4"	"IFNG"	""	"IL12B"	""	"FPR1"	""	""	""
"KIAA0125"	""	"CYTH4"	""	"IGSF6"	""	"KLRF1"	"S100A12"	"FCN1"	"GIMAP6"	"IL18RAP"	""	"IRF8"	""	"FPR2"	""	""	""
"LILRB1"	""	"EBI3"	""	"IL12B"	""	"KLRG1"	""	"GIMAP4"	"GPR15"	"IL2RA"	""	"LILRB1"	""	"GPR183"	""	""	""
"LTB"	""	"FCER1A"	""	"ITGAX"	""	"KLRK1"	""	"GIMAP6"	"GPR171"	"IL2RB"	""	"NECAP2"	""	"HCK"	""	""	""
"LY9"	""	"FGL2"	""	"LILRA2"	""	"LAG3"	""	"GPR132"	"GPR65"	"ITGB7"	""	"PILRA"	""	"HK3"	""	""	""
"MEFV"	""	"FPR3"	""	"LILRB1"	""	"LTA"	""	"GPR15"	"GPR68"	"ITK"	""	"PLEKHB2"	""	"IL10RA"	""	""	""
"OSBPL10"	""	"GPR132"	""	"MMP9"	""	"LTB"	""	"GPR171"	"GZMA"	"KLRB1"	""	"SIGLEC1"	""	"IQGAP1"	""	""	""
"P2RX5"	""	"GZMB"	""	"MS4A6A"	""	"NCR3"	""	"GPR183"	"GZMB"	"KLRG1"	""	"SLAMF1"	""	"LILRA1"	""	""	""
"PNOC"	""	"HAVCR2"	""	"NCF2"	""	"NKG7"	""	"GPSM3"	"GZMH"	"LAG3"	""	"SLAMF8"	""	"LILRA2"	""	""	""
"POU2F2"	""	"HCK"	""	"NCKAP1L"	""	"PRF1"	""	"GZMA"	"GZMK"	"LCP2"	""	"TFEC"	""	"LILRB1"	""	""	""
"PTPN6"	""	"HK3"	""	"NECAP2"	""	"PTGDR"	""	"GZMB"	"GZMM"	"LTA"	""	"TNFAIP6"	""	"LILRB2"	""	""	""
"RASGRP2"	""	"HLA-DQA1"	""	"NSMAF"	""	"SAMD3"	""	"GZMK"	"IFNG"	"MMP25"	""	"TNIP3"	""	"LILRB3"	""	""	""
"S1PR4"	""	"IDO1"	""	"PILRA"	""	"SERPINB9"	""	"GZMM"	"IL10RA"	"NCR3"	""	"TREM2"	""	"LST1"	""	""	""
"SPIB"	""	"IL10RA"	""	"PLA2G7"	""	"TBX21"	""	"ICOS"	"IL16"	"NKG7"	""	""	""	"MEFV"	""	""	""
"STAP1"	""	"IL12B"	""	"PLEKHB2"	""	""	""	"IFNG"	"IL18RAP"	"PRF1"	""	""	""	"MNDA"	""	""	""
"TNFRSF17"	""	"IL2RA"	""	"SIGLEC1"	""	""	""	"IKZF1"	"IL2RB"	"PTPN7"	""	""	""	"MS4A6A"	""	""	""
""	""	"IL3RA"	""	"SLAMF8"	""	""	""	"IL10RA"	"ITK"	"PVRIG"	""	""	""	"MYO1F"	""	""	""
""	""	"IRF4"	""	"STAB1"	""	""	""	"IL16"	"KLRB1"	"SASH3"	""	""	""	"NCF2"	""	""	""
""	""	"ITGAX"	""	"TFEC"	""	""	""	"IL2RA"	"KLRD1"	"SLAMF1"	""	""	""	"NCF4"	""	""	""
""	""	"KYNU"	""	"TREM2"	""	""	""	"IL2RB"	"KLRG1"	"TBX21"	""	""	""	"OSM"	""	""	""
""	""	"LILRB1"	""	""	""	""	""	"ITGB7"	"KLRK1"	""	""	""	""	"P2RY13"	""	""	""
""	""	"LILRB2"	""	""	""	""	""	"ITK"	"LAG3"	""	""	""	""	"PILRA"	""	""	""
""	""	"MMP12"	""	""	""	""	""	"JAK3"	"LCK"	""	""	""	""	"PLEK"	""	""	""
""	""	"MMP25"	""	""	""	""	""	"KLRB1"	"LEPROTL1"	""	""	""	""	"POU2F2"	""	""	""
""	""	"MNDA"	""	""	""	""	""	"LCK"	"LTB"	""	""	""	""	"RGS19"	""	""	""
""	""	"MS4A6A"	""	""	""	""	""	"LEPROTL1"	"LY9"	""	""	""	""	"RHOG"	""	""	""
""	""	"MTHFD2"	""	""	""	""	""	"LTA"	"MYO1F"	""	""	""	""	"S100A12"	""	""	""
""	""	"NCF2"	""	""	""	""	""	"LTB"	"NCR3"	""	""	""	""	"SAMSN1"	""	""	""
""	""	"NECAP2"	""	""	""	""	""	"LY9"	"NKG7"	""	""	""	""	"STAB1"	""	""	""
""	""	"NR4A3"	""	""	""	""	""	"NECAP2"	"PIK3IP1"	""	""	""	""	"TLR2"	""	""	""
""	""	"OSM"	""	""	""	""	""	"OSM"	"PRF1"	""	""	""	""	"TLR8"	""	""	""
""	""	"PITPNA"	""	""	""	""	""	"PIK3IP1"	"PRMT2"	""	""	""	""	"VASP"	""	""	""
""	""	"PLA2G7"	""	""	""	""	""	"PRMT2"	"PTGDR"	""	""	""	""	"WAS"	""	""	""
""	""	"RHOG"	""	""	""	""	""	"PTGER2"	"PTPRC"	""	""	""	""	""	""	""	""
""	""	"RNASE6"	""	""	""	""	""	"PTPRCAP"	"PTPRCAP"	""	""	""	""	""	""	""	""
""	""	"RUNX2"	""	""	""	""	""	"PVRIG"	"PVRIG"	""	""	""	""	""	""	""	""
""	""	"SAMSN1"	""	""	""	""	""	"RGS1"	"PYHIN1"	""	""	""	""	""	""	""	""
""	""	"SIGLEC1"	""	""	""	""	""	"SAMSN1"	"RGS1"	""	""	""	""	""	""	""	""
""	""	"SLAMF1"	""	""	""	""	""	"SELPLG"	"RHOG"	""	""	""	""	""	""	""	""
""	""	"SLAMF8"	""	""	""	""	""	"SLAMF1"	"SASH3"	""	""	""	""	""	""	""	""
""	""	"SPIB"	""	""	""	""	""	"STAP1"	"SLAMF1"	""	""	""	""	""	""	""	""
""	""	"STAB1"	""	""	""	""	""	"TNFRSF4"	"TBX21"	""	""	""	""	""	""	""	""
""	""	"TFEC"	""	""	""	""	""	"TNFSF8"	"TMC6"	""	""	""	""	""	""	""	""
""	""	"TM7SF4"	""	""	""	""	""	"TRAF3IP3"	"TNFSF8"	""	""	""	""	""	""	""	""
""	""	"TNFAIP6"	""	""	""	""	""	"TRAT1"	"TRAF3IP3"	""	""	""	""	""	""	""	""
""	""	"TNFRSF4"	""	""	""	""	""	"ZAP70"	"WAS"	""	""	""	""	""	""	""	""
""	""	"TREM2"	""	""	""	""	""	""	"ZAP70"	""	""	""	""	""	""	""	""
